dataset_key,scenario,k_true,data_seed,sampler,n_chains,k_model,warmup,posterior,r_total,burn_in,thin,seed,a_mu,a_delta,dirichlet_a,num_integration_steps
kt2_s01,2comp_equal,2,1,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s02,2comp_equal,2,2,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s03,2comp_equal,2,3,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s04,2comp_equal,2,4,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s05,2comp_equal,2,5,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s06,2comp_equal,2,6,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s07,2comp_equal,2,7,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s08,2comp_equal,2,8,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s09,2comp_equal,2,9,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s10,2comp_equal,2,10,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s11,2comp_equal,2,11,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s12,2comp_equal,2,12,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s13,2comp_equal,2,13,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s14,2comp_equal,2,14,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s15,2comp_equal,2,15,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s16,2comp_equal,2,16,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s17,2comp_equal,2,17,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s18,2comp_equal,2,18,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s19,2comp_equal,2,19,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s20,2comp_equal,2,20,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s21,2comp_equal,2,21,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s22,2comp_equal,2,22,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s23,2comp_equal,2,23,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s24,2comp_equal,2,24,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s25,2comp_equal,2,25,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s26,2comp_equal,2,26,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s27,2comp_equal,2,27,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s28,2comp_equal,2,28,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s29,2comp_equal,2,29,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s30,2comp_equal,2,30,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s31,2comp_equal,2,31,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s32,2comp_equal,2,32,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s33,2comp_equal,2,33,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s34,2comp_equal,2,34,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s35,2comp_equal,2,35,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s36,2comp_equal,2,36,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s37,2comp_equal,2,37,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s38,2comp_equal,2,38,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s39,2comp_equal,2,39,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s40,2comp_equal,2,40,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s41,2comp_equal,2,41,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s42,2comp_equal,2,42,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s43,2comp_equal,2,43,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s44,2comp_equal,2,44,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s45,2comp_equal,2,45,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s46,2comp_equal,2,46,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s47,2comp_equal,2,47,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s48,2comp_equal,2,48,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s49,2comp_equal,2,49,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt2_s50,2comp_equal,2,50,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s01,3comp_equal,3,1,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s02,3comp_equal,3,2,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s03,3comp_equal,3,3,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s04,3comp_equal,3,4,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s05,3comp_equal,3,5,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s06,3comp_equal,3,6,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s07,3comp_equal,3,7,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s08,3comp_equal,3,8,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s09,3comp_equal,3,9,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s10,3comp_equal,3,10,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s11,3comp_equal,3,11,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s12,3comp_equal,3,12,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s13,3comp_equal,3,13,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s14,3comp_equal,3,14,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s15,3comp_equal,3,15,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s16,3comp_equal,3,16,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s17,3comp_equal,3,17,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s18,3comp_equal,3,18,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s19,3comp_equal,3,19,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s20,3comp_equal,3,20,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s21,3comp_equal,3,21,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s22,3comp_equal,3,22,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s23,3comp_equal,3,23,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s24,3comp_equal,3,24,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s25,3comp_equal,3,25,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s26,3comp_equal,3,26,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s27,3comp_equal,3,27,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s28,3comp_equal,3,28,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s29,3comp_equal,3,29,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s30,3comp_equal,3,30,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s31,3comp_equal,3,31,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s32,3comp_equal,3,32,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s33,3comp_equal,3,33,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s34,3comp_equal,3,34,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s35,3comp_equal,3,35,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s36,3comp_equal,3,36,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s37,3comp_equal,3,37,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s38,3comp_equal,3,38,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s39,3comp_equal,3,39,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s40,3comp_equal,3,40,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s41,3comp_equal,3,41,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s42,3comp_equal,3,42,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s43,3comp_equal,3,43,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s44,3comp_equal,3,44,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s45,3comp_equal,3,45,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s46,3comp_equal,3,46,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s47,3comp_equal,3,47,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s48,3comp_equal,3,48,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s49,3comp_equal,3,49,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt3_s50,3comp_equal,3,50,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s01,5comp_equal,5,1,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s02,5comp_equal,5,2,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s03,5comp_equal,5,3,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s04,5comp_equal,5,4,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s05,5comp_equal,5,5,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s06,5comp_equal,5,6,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s07,5comp_equal,5,7,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s08,5comp_equal,5,8,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s09,5comp_equal,5,9,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s10,5comp_equal,5,10,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s11,5comp_equal,5,11,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s12,5comp_equal,5,12,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s13,5comp_equal,5,13,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s14,5comp_equal,5,14,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s15,5comp_equal,5,15,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s16,5comp_equal,5,16,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s17,5comp_equal,5,17,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s18,5comp_equal,5,18,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s19,5comp_equal,5,19,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s20,5comp_equal,5,20,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s21,5comp_equal,5,21,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s22,5comp_equal,5,22,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s23,5comp_equal,5,23,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s24,5comp_equal,5,24,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s25,5comp_equal,5,25,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s26,5comp_equal,5,26,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s27,5comp_equal,5,27,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s28,5comp_equal,5,28,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s29,5comp_equal,5,29,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s30,5comp_equal,5,30,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s31,5comp_equal,5,31,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s32,5comp_equal,5,32,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s33,5comp_equal,5,33,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s34,5comp_equal,5,34,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s35,5comp_equal,5,35,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s36,5comp_equal,5,36,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s37,5comp_equal,5,37,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s38,5comp_equal,5,38,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s39,5comp_equal,5,39,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s40,5comp_equal,5,40,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s41,5comp_equal,5,41,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s42,5comp_equal,5,42,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s43,5comp_equal,5,43,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s44,5comp_equal,5,44,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s45,5comp_equal,5,45,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s46,5comp_equal,5,46,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s47,5comp_equal,5,47,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s48,5comp_equal,5,48,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s49,5comp_equal,5,49,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt5_s50,5comp_equal,5,50,bayesm,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
