dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,bias,rmse,mean_abs_err,coverage95
kt1_s96,1comp,1,96,5,bayesm_gibbs,2,Price,0.0048432235386546,0.424291445720955,0.3390509885213406,0.9466666666666668
kt1_s97,1comp,1,97,5,bayesm_gibbs,2,Alt1,0.1784468575592681,0.8657281930401883,0.653352095583975,0.9833333333333332
kt1_s97,1comp,1,97,5,bayesm_gibbs,2,Alt2,-0.2209148773623609,0.913633357160432,0.650224910813522,0.9933333333333332
kt1_s97,1comp,1,97,5,bayesm_gibbs,2,Alt3,-0.1780382673313168,0.8630374122015475,0.6942822077910672,0.9533333333333334
kt1_s97,1comp,1,97,5,bayesm_gibbs,2,Price,0.3294898381050879,1.01266308941661,0.7258633312591923,0.9633333333333334
kt1_s98,1comp,1,98,5,bayesm_gibbs,2,Alt1,0.0782683676634026,1.5880212787230616,1.008645937761394,0.9466666666666668
kt1_s98,1comp,1,98,5,bayesm_gibbs,2,Alt2,-0.3070932082686783,1.119769033485553,0.9083676735106152,0.9766666666666668
kt1_s98,1comp,1,98,5,bayesm_gibbs,2,Alt3,-0.2468844619034637,1.1407197096263852,0.8848549820367266,0.96
kt1_s98,1comp,1,98,5,bayesm_gibbs,2,Price,0.0420481683418547,0.7116777272682272,0.5680136747141963,0.9266666666666666
kt1_s99,1comp,1,99,5,bayesm_gibbs,2,Alt1,0.3815723127841046,1.3589395165266007,0.8589536734987363,0.9766666666666668
kt1_s99,1comp,1,99,5,bayesm_gibbs,2,Alt2,0.2069263042355646,1.0498817347851863,0.7149312318081082,0.96
kt1_s99,1comp,1,99,5,bayesm_gibbs,2,Alt3,-0.1003726356334962,1.6883072047001944,0.8022161669915598,0.9333333333333332
kt1_s99,1comp,1,99,5,bayesm_gibbs,2,Price,0.406503449024469,1.400387422427038,0.7715390366601916,0.95
kt2_s01,2comp_equal,2,1,5,bayesm_gibbs,2,Alt1,-0.0667671810774549,0.7579696892586474,0.606178309789255,0.9666666666666668
kt2_s01,2comp_equal,2,1,5,bayesm_gibbs,2,Alt2,-0.0163745038404792,0.997569776457627,0.7466725482652788,0.9466666666666668
kt2_s01,2comp_equal,2,1,5,bayesm_gibbs,2,Alt3,-0.1285923927838508,0.814241139249779,0.6179706749889023,0.9433333333333334
kt2_s01,2comp_equal,2,1,5,bayesm_gibbs,2,Price,-0.1435360964171376,1.1407336353234614,0.7689814165395998,0.9533333333333334
kt2_s02,2comp_equal,2,2,5,bayesm_gibbs,2,Alt1,0.0459104253293362,0.7699379974918158,0.5916092751100877,0.9566666666666668
kt2_s02,2comp_equal,2,2,5,bayesm_gibbs,2,Alt2,0.0090618230834922,0.8664219543486923,0.6657399753971761,0.9433333333333334
