dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt2_s87,2comp_equal,2,87,5,bayesm,2,2,0.031537917955596,0.0565003300215613,0.0001463577263573,0.2114547253895776,,
kt2_s87,2comp_equal,2,87,5,bayesm,2,3,0.0137957894834914,0.0345099165557055,9.859895656877244e-05,0.1420477109824644,,
kt2_s87,2comp_equal,2,87,5,bayesm,2,4,0.0128614939197235,0.0279574184574834,0.0001151924040711,0.1013996170930432,,
kt2_s88,2comp_equal,2,88,5,bayesm,2,0,0.5232761604878383,0.0629846219781964,0.3243818777407594,0.5977672827014006,0.5,True
kt2_s88,2comp_equal,2,88,5,bayesm,2,1,0.4450478460884718,0.0288530882780447,0.3890416738850406,0.5019465467125102,0.5,True
kt2_s88,2comp_equal,2,88,5,bayesm,2,2,0.0186039808619341,0.0504671719485696,0.0001058434053848,0.2101914193406517,,
kt2_s88,2comp_equal,2,88,5,bayesm,2,3,0.0069138243341013,0.0227073270418757,8.564046682468366e-05,0.0473989163065402,,
kt2_s88,2comp_equal,2,88,5,bayesm,2,4,0.0061581882276542,0.0166595508357123,0.0001100739396552,0.022201221996532,,
kt2_s89,2comp_equal,2,89,5,bayesm,2,0,0.5279059755977296,0.0287439682697819,0.4716144132938266,0.5840813542049527,0.5,True
kt2_s89,2comp_equal,2,89,5,bayesm,2,1,0.3294701150186263,0.0805843354556272,0.1770924552368224,0.4645396940289595,0.5,False
kt2_s89,2comp_equal,2,89,5,bayesm,2,2,0.0912355324607993,0.0603133471339466,0.0015908090567036,0.2247373104039023,,
kt2_s89,2comp_equal,2,89,5,bayesm,2,3,0.0348126281593657,0.0408295221725589,0.000229550371395,0.1325799071538302,,
kt2_s89,2comp_equal,2,89,5,bayesm,2,4,0.0165757487634789,0.0271224706592743,0.0001939245880368,0.0979397010148345,,
kt2_s90,2comp_equal,2,90,5,bayesm,2,0,0.4865178075022739,0.0582256316574849,0.3340311480659066,0.5707195625512753,0.5,True
kt2_s90,2comp_equal,2,90,5,bayesm,2,1,0.4543102494203768,0.0314162081512746,0.3948808040041669,0.511202675438602,0.5,True
kt2_s90,2comp_equal,2,90,5,bayesm,2,2,0.0390879124110712,0.0488583316514281,0.0008140310263445,0.1912187872662853,,
kt2_s90,2comp_equal,2,90,5,bayesm,2,3,0.0108736341163433,0.0276841258978172,0.0001172800231687,0.0987361063966907,,
kt2_s90,2comp_equal,2,90,5,bayesm,2,4,0.0092103965499347,0.0152867620286405,0.0001274104369498,0.0523372809339683,,
kt2_s91,2comp_equal,2,91,5,bayesm,2,0,0.4992829538011125,0.030233548329754,0.4400497203552429,0.5570001773150778,0.5,True
kt2_s91,2comp_equal,2,91,5,bayesm,2,1,0.407993994278068,0.0846046279312314,0.2457684795217918,0.530366825220579,0.5,True
kt2_s91,2comp_equal,2,91,5,bayesm,2,2,0.04525040809839,0.0671660432392399,0.000191074438578,0.2211834339432692,,
kt2_s91,2comp_equal,2,91,5,bayesm,2,3,0.042765295141911,0.0667057587417014,0.0001816700112033,0.2286656201416516,,
kt2_s91,2comp_equal,2,91,5,bayesm,2,4,0.0047073486805184,0.0092778181960912,8.969564322218937e-05,0.0211696733119747,,
kt2_s92,2comp_equal,2,92,5,bayesm,2,0,0.4968757914897576,0.0339490137407954,0.4341380465296009,0.5551332695747954,0.5,True
