dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
kt1_s100,1comp,1,100,5,bayesm,2,chebyshev,Alt2,0.9937073003887515,1.0,0.09279,0.13563,0.00769,0.08413,0.16857
kt1_s100,1comp,1,100,5,bayesm,2,chebyshev,Alt3,0.9939030403851692,1.0,0.09474,0.17649,0.008,0.08762,0.19828
kt1_s100,1comp,1,100,5,bayesm,2,chebyshev,Price,0.9942716796912464,1.0,0.10483,0.29993,0.00924,0.07441,0.18681
kt1_s101,1comp,1,101,5,bayesm,2,full,Alt1,0.9999999999999996,1.0,0.11327,inf,0.00931,0.04276,0.29704
kt1_s101,1comp,1,101,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.13723,inf,0.01487,0.08658,0.42659
kt1_s101,1comp,1,101,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.1139,inf,0.01048,0.07621,0.42514
kt1_s101,1comp,1,101,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.12145,inf,0.01116,0.05926,0.40471
kt1_s101,1comp,1,101,5,bayesm,2,chebyshev,Alt1,0.9922017929950452,1.0,0.09464,0.61431,0.00662,0.03826,0.14668
kt1_s101,1comp,1,101,5,bayesm,2,chebyshev,Alt2,0.9911391523319142,1.0,0.12023,1.04422,0.01183,0.0791,0.23094
kt1_s101,1comp,1,101,5,bayesm,2,chebyshev,Alt3,0.9932918999832776,1.0,0.09822,0.22419,0.00817,0.07131,0.27815
kt1_s101,1comp,1,101,5,bayesm,2,chebyshev,Price,0.9917971845575344,1.0,0.10337,0.3353,0.00833,0.05602,0.26555
kt1_s10,1comp,1,10,5,bayesm,2,full,Alt1,0.9999999999999996,1.0,0.07439,inf,0.00411,0.02937,0.16666
kt1_s10,1comp,1,10,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.09491,inf,0.00753,0.06775,0.31047
kt1_s10,1comp,1,10,5,bayesm,2,full,Alt3,0.9999999999999992,1.0,0.0776,inf,0.00461,0.03894,0.20285
kt1_s10,1comp,1,10,5,bayesm,2,full,Price,1.0,1.0,0.11614,inf,0.01163,0.10297,0.32888
kt1_s10,1comp,1,10,5,bayesm,2,chebyshev,Alt1,0.9950678822324214,1.0,0.05544,0.06966,0.0024,0.02669,0.06324
kt1_s10,1comp,1,10,5,bayesm,2,chebyshev,Alt2,0.9950108916630088,1.0,0.08079,0.10236,0.00581,0.06331,0.19409
kt1_s10,1comp,1,10,5,bayesm,2,chebyshev,Alt3,0.9948399924304112,1.0,0.05871,0.10495,0.00283,0.03321,0.08591
kt1_s10,1comp,1,10,5,bayesm,2,chebyshev,Price,0.9941306079918188,1.0,0.10288,0.28481,0.00963,0.09804,0.20076
kt1_s11,1comp,1,11,5,bayesm,2,full,Alt1,0.9999999999999996,1.0,0.1253,inf,0.01281,0.08358,0.33867
kt1_s11,1comp,1,11,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.26561,inf,0.05396,0.18864,1.49454
kt1_s11,1comp,1,11,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.10493,inf,0.00802,0.03944,0.44247
kt1_s11,1comp,1,11,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.08065,inf,0.00494,0.0344,0.14998
kt1_s11,1comp,1,11,5,bayesm,2,chebyshev,Alt1,0.9928750652059686,1.0,0.11033,0.30964,0.01036,0.07743,0.19536
kt1_s11,1comp,1,11,5,bayesm,2,chebyshev,Alt2,0.9981657541674218,1.0,0.264,4.90845,0.05335,0.18555,1.43116
kt1_s11,1comp,1,11,5,bayesm,2,chebyshev,Alt3,0.9891027006984192,1.0,0.07468,0.36052,0.00424,0.03165,0.16262
kt1_s11,1comp,1,11,5,bayesm,2,chebyshev,Price,0.9955089637692096,0.9999999999999986,0.06532,0.07008,0.00338,0.03297,0.07608
kt1_s12,1comp,1,12,5,bayesm,2,full,Alt1,1.0,1.0,0.12996,inf,0.01265,0.05144,0.32512
kt1_s12,1comp,1,12,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.14792,inf,0.01793,0.10019,0.41344
kt1_s12,1comp,1,12,5,bayesm,2,full,Alt3,0.9999999999999992,1.0,0.09603,0.8842,0.00715,0.05203,0.21343
kt1_s12,1comp,1,12,5,bayesm,2,full,Price,0.9999999999999998,1.0,0.1643,inf,0.01941,0.05907,0.78088
kt1_s12,1comp,1,12,5,bayesm,2,chebyshev,Alt1,0.995307706338592,1.0,0.12072,0.46225,0.01104,0.04723,0.23121
kt1_s12,1comp,1,12,5,bayesm,2,chebyshev,Alt2,0.9934270560708888,1.0,0.13657,0.27184,0.01569,0.09885,0.30684
kt1_s12,1comp,1,12,5,bayesm,2,chebyshev,Alt3,0.9942701788657236,1.0,0.07982,0.1458,0.00517,0.0535,0.1074
kt1_s12,1comp,1,12,5,bayesm,2,chebyshev,Price,0.9887888899031546,1.0,0.14661,2.39853,0.01556,0.04865,0.50952
kt1_s13,1comp,1,13,5,bayesm,2,full,Alt1,0.9999999999999998,1.0,0.11704,1.39946,0.01111,0.09112,0.32078
kt1_s13,1comp,1,13,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.08756,inf,0.00589,0.04423,0.27783
kt1_s13,1comp,1,13,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.12702,inf,0.01389,0.11433,0.32933
kt1_s13,1comp,1,13,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.08582,1.11536,0.00552,0.03969,0.20235
kt1_s13,1comp,1,13,5,bayesm,2,chebyshev,Alt1,0.99357785701812,1.0,0.10249,0.28494,0.0089,0.08102,0.19654
kt1_s13,1comp,1,13,5,bayesm,2,chebyshev,Alt2,0.994062241050489,1.0,0.06861,0.09651,0.00383,0.044,0.1599
kt1_s13,1comp,1,13,5,bayesm,2,chebyshev,Alt3,0.9944237723150446,1.0,0.1157,0.27865,0.01198,0.10713,0.21578
kt1_s13,1comp,1,13,5,bayesm,2,chebyshev,Price,0.9948182467797266,1.0,0.06916,0.14069,0.00373,0.03576,0.0952
kt1_s14,1comp,1,14,5,bayesm,2,full,Alt1,0.9999999999999996,1.0,0.23856,inf,0.05062,0.23013,0.86334
kt1_s14,1comp,1,14,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.18486,inf,0.03045,0.1663,0.79897
kt1_s14,1comp,1,14,5,bayesm,2,full,Alt3,1.0,1.0,0.24746,inf,0.0537,0.22704,0.93582
kt1_s14,1comp,1,14,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.0759,inf,0.00445,0.02838,0.17614
kt1_s14,1comp,1,14,5,bayesm,2,chebyshev,Alt1,0.9948660210858512,1.0,0.23341,0.54378,0.04894,0.22544,0.75501
kt1_s14,1comp,1,14,5,bayesm,2,chebyshev,Alt2,0.995150795232043,1.0,0.17839,0.2793,0.02882,0.16386,0.70342
kt1_s14,1comp,1,14,5,bayesm,2,chebyshev,Alt3,0.994918759350647,1.0,0.24258,0.64139,0.05205,0.23066,0.83252
kt1_s14,1comp,1,14,5,bayesm,2,chebyshev,Price,0.995486942300734,1.0,0.05924,0.06481,0.00289,0.02833,0.08343
kt1_s15,1comp,1,15,5,bayesm,2,full,Alt1,0.9999999999999996,1.0,0.08971,inf,0.00614,0.04539,0.22841
kt1_s15,1comp,1,15,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.08424,inf,0.00531,0.03871,0.2148
kt1_s15,1comp,1,15,5,bayesm,2,full,Alt3,0.9999999999999998,1.0,0.08055,inf,0.00485,0.02902,0.20302
kt1_s15,1comp,1,15,5,bayesm,2,full,Price,0.9999999999999998,1.0,0.08361,inf,0.00499,0.01645,0.18528
kt1_s15,1comp,1,15,5,bayesm,2,chebyshev,Alt1,0.994310061891122,1.0,0.07223,0.13334,0.00418,0.04491,0.11171
kt1_s15,1comp,1,15,5,bayesm,2,chebyshev,Alt2,0.9941754042663324,1.0,0.06474,0.16968,0.00329,0.0361,0.09746
kt1_s15,1comp,1,15,5,bayesm,2,chebyshev,Alt3,0.994295551436442,1.0,0.06036,0.11311,0.00288,0.02446,0.07851
kt1_s15,1comp,1,15,5,bayesm,2,chebyshev,Price,0.9936739381471884,1.0,0.06193,0.164,0.0028,0.01117,0.05355
kt1_s16,1comp,1,16,5,bayesm,2,full,Alt1,0.9999999999999996,1.0,0.11846,inf,0.01169,0.07282,0.32448
kt1_s16,1comp,1,16,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.23647,inf,0.04093,0.13018,1.73313
kt1_s16,1comp,1,16,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.10799,inf,0.00934,0.05623,0.25706
kt1_s16,1comp,1,16,5,bayesm,2,full,Price,0.9999999999999998,1.0,0.09144,inf,0.00704,0.05998,0.27162
kt1_s16,1comp,1,16,5,bayesm,2,chebyshev,Alt1,0.995128547791025,1.0,0.1078,0.18593,0.01002,0.06939,0.22085
kt1_s16,1comp,1,16,5,bayesm,2,chebyshev,Alt2,0.9934520406322982,1.0,0.2298,9.56124,0.03873,0.12624,1.50953
kt1_s16,1comp,1,16,5,bayesm,2,chebyshev,Alt3,0.9951951604074928,1.0,0.09632,0.15019,0.00769,0.05531,0.15229
kt1_s16,1comp,1,16,5,bayesm,2,chebyshev,Price,0.9955872880496718,1.0,0.07853,0.06669,0.00552,0.05585,0.1697
kt1_s17,1comp,1,17,5,bayesm,2,full,Alt1,1.0,1.0,0.07753,inf,0.00451,0.03215,0.21193
kt1_s17,1comp,1,17,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.09815,inf,0.00739,0.05006,0.29201
kt1_s17,1comp,1,17,5,bayesm,2,full,Alt3,0.9999999999999996,1.0,0.10149,inf,0.00817,0.05738,0.28582
kt1_s17,1comp,1,17,5,bayesm,2,full,Price,1.0,1.0,0.09252,inf,0.00659,0.04399,0.29809
kt1_s17,1comp,1,17,5,bayesm,2,chebyshev,Alt1,0.9947379013884764,1.0,0.05819,0.06784,0.00269,0.02969,0.10448
kt1_s17,1comp,1,17,5,bayesm,2,chebyshev,Alt2,0.9928294839519282,1.0,0.07787,0.21546,0.00491,0.04887,0.11488
kt1_s17,1comp,1,17,5,bayesm,2,chebyshev,Alt3,0.9933201298150444,1.0,0.08354,0.20663,0.00586,0.05443,0.14397
kt1_s17,1comp,1,17,5,bayesm,2,chebyshev,Price,0.9935677466057804,1.0,0.07319,0.15593,0.00436,0.03954,0.13933
kt1_s18,1comp,1,18,5,bayesm,2,full,Alt1,1.0,1.0,0.10037,inf,0.00856,0.07877,0.36282
kt1_s18,1comp,1,18,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.12837,inf,0.01423,0.10237,0.30218
kt1_s18,1comp,1,18,5,bayesm,2,full,Alt3,0.9999999999999998,1.0,0.11778,inf,0.01212,0.07663,0.26814
kt1_s18,1comp,1,18,5,bayesm,2,full,Price,0.9999999999999988,1.0,0.16414,inf,0.02353,0.1407,0.44649
kt1_s18,1comp,1,18,5,bayesm,2,chebyshev,Alt1,0.9946691347628536,1.0,0.08617,0.1032,0.00672,0.07755,0.25272
kt1_s18,1comp,1,18,5,bayesm,2,chebyshev,Alt2,0.9943982026708286,1.0,0.1171,0.29809,0.01231,0.09457,0.17519
kt1_s18,1comp,1,18,5,bayesm,2,chebyshev,Alt3,0.9946681038371076,1.0,0.11011,0.13535,0.01122,0.10414,0.19343
kt1_s18,1comp,1,18,5,bayesm,2,chebyshev,Price,0.9933648836128656,1.0,0.15394,0.52212,0.02128,0.13223,0.27668
kt1_s19,1comp,1,19,5,bayesm,2,full,Alt1,1.0,1.0,0.12968,inf,0.01303,0.04914,0.39117
kt1_s19,1comp,1,19,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.17523,inf,0.02772,0.16066,0.58423
kt1_s19,1comp,1,19,5,bayesm,2,full,Alt3,1.0,1.0,0.30871,inf,0.08901,0.3318,1.27738
kt1_s19,1comp,1,19,5,bayesm,2,full,Price,1.0,1.0,0.14342,inf,0.01778,0.1101,0.41241
kt1_s19,1comp,1,19,5,bayesm,2,chebyshev,Alt1,0.9943275266365432,1.0,0.1185,0.28243,0.01111,0.0492,0.24893
kt1_s19,1comp,1,19,5,bayesm,2,chebyshev,Alt2,0.9946236252204396,1.0,0.1676,0.30595,0.02592,0.16327,0.46133
kt1_s19,1comp,1,19,5,bayesm,2,chebyshev,Alt3,0.9940685671021045,1.0,0.30432,0.52664,0.0872,0.33191,1.16427
kt1_s19,1comp,1,19,5,bayesm,2,chebyshev,Price,0.9954567559676732,1.0,0.13541,0.2234,0.01623,0.10646,0.30915
kt1_s20,1comp,1,20,5,bayesm,2,full,Alt1,1.0,1.0,0.08248,inf,0.00506,0.02536,0.20237
kt1_s20,1comp,1,20,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.08119,inf,0.00497,0.03497,0.21071
kt1_s20,1comp,1,20,5,bayesm,2,full,Alt3,1.0,1.0,0.06799,inf,0.00338,0.01531,0.16153
kt1_s20,1comp,1,20,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.08784,inf,0.00575,0.02805,0.25704
kt1_s20,1comp,1,20,5,bayesm,2,chebyshev,Alt1,0.994501015775796,1.0,0.06372,0.09972,0.00315,0.02103,0.08555
kt1_s20,1comp,1,20,5,bayesm,2,chebyshev,Alt2,0.9948221367898554,1.0,0.06332,0.09733,0.00318,0.03261,0.10485
kt1_s20,1comp,1,20,5,bayesm,2,chebyshev,Alt3,0.9951574293768806,1.0,0.04695,0.04726,0.0017,0.01221,0.05855
kt1_s20,1comp,1,20,5,bayesm,2,chebyshev,Price,0.993700100255758,1.0,0.06764,0.12235,0.00357,0.02271,0.09994
kt1_s21,1comp,1,21,5,bayesm,2,full,Alt1,1.0,1.0,0.13208,inf,0.01544,0.11016,0.3438
kt1_s21,1comp,1,21,5,bayesm,2,full,Alt2,0.9999999999999996,1.0,0.21306,inf,0.03987,0.1709,0.69841
kt1_s21,1comp,1,21,5,bayesm,2,full,Alt3,0.9999999999999992,1.0,0.11556,inf,0.01156,0.09808,0.45837
kt1_s21,1comp,1,21,5,bayesm,2,full,Price,0.9999999999999996,1.0,0.07683,1.31992,0.00426,0.02108,0.18213
kt1_s21,1comp,1,21,5,bayesm,2,chebyshev,Alt1,0.9933845092726896,1.0,0.11908,0.19063,0.01318,0.11282,0.20194
kt1_s21,1comp,1,21,5,bayesm,2,chebyshev,Alt2,0.9938001468757924,1.0,0.2059,0.57519,0.03778,0.18366,0.51479
kt1_s21,1comp,1,21,5,bayesm,2,chebyshev,Alt3,0.9938237893396024,1.0,0.10146,0.14158,0.00944,0.09461,0.32516
kt1_s21,1comp,1,21,5,bayesm,2,chebyshev,Price,0.9947312154466564,1.0,0.05735,0.18036,0.00245,0.02156,0.06439
kt1_s22,1comp,1,22,5,bayesm,2,full,Alt1,0.9999999999999992,1.0,0.16803,inf,0.02137,0.08576,0.85228
kt1_s22,1comp,1,22,5,bayesm,2,full,Alt2,0.9999999999999998,1.0,0.22528,inf,0.0384,0.14346,1.62427
kt1_s22,1comp,1,22,5,bayesm,2,full,Alt3,0.9999999999999988,1.0,0.22883,inf,0.04046,0.15076,0.88082
kt1_s22,1comp,1,22,5,bayesm,2,full,Price,0.9999999999999998,1.0,0.10286,inf,0.00853,0.05339,0.2205
kt1_s22,1comp,1,22,5,bayesm,2,chebyshev,Alt1,0.9898706142528328,1.0,0.15256,1.70404,0.01791,0.08158,0.53371
kt1_s22,1comp,1,22,5,bayesm,2,chebyshev,Alt2,0.987842167882535,1.0,0.21196,6.08358,0.03431,0.13741,1.19729
kt1_s22,1comp,1,22,5,bayesm,2,chebyshev,Alt3,0.9939684968973638,1.0,0.22247,1.71307,0.03844,0.14768,0.70908
kt1_s22,1comp,1,22,5,bayesm,2,chebyshev,Price,0.9964268347964504,1.0,0.09385,0.12256,0.0073,0.05125,0.15983
kt1_s23,1comp,1,23,5,bayesm,2,full,Alt1,0.9999999999999998,1.0,0.15354,inf,0.01908,0.1138,0.48142
kt1_s23,1comp,1,23,5,bayesm,2,full,Alt2,1.0,1.0,0.09786,inf,0.00802,0.06742,0.33473
kt1_s23,1comp,1,23,5,bayesm,2,full,Alt3,0.9999999999999992,1.0,0.12144,inf,0.01263,0.09016,0.2906
kt1_s23,1comp,1,23,5,bayesm,2,full,Price,0.9999999999999988,1.0,0.0834,inf,0.00516,0.03169,0.19614
kt1_s23,1comp,1,23,5,bayesm,2,chebyshev,Alt1,0.9911240746679568,1.0,0.13861,0.52919,0.01605,0.10831,0.30312
kt1_s23,1comp,1,23,5,bayesm,2,chebyshev,Alt2,0.9958141131058624,0.9999999999999996,0.08659,0.08823,0.00658,0.06555,0.2534
kt1_s23,1comp,1,23,5,bayesm,2,chebyshev,Alt3,0.9955432548133472,1.0,0.11196,0.20959,0.0111,0.08735,0.1881
