dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
kt1_s03,1comp,1,3,5,bayesm,2,z2,Alt1,-0.7085716354170997,0.0806534900967962,-0.8684495496399971,-0.5524521722423473,-0.8561732855429431,0.1476016501258434,True
kt1_s03,1comp,1,3,5,bayesm,2,z2,Alt2,0.4969979716988704,0.1084717893494919,0.2849549257166633,0.7108944442165501,0.2142497112579545,0.2827482604409159,False
kt1_s03,1comp,1,3,5,bayesm,2,z2,Alt3,0.4672854383225258,0.1049600261680545,0.2609540817752575,0.6715261610826493,0.498054076453957,-0.0307686381314312,True
kt1_s03,1comp,1,3,5,bayesm,2,z2,Price,-0.0193623580206517,0.1073029761156213,-0.2313946831128126,0.1903913017049194,0.1695004908126231,-0.1888628488332749,True
kt1_s04,1comp,1,4,5,bayesm,2,z1,Alt1,0.6019202413917393,0.1013032261701861,0.4047784763820284,0.8000450689472145,0.638761536966647,-0.0368412955749076,True
kt1_s04,1comp,1,4,5,bayesm,2,z1,Alt2,-0.0486355809651763,0.0624788073914743,-0.1710894810567634,0.0733859639925498,0.0628422712734898,-0.1114778522386661,True
kt1_s04,1comp,1,4,5,bayesm,2,z1,Alt3,-0.8784038116317595,0.0929224976499543,-1.0623078275471178,-0.6984336576426358,-0.787816823782039,-0.0905869878497205,True
kt1_s04,1comp,1,4,5,bayesm,2,z1,Price,0.7154130592113195,0.0777125244351304,0.5646306510537373,0.8674719281481246,0.780832330268326,-0.0654192710570065,True
kt1_s04,1comp,1,4,5,bayesm,2,z2,Alt1,0.6535017213137772,0.1021655140126831,0.4567307501745197,0.8548515628771155,0.8035660428716412,-0.1500643215578641,True
kt1_s04,1comp,1,4,5,bayesm,2,z2,Alt2,0.3873744039799873,0.0625297559165395,0.2669421394244033,0.5106680151440199,0.4500684151924695,-0.0626940112124821,True
kt1_s04,1comp,1,4,5,bayesm,2,z2,Alt3,-0.4673215450540785,0.0854515698474557,-0.63635216318709,-0.3014748234014824,-0.5299190171681182,0.0625974721140396,True
kt1_s04,1comp,1,4,5,bayesm,2,z2,Price,-0.3489302588951276,0.0772604321921657,-0.4998880151524225,-0.1972562354600531,-0.305023404936404,-0.0439068539587236,True
