dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,runtime_s,n_sampling_errors,invariant_rhat_max,invariant_ess_min,n_divergent,max_treedepth,max_leapfrog,mean_acceptance
kt1_s88,1comp,1,88,5,bayesm,2,215.9,0,1.1695521387677128,8.184829290802389,,,,
kt1_s89,1comp,1,89,5,bayesm,2,213.0,0,1.2085321328465228,8.131693377964286,,,,
kt1_s90,1comp,1,90,5,bayesm,2,219.8,0,1.2338315035752208,6.071262599266147,,,,
kt1_s91,1comp,1,91,5,bayesm,2,226.5,0,1.151304624628769,9.073440237245997,,,,
kt1_s92,1comp,1,92,5,bayesm,2,229.5,0,1.125775576981566,11.120988371039912,,,,
kt1_s93,1comp,1,93,5,bayesm,2,228.5,0,1.1818437163833042,8.958115578802621,,,,
kt1_s94,1comp,1,94,5,bayesm,2,229.0,0,1.866134189161121,2.8664226344051613,,,,
kt1_s95,1comp,1,95,5,bayesm,2,228.7,0,1.4915906563639447,3.674526101129139,,,,
kt1_s96,1comp,1,96,5,bayesm,2,230.2,0,1.256124523092322,5.666021240575962,,,,
kt1_s97,1comp,1,97,5,bayesm,2,228.8,0,1.1103824893342902,12.001433492860375,,,,
kt1_s98,1comp,1,98,5,bayesm,2,231.4,0,1.830470984892525,2.8921925004409026,,,,
kt1_s99,1comp,1,99,5,bayesm,2,231.3,0,1.09459779508131,34.06236235777947,,,,
kt2_s01,2comp_equal,2,1,5,bayesm,2,221.9,0,1.273965112026957,5.624474980049229,,,,
kt2_s02,2comp_equal,2,2,5,bayesm,2,215.6,0,1.0989613450365483,12.636624145885492,,,,
kt2_s03,2comp_equal,2,3,5,bayesm,2,219.7,0,1.0278617707359483,80.34089825175646,,,,
kt2_s04,2comp_equal,2,4,5,bayesm,2,225.7,0,1.3483412053706096,4.542887295543694,,,,
kt2_s05,2comp_equal,2,5,5,bayesm,2,224.4,0,1.0610994270288507,24.539259755468,,,,
kt2_s06,2comp_equal,2,6,5,bayesm,2,218.7,0,1.0413583753854172,38.11078188807465,,,,
kt2_s07,2comp_equal,2,7,5,bayesm,2,220.9,0,1.0880357107350394,14.905166121512012,,,,
kt2_s08,2comp_equal,2,8,5,bayesm,2,219.7,0,1.055084153849161,25.008148613463757,,,,
kt2_s09,2comp_equal,2,9,5,bayesm,2,220.5,0,1.1315063486620984,10.943083551893649,,,,
kt2_s100,2comp_equal,2,100,5,bayesm,2,217.1,0,1.191132897533577,7.2391628165570365,,,,
kt2_s10,2comp_equal,2,10,5,bayesm,2,221.0,0,1.151693153791103,9.76568892441018,,,,
kt2_s11,2comp_equal,2,11,5,bayesm,2,219.8,0,1.5303054080693057,3.638916003515808,,,,
kt2_s12,2comp_equal,2,12,5,bayesm,2,218.5,0,1.0837029198966013,26.36692288924044,,,,
kt2_s13,2comp_equal,2,13,5,bayesm,2,219.1,0,1.254717074897649,5.760622135546429,,,,
kt2_s14,2comp_equal,2,14,5,bayesm,2,214.9,0,1.3219916505048537,5.080842002402051,,,,
kt2_s15,2comp_equal,2,15,5,bayesm,2,213.4,0,1.1021749711046238,12.6535742702508,,,,
kt2_s16,2comp_equal,2,16,5,bayesm,2,217.2,0,1.1686940559220955,9.555458256514328,,,,
kt2_s17,2comp_equal,2,17,5,bayesm,2,228.9,0,1.1427597594358558,9.474397649973035,,,,
kt2_s18,2comp_equal,2,18,5,bayesm,2,221.5,0,1.0119329198779976,157.99443302257438,,,,
kt2_s19,2comp_equal,2,19,5,bayesm,2,225.3,0,1.2286364905091491,6.331083650445022,,,,
kt2_s20,2comp_equal,2,20,5,bayesm,2,226.4,0,1.0616921460523103,21.44510335953579,,,,
kt2_s21,2comp_equal,2,21,5,bayesm,2,230.4,0,1.0764313619898438,17.293874967849955,,,,
kt2_s22,2comp_equal,2,22,5,bayesm,2,219.1,0,1.194191803638034,7.221394589884307,,,,
kt2_s23,2comp_equal,2,23,5,bayesm,2,218.8,0,1.6017795522806768,3.342679085495462,,,,
kt2_s24,2comp_equal,2,24,5,bayesm,2,221.4,0,1.110390630417618,12.190056044282752,,,,
kt2_s25,2comp_equal,2,25,5,bayesm,2,219.7,0,1.282503713178541,5.7421797374596215,,,,
kt2_s26,2comp_equal,2,26,5,bayesm,2,218.9,0,1.0537469628677218,25.082894848593003,,,,
kt2_s27,2comp_equal,2,27,5,bayesm,2,217.4,0,1.0869561532324823,17.10172328422931,,,,
kt2_s28,2comp_equal,2,28,5,bayesm,2,231.8,0,1.0611573368512888,36.21371921913667,,,,
kt2_s29,2comp_equal,2,29,5,bayesm,2,221.9,0,1.0303303801211374,46.78284962748857,,,,
kt2_s30,2comp_equal,2,30,5,bayesm,2,223.2,0,1.0527430241110909,38.24323124259739,,,,
kt2_s31,2comp_equal,2,31,5,bayesm,2,226.1,0,1.0397344802032085,33.74622830140189,,,,
kt2_s32,2comp_equal,2,32,5,bayesm,2,221.6,0,1.146503494745084,9.4620431819267,,,,
kt2_s33,2comp_equal,2,33,5,bayesm,2,217.6,0,1.0860652957071026,15.328620104885092,,,,
kt2_s34,2comp_equal,2,34,5,bayesm,2,219.8,0,1.068519932564739,22.9473702005065,,,,
kt2_s35,2comp_equal,2,35,5,bayesm,2,219.2,0,1.0237435418453589,128.94151957063406,,,,
kt2_s36,2comp_equal,2,36,5,bayesm,2,222.1,0,1.1218135198377344,11.29622269308276,,,,
kt2_s37,2comp_equal,2,37,5,bayesm,2,215.2,0,1.3354437051921555,4.648185013686024,,,,
kt2_s38,2comp_equal,2,38,5,bayesm,2,222.6,0,1.036453371558968,81.35355732089442,,,,
kt2_s39,2comp_equal,2,39,5,bayesm,2,217.2,0,1.087430447210297,26.102265923062383,,,,
