dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,mix_mean,mix_var,true_mix_mean,true_mix_var
kt3_s65,3comp_equal,3,65,5,nuts,2,Alt1,3.7653281688690186,147.0045623779297,2.9691682897573406,9.02984782580448
kt3_s65,3comp_equal,3,65,5,nuts,2,Alt2,4.600701332092285,66.65022277832031,3.8332637910428384,31.85852765225941
kt3_s65,3comp_equal,3,65,5,nuts,2,Alt3,-2.539423942565918,47.63525772094727,-1.494894311071459,26.63290502105229
kt3_s65,3comp_equal,3,65,5,nuts,2,Price,0.4567826688289642,8.074234008789062,0.4741382581575294,4.0763779041915695
kt3_s66,3comp_equal,3,66,5,nuts,2,Alt1,4.317667007446289,20.30075454711914,4.507684308713674,4.240198380117205
kt3_s66,3comp_equal,3,66,5,nuts,2,Alt2,1.241464376449585,9.763871192932127,1.0986900448241528,3.8836078867020425
kt3_s66,3comp_equal,3,66,5,nuts,2,Alt3,-7.691993713378906,80.80802154541016,-5.309712833768026,19.170058587338065
kt3_s66,3comp_equal,3,66,5,nuts,2,Price,-1.2223657369613647,7.67974853515625,-1.1888117827655007,4.246949145891833
kt3_s67,3comp_equal,3,67,5,nuts,2,Alt1,-0.7500290870666504,18.07431983947754,-0.7025174989263552,2.933254720145622
kt3_s67,3comp_equal,3,67,5,nuts,2,Alt2,-0.5000779628753662,12.56235122680664,-0.4325284871948315,4.735017057563828
kt3_s67,3comp_equal,3,67,5,nuts,2,Alt3,-6.919849872589111,63.12443923950195,-4.105467262037033,13.9220870592635
kt3_s67,3comp_equal,3,67,5,nuts,2,Price,-1.1514203548431396,3.662919044494629,-1.052852770461367,1.4109590940463796
kt3_s68,3comp_equal,3,68,5,nuts,2,Alt1,-1.8307956457138064,63.13760757446289,-2.0941977285706312,18.76933859528422
kt3_s68,3comp_equal,3,68,5,nuts,2,Alt2,-6.398329734802246,20.18669891357422,-6.1462637258030375,1.212258643071613
kt3_s68,3comp_equal,3,68,5,nuts,2,Alt3,-1.1104387044906616,19.398691177368164,-1.167376853796961,11.415291157369214
kt3_s68,3comp_equal,3,68,5,nuts,2,Price,0.5996785163879395,26.35955047607422,0.2330485732830503,24.21673150507009
kt3_s69,3comp_equal,3,69,5,nuts,2,Alt1,-0.7327522039413452,34.15629959106445,-0.7998715061216729,7.095485301652536
kt3_s69,3comp_equal,3,69,5,nuts,2,Alt2,-0.2687512338161468,40.70045471191406,0.231216517065067,18.749202582489257
kt3_s69,3comp_equal,3,69,5,nuts,2,Alt3,3.814857006072998,48.0485954284668,3.0050964116399936,15.454707289882682
kt3_s69,3comp_equal,3,69,5,nuts,2,Price,-0.2051505148410797,17.499956130981445,0.2052865635059974,12.799912970478015
kt3_s70,3comp_equal,3,70,5,nuts,2,Alt1,3.945312023162842,33.83032989501953,3.514516416380673,8.273686762053067
kt3_s70,3comp_equal,3,70,5,nuts,2,Alt2,-3.935393810272217,36.03248977661133,-3.4972702373437468,6.586013434241926
kt3_s70,3comp_equal,3,70,5,nuts,2,Alt3,-2.8171558380126958,143.65872192382812,-0.9264854903534416,43.96921089808532
kt3_s70,3comp_equal,3,70,5,nuts,2,Price,-3.7773125171661377,12.562283515930176,-3.061861667533721,8.745144016959307
kt3_s71,3comp_equal,3,71,5,nuts,2,Alt1,0.4628544449806213,40.93870162963867,1.7036265536052173,2.412538658804013
kt3_s71,3comp_equal,3,71,5,nuts,2,Alt2,5.14648962020874,165.16012573242188,2.826224649507996,33.30493728663618
kt3_s71,3comp_equal,3,71,5,nuts,2,Alt3,-0.2864093780517578,69.93115234375,1.348661456103219,28.7571359169156
kt3_s71,3comp_equal,3,71,5,nuts,2,Price,4.041751861572266,16.993234634399414,3.4513941141138997,9.73087254421037
kt3_s72,3comp_equal,3,72,5,nuts,2,Alt1,-3.111638069152832,55.606536865234375,-2.125668974245416,23.881533848069846
kt3_s72,3comp_equal,3,72,5,nuts,2,Alt2,0.2587139308452606,17.22376823425293,0.1371521473230052,3.2111854106239512
kt3_s72,3comp_equal,3,72,5,nuts,2,Alt3,2.770087718963623,20.28679656982422,2.419222884197776,8.634279400313986
kt3_s72,3comp_equal,3,72,5,nuts,2,Price,-0.0863129720091819,22.741146087646484,-0.4581148044197559,16.06227289372841
kt3_s73,3comp_equal,3,73,5,nuts,2,Alt1,-6.385297775268555,62.11308670043945,-5.041197366900566,13.881550421140528
kt3_s73,3comp_equal,3,73,5,nuts,2,Alt2,-0.1329463571310043,67.42937469482422,-0.6997457508831069,43.66266713539599
kt3_s73,3comp_equal,3,73,5,nuts,2,Alt3,-2.897655725479126,17.63040542602539,-2.7765305835910588,8.997064992516494
kt3_s73,3comp_equal,3,73,5,nuts,2,Price,1.3796159029006958,15.21852684020996,1.5100232853614206,11.50882966388648
kt3_s74,3comp_equal,3,74,5,nuts,2,Alt1,0.5470210313796997,31.26925277709961,0.6660842204594085,18.267684139880785
kt3_s74,3comp_equal,3,74,5,nuts,2,Alt2,-2.9659292697906494,80.93461608886719,-0.1804053230187183,22.28607015346288
kt3_s74,3comp_equal,3,74,5,nuts,2,Alt3,2.548011541366577,6.126178741455078,2.4620233214785348,2.666043070565689
kt3_s74,3comp_equal,3,74,5,nuts,2,Price,0.2458383738994598,4.0167107582092285,0.2554034514392029,2.1844977730197703
kt3_s75,3comp_equal,3,75,5,nuts,2,Alt1,0.4563194215297699,41.30230712890625,0.7428402780097989,18.588909558686943
kt3_s75,3comp_equal,3,75,5,nuts,2,Alt2,-0.0524823442101478,21.07232093811035,-0.1603159879742152,8.453878341000934
kt3_s75,3comp_equal,3,75,5,nuts,2,Alt3,-0.4540103375911712,25.052600860595703,0.0317533846949641,16.58524827837909
kt3_s75,3comp_equal,3,75,5,nuts,2,Price,1.1609477996826172,9.476792335510254,1.240248567375878,5.750979660166918
kt3_s76,3comp_equal,3,76,5,nuts,2,Alt1,1.8865808248519895,33.99775695800781,1.673711623151123,14.92821492614704
kt3_s76,3comp_equal,3,76,5,nuts,2,Alt2,-0.9128612279891968,36.47819519042969,-0.7306515152376967,19.601492571436967
kt3_s76,3comp_equal,3,76,5,nuts,2,Alt3,-3.2969508171081543,12.281161308288574,-3.2910842307264208,5.627853442553023
kt3_s76,3comp_equal,3,76,5,nuts,2,Price,3.123732566833496,23.779972076416016,2.938360075651364,19.667681364427267
kt3_s77,3comp_equal,3,77,5,nuts,2,Alt1,1.5482670068740845,98.22193908691406,1.3871333455035868,30.55726571063556
kt3_s77,3comp_equal,3,77,5,nuts,2,Alt2,1.7291408777236938,23.94533348083496,1.9696156337999449,5.708814114522565
kt3_s77,3comp_equal,3,77,5,nuts,2,Alt3,-3.684150695800781,47.2631950378418,-3.7485755292752008,27.35830629622259
kt3_s77,3comp_equal,3,77,5,nuts,2,Price,1.1469440460205078,15.712200164794922,0.9923804856153148,11.243029835428748
kt3_s78,3comp_equal,3,78,5,nuts,2,Alt1,-1.551108956336975,35.008792877197266,-1.7231411083565455,13.882052929910332
kt3_s78,3comp_equal,3,78,5,nuts,2,Alt2,1.891672253608704,25.440338134765625,1.5580844768868274,13.934214055254472
kt3_s78,3comp_equal,3,78,5,nuts,2,Alt3,-0.5732980966567993,15.59141731262207,-0.7427536904691836,7.308912331631265
kt3_s78,3comp_equal,3,78,5,nuts,2,Price,1.9761139154434204,7.309999942779541,1.8634890452547503,3.581015648114173
kt3_s79,3comp_equal,3,79,5,nuts,2,Alt1,2.1777384281158447,130.79421997070312,2.0131372620214565,10.641756667793842
