dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,scope,quantity,live,rhat,ess
kt1_s05,1comp,1,5,5,bayesm,2,invariant,pvec_sorted_0,,1.000207042587148,15618.338794207097
kt1_s05,1comp,1,5,5,bayesm,2,invariant,pvec_sorted_1,,1.0006932805796114,5778.421974174505
kt1_s05,1comp,1,5,5,bayesm,2,invariant,pvec_sorted_2,,1.001062955439443,1741.729896370976
kt1_s05,1comp,1,5,5,bayesm,2,invariant,pvec_sorted_3,,1.003531906114106,387.876888175681
kt1_s05,1comp,1,5,5,bayesm,2,invariant,pvec_sorted_4,,1.002913029607866,450.5680822200246
kt1_s05,1comp,1,5,5,bayesm,2,invariant,tr(Cov[u]),,1.0000304095654493,14403.046106614873
kt1_s05,1comp,1,5,5,bayesm,2,component,slot1:pvec,True,1.8327237183739071,2.8728176530859257
kt1_s05,1comp,1,5,5,bayesm,2,component,slot2:pvec,False,1.829697002720653,2.878518601373361
kt1_s05,1comp,1,5,5,bayesm,2,component,slot4:pvec,False,1.0007460647050053,1107.3319761132784
kt1_s05,1comp,1,5,5,bayesm,2,component,slot0:pvec,False,1.0005615581067402,3521.6035964726234
kt1_s05,1comp,1,5,5,bayesm,2,component,slot3:pvec,False,0.9999964787519424,12284.781718265083
kt1_s05,1comp,1,5,5,bayesm,2,component_after,slot0:pvec,True,1.002913029607866,450.5680822200246
kt1_s05,1comp,1,5,5,bayesm,2,component_after,slot1:pvec,False,1.0130552961567012,172.9243325538803
kt1_s05,1comp,1,5,5,bayesm,2,component_after,slot2:pvec,False,1.0007460647050053,1107.3319761132784
kt1_s05,1comp,1,5,5,bayesm,2,component_after,slot3:pvec,False,1.0008186270650354,3933.310242566693
kt1_s05,1comp,1,5,5,bayesm,2,component_after,slot4:pvec,False,0.9999964787519424,12284.781718265083
kt1_s06,1comp,1,6,5,bayesm,2,invariant,E[u]_0,,1.0365608520765763,41.66801165842361
kt1_s06,1comp,1,6,5,bayesm,2,invariant,E[u]_1,,1.0640331110865997,20.54747028337538
kt1_s06,1comp,1,6,5,bayesm,2,invariant,E[u]_2,,1.0066725153177534,155.05916400205888
kt1_s06,1comp,1,6,5,bayesm,2,invariant,E[u]_3,,1.0377504568260218,37.4455763343481
kt1_s06,1comp,1,6,5,bayesm,2,invariant,pvec_sorted_0,,1.0074371478653377,477.7525335324143
kt1_s06,1comp,1,6,5,bayesm,2,invariant,pvec_sorted_1,,1.0165898175032733,121.3743534744608
kt1_s06,1comp,1,6,5,bayesm,2,invariant,pvec_sorted_2,,1.0204156120858614,76.78942911995459
kt1_s06,1comp,1,6,5,bayesm,2,invariant,pvec_sorted_3,,1.051814560622999,31.394085234415734
kt1_s06,1comp,1,6,5,bayesm,2,invariant,pvec_sorted_4,,1.0513755294515257,31.0331070492133
kt1_s06,1comp,1,6,5,bayesm,2,invariant,tr(Cov[u]),,1.0162419773809832,130.82175367147693
kt1_s06,1comp,1,6,5,bayesm,2,component,slot2:pvec,True,1.852375199579055,2.849843595637268
kt1_s06,1comp,1,6,5,bayesm,2,component,slot4:pvec,False,1.6051025003899857,3.3782873174619352
kt1_s06,1comp,1,6,5,bayesm,2,component,slot3:pvec,False,1.5634612962691523,3.45535561827695
kt1_s06,1comp,1,6,5,bayesm,2,component,slot1:pvec,False,1.1188828986787414,12.634620169874372
kt1_s06,1comp,1,6,5,bayesm,2,component,slot0:pvec,False,1.0026877732234374,141.70953678940467
kt1_s06,1comp,1,6,5,bayesm,2,component_after,slot0:pvec,True,1.0513662884166268,31.01061814099748
kt1_s06,1comp,1,6,5,bayesm,2,component_after,slot1:pvec,False,1.0426339518536611,41.310271635877264
kt1_s06,1comp,1,6,5,bayesm,2,component_after,slot2:pvec,False,1.114151252176939,13.460055558578894
kt1_s06,1comp,1,6,5,bayesm,2,component_after,slot3:pvec,False,1.0142782447206116,137.97573415543573
kt1_s06,1comp,1,6,5,bayesm,2,component_after,slot4:pvec,False,1.000369276898691,3780.178889118771
kt1_s07,1comp,1,7,5,bayesm,2,invariant,E[u]_0,,1.0124258218867557,199.29940525798244
kt1_s07,1comp,1,7,5,bayesm,2,invariant,E[u]_1,,1.0240841344139493,64.87962194190642
kt1_s07,1comp,1,7,5,bayesm,2,invariant,E[u]_2,,1.0303838455890293,84.36845028024126
kt1_s07,1comp,1,7,5,bayesm,2,invariant,E[u]_3,,1.0478252513227688,33.97349066679527
kt1_s07,1comp,1,7,5,bayesm,2,invariant,pvec_sorted_0,,1.0084281528112842,450.6154631129237
kt1_s07,1comp,1,7,5,bayesm,2,invariant,pvec_sorted_1,,1.020355382731733,82.14080411666055
kt1_s07,1comp,1,7,5,bayesm,2,invariant,pvec_sorted_2,,1.0379457771605276,38.98476698257934
kt1_s07,1comp,1,7,5,bayesm,2,invariant,pvec_sorted_3,,1.0439843270484963,62.45898541577823
kt1_s07,1comp,1,7,5,bayesm,2,invariant,pvec_sorted_4,,1.0458882146300186,57.17868971258802
kt1_s07,1comp,1,7,5,bayesm,2,invariant,tr(Cov[u]),,1.0207347417104369,142.47796078315034
kt1_s07,1comp,1,7,5,bayesm,2,component,slot2:pvec,True,1.093442781118953,16.900177954307328
kt1_s07,1comp,1,7,5,bayesm,2,component,slot1:pvec,False,1.1140336926122765,15.911981847865864
kt1_s07,1comp,1,7,5,bayesm,2,component,slot4:pvec,False,1.0220186911733726,187.85842842797777
kt1_s07,1comp,1,7,5,bayesm,2,component,slot0:pvec,False,1.0326999533071262,59.35273966568624
kt1_s07,1comp,1,7,5,bayesm,2,component,slot3:pvec,False,1.0092157800252326,132.70196226822176
kt1_s07,1comp,1,7,5,bayesm,2,component_after,slot0:pvec,True,1.045881567224269,57.23173763036967
kt1_s07,1comp,1,7,5,bayesm,2,component_after,slot1:pvec,False,1.0113374404948652,114.82055335008393
kt1_s07,1comp,1,7,5,bayesm,2,component_after,slot2:pvec,False,1.0220186911733726,187.807271006068
kt1_s07,1comp,1,7,5,bayesm,2,component_after,slot3:pvec,False,1.026861899386932,67.50077295935618
kt1_s07,1comp,1,7,5,bayesm,2,component_after,slot4:pvec,False,1.0092157800252326,132.70196226822176
kt1_s08,1comp,1,8,5,bayesm,2,invariant,E[u]_0,,1.0243692266559807,109.56030857560756
kt1_s08,1comp,1,8,5,bayesm,2,invariant,E[u]_1,,1.0274327728550887,85.36470256093604
kt1_s08,1comp,1,8,5,bayesm,2,invariant,E[u]_2,,1.0120287060591695,112.26907057639616
kt1_s08,1comp,1,8,5,bayesm,2,invariant,E[u]_3,,1.002786168508449,1034.84293244093
kt1_s08,1comp,1,8,5,bayesm,2,invariant,pvec_sorted_0,,1.000914944264011,2515.2986357548853
kt1_s08,1comp,1,8,5,bayesm,2,invariant,pvec_sorted_1,,1.0026662506231825,372.195803456957
kt1_s08,1comp,1,8,5,bayesm,2,invariant,pvec_sorted_2,,1.007916756766801,140.93152096536042
kt1_s08,1comp,1,8,5,bayesm,2,invariant,pvec_sorted_3,,1.0146132669141172,66.50786873152887
kt1_s08,1comp,1,8,5,bayesm,2,invariant,pvec_sorted_4,,1.0139699908780135,67.61701703376607
kt1_s08,1comp,1,8,5,bayesm,2,invariant,tr(Cov[u]),,1.0087401616950789,472.386604125684
kt1_s08,1comp,1,8,5,bayesm,2,component,slot3:pvec,True,1.8282901009043488,2.8796078646788126
kt1_s08,1comp,1,8,5,bayesm,2,component,slot0:pvec,False,1.8461165728096285,2.861065138936642
kt1_s08,1comp,1,8,5,bayesm,2,component,slot1:pvec,False,1.019604458120778,54.626354966693775
kt1_s08,1comp,1,8,5,bayesm,2,component,slot2:pvec,False,1.003620093029802,479.3156501245167
kt1_s08,1comp,1,8,5,bayesm,2,component,slot4:pvec,False,1.0019554400741846,1030.9169501645126
kt1_s08,1comp,1,8,5,bayesm,2,component_after,slot0:pvec,True,1.0139699908780135,67.61968862744338
kt1_s08,1comp,1,8,5,bayesm,2,component_after,slot1:pvec,False,1.070107626277069,19.51478493684905
