dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,mean_acceptance,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog
kt1_s16,1comp,1,16,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,55,0.00275,0.901045024394989,,,,,
kt1_s16,1comp,1,16,5,hmc,2,mu_k,kernel_02,2076,0.1038,0.6294501423835754,,,,,
kt1_s16,1comp,1,16,5,hmc,2,Delta,kernel_03,0,0.0,0.9385728240013124,,,,,
kt1_s16,1comp,1,16,5,hmc,2,beta_i,kernel_04,0,0.0,0.9189187288284302,,,,,
kt1_s17,1comp,1,17,5,hmc,2,pvec_latent,kernel_00,1552,0.0776,0.8618881106376648,,,,,
kt1_s17,1comp,1,17,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,771,0.03855,0.8471426963806152,,,,,
kt1_s17,1comp,1,17,5,hmc,2,mu_k,kernel_02,20,0.001,0.9376941323280334,,,,,
kt1_s17,1comp,1,17,5,hmc,2,Delta,kernel_03,0,0.0,0.9030025601387024,,,,,
kt1_s17,1comp,1,17,5,hmc,2,beta_i,kernel_04,0,0.0,0.9275351762771606,,,,,
kt1_s18,1comp,1,18,5,hmc,2,pvec_latent,kernel_00,1503,0.07515,0.8828879594802856,,,,,
kt1_s18,1comp,1,18,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,88,0.0044,0.8686537146568298,,,,,
kt1_s18,1comp,1,18,5,hmc,2,mu_k,kernel_02,34,0.0017,0.9021816253662108,,,,,
kt1_s18,1comp,1,18,5,hmc,2,Delta,kernel_03,0,0.0,0.92825186252594,,,,,
kt1_s18,1comp,1,18,5,hmc,2,beta_i,kernel_04,0,0.0,0.8797115087509155,,,,,
kt1_s19,1comp,1,19,5,hmc,2,pvec_latent,kernel_00,10,0.0005,0.957411527633667,,,,,
kt1_s19,1comp,1,19,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,0,0.0,0.9428160190582277,,,,,
kt1_s19,1comp,1,19,5,hmc,2,mu_k,kernel_02,11,0.00055,0.920126736164093,,,,,
kt1_s19,1comp,1,19,5,hmc,2,Delta,kernel_03,0,0.0,0.9112001657485962,,,,,
kt1_s19,1comp,1,19,5,hmc,2,beta_i,kernel_04,2683,0.13415,0.2200385779142379,,,,,
kt1_s20,1comp,1,20,5,hmc,2,pvec_latent,kernel_00,66,0.0033,0.95403653383255,,,,,
kt1_s20,1comp,1,20,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,374,0.0187,0.8572441339492798,,,,,
kt1_s20,1comp,1,20,5,hmc,2,mu_k,kernel_02,258,0.0129,0.7245079874992371,,,,,
kt1_s20,1comp,1,20,5,hmc,2,Delta,kernel_03,0,0.0,0.8985300660133362,,,,,
kt1_s20,1comp,1,20,5,hmc,2,beta_i,kernel_04,35,0.00175,0.8422110080718994,,,,,
kt1_s21,1comp,1,21,5,hmc,2,pvec_latent,kernel_00,803,0.04015,0.9353632926940918,,,,,
kt1_s21,1comp,1,21,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,384,0.0192,0.8712199330329895,,,,,
kt1_s21,1comp,1,21,5,hmc,2,mu_k,kernel_02,197,0.00985,0.8853215575218201,,,,,
kt1_s21,1comp,1,21,5,hmc,2,Delta,kernel_03,0,0.0,0.9507542848587036,,,,,
kt1_s21,1comp,1,21,5,hmc,2,beta_i,kernel_04,0,0.0,0.8941681385040283,,,,,
kt1_s22,1comp,1,22,5,hmc,2,pvec_latent,kernel_00,796,0.0398,0.7622662782669067,,,,,
kt1_s22,1comp,1,22,5,hmc,2,sigma_inv_chol_k_latent,kernel_01,3,0.00015,0.9221081733703612,,,,,
kt1_s22,1comp,1,22,5,hmc,2,mu_k,kernel_02,2805,0.14025,0.6094526648521423,,,,,
kt1_s22,1comp,1,22,5,hmc,2,Delta,kernel_03,0,0.0,0.9241098761558532,,,,,
