dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,quantity,rhat,ess
std_s57,standard,1,57,1,hmc,2,Delta:z1:Price,1.000687234929015,2464.999302263888
std_s57,standard,1,57,1,hmc,2,Delta:z2:Alt1,1.0002273730776223,1339.586544175694
std_s57,standard,1,57,1,hmc,2,Delta:z2:Alt2,1.0002374510510124,1461.9470043953563
std_s57,standard,1,57,1,hmc,2,Delta:z2:Alt3,1.0003225765428152,1581.593953084206
std_s57,standard,1,57,1,hmc,2,Delta:z2:Price,1.000289026298829,4709.7006051037215
std_s57,standard,1,57,1,hmc,2,beta[unit0]:Alt1,1.0000661368258146,12962.89308956976
std_s57,standard,1,57,1,hmc,2,beta[unit0]:Alt2,0.9999720098582524,14096.253558892828
std_s57,standard,1,57,1,hmc,2,beta[unit0]:Alt3,1.0002110515234308,12318.159499496684
std_s57,standard,1,57,1,hmc,2,beta[unit0]:Price,1.0000047309034477,17380.578052861405
std_s57,standard,1,57,1,hmc,2,beta[unit299]:Alt1,1.0003890166592315,9781.87821933905
std_s57,standard,1,57,1,hmc,2,beta[unit299]:Alt2,1.0000423170478296,9662.061377536898
std_s57,standard,1,57,1,hmc,2,beta[unit299]:Alt3,0.9999855968074672,9148.007217770228
std_s57,standard,1,57,1,hmc,2,beta[unit299]:Price,0.9999998635176984,12108.999263942556
std_s58,standard,1,58,1,hmc,2,mu:Alt1,1.000828857994798,1314.4903276990888
std_s58,standard,1,58,1,hmc,2,mu:Alt2,1.0015079296038605,3414.400961319465
std_s58,standard,1,58,1,hmc,2,mu:Alt3,1.0002901854020227,2277.3902504912694
std_s58,standard,1,58,1,hmc,2,mu:Price,1.000960337063611,1281.0467779371445
std_s58,standard,1,58,1,hmc,2,"Sigma:Alt1,Alt1",1.000383942622224,978.9247272207976
std_s58,standard,1,58,1,hmc,2,"Sigma:Alt2,Alt1",1.0006848873488507,1555.9242934014258
std_s58,standard,1,58,1,hmc,2,"Sigma:Alt2,Alt2",1.0003660046011265,420.0873754147704
std_s58,standard,1,58,1,hmc,2,"Sigma:Alt3,Alt1",1.0007960110505256,715.0768305774935
std_s58,standard,1,58,1,hmc,2,"Sigma:Alt3,Alt2",1.0002573136752162,1704.1609011843486
std_s58,standard,1,58,1,hmc,2,"Sigma:Alt3,Alt3",1.001589991810807,595.6534506426834
std_s58,standard,1,58,1,hmc,2,"Sigma:Price,Alt1",1.0007410191108106,1852.1095819479344
std_s58,standard,1,58,1,hmc,2,"Sigma:Price,Alt2",1.0009653279513548,1090.6737209889384
std_s58,standard,1,58,1,hmc,2,"Sigma:Price,Alt3",1.0004544316960238,1299.4587109075935
std_s58,standard,1,58,1,hmc,2,"Sigma:Price,Price",1.001130779714181,2367.8541019681725
std_s58,standard,1,58,1,hmc,2,tr(Sigma),1.0011027131861778,1576.161426271168
std_s58,standard,1,58,1,hmc,2,Delta:z1:Alt1,1.000067165438285,1322.6233139863848
std_s58,standard,1,58,1,hmc,2,Delta:z1:Alt2,1.0002676325208442,2184.077293580641
std_s58,standard,1,58,1,hmc,2,Delta:z1:Alt3,1.000661080372388,1686.5221989894785
std_s58,standard,1,58,1,hmc,2,Delta:z1:Price,1.0006817373819688,1585.128942490831
std_s58,standard,1,58,1,hmc,2,Delta:z2:Alt1,1.0017532656525758,1192.623537257924
std_s58,standard,1,58,1,hmc,2,Delta:z2:Alt2,1.000289863385592,2008.4454713044488
std_s58,standard,1,58,1,hmc,2,Delta:z2:Alt3,1.0004585623636149,1691.420309022778
std_s58,standard,1,58,1,hmc,2,Delta:z2:Price,1.0010108704710077,1332.9926780666897
std_s58,standard,1,58,1,hmc,2,beta[unit0]:Alt1,0.9999824602510156,10426.287748037788
std_s58,standard,1,58,1,hmc,2,beta[unit0]:Alt2,1.000012454030477,5470.087866993302
std_s58,standard,1,58,1,hmc,2,beta[unit0]:Alt3,1.0000616000544418,9238.49325725874
std_s58,standard,1,58,1,hmc,2,beta[unit0]:Price,0.9999397232878078,13589.788618347442
std_s58,standard,1,58,1,hmc,2,beta[unit299]:Alt1,1.000183280156262,14070.241037637516
std_s58,standard,1,58,1,hmc,2,beta[unit299]:Alt2,1.0000298286498128,12726.526600129073
std_s58,standard,1,58,1,hmc,2,beta[unit299]:Alt3,1.000228529056448,9738.250254973427
std_s58,standard,1,58,1,hmc,2,beta[unit299]:Price,1.000105217129608,12380.078590343326
std_s59,standard,1,59,1,hmc,2,mu:Alt1,1.0008763422436446,2127.559294411166
