dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,grid,param,retained_mass_model,retained_mass_true,Hellinger,KL,JSD,TVD,Wasserstein1
std_s08,standard,1,8,1,bayesm,2,full,Alt1,0.9999999999992664,1.0,0.07321,0.02425,0.00528,0.06893,0.15167
std_s08,standard,1,8,1,bayesm,2,full,Alt2,0.9999999999996412,0.9999999999999996,0.03634,0.00533,0.00132,0.04056,0.11859
std_s08,standard,1,8,1,bayesm,2,full,Alt3,0.9999999999989588,0.9999999999999076,0.03162,0.00389,0.001,0.03309,0.03943
std_s08,standard,1,8,1,bayesm,2,full,Price,0.9999999999968012,0.9999999999996346,0.02071,0.0017,0.00043,0.02317,0.07971
std_s08,standard,1,8,1,bayesm,2,chebyshev,Alt1,0.9999981022215269,0.9999999885162416,0.07321,0.02424,0.00528,0.06893,0.15166
std_s08,standard,1,8,1,bayesm,2,chebyshev,Alt2,0.999998593239996,0.999999576026124,0.03634,0.00533,0.00132,0.04056,0.11858
std_s08,standard,1,8,1,bayesm,2,chebyshev,Alt3,0.9999994993571624,0.9999994266968562,0.03162,0.00389,0.001,0.03309,0.03943
std_s08,standard,1,8,1,bayesm,2,chebyshev,Price,0.9999991169516864,0.9999994434747816,0.02071,0.0017,0.00043,0.02317,0.07971
std_s09,standard,1,9,1,bayesm,2,full,Alt1,0.9999999999990776,0.99999999999997,0.01286,0.00065,0.00017,0.0138,0.03108
std_s09,standard,1,9,1,bayesm,2,full,Alt2,0.999999999995516,0.9999999999999912,0.01789,0.00133,0.00032,0.01529,0.036
std_s09,standard,1,9,1,bayesm,2,full,Alt3,0.9999999999992446,0.9999999999999932,0.01802,0.00128,0.00032,0.0199,0.05729
std_s09,standard,1,9,1,bayesm,2,full,Price,0.9999999999963176,0.9999999999999768,0.03009,0.00374,0.0009,0.03115,0.08666
std_s09,standard,1,9,1,bayesm,2,chebyshev,Alt1,0.999999139227587,0.9999994266968562,0.01286,0.00065,0.00017,0.0138,0.03108
std_s09,standard,1,9,1,bayesm,2,chebyshev,Alt2,0.999998494299412,0.9999997760258832,0.01788,0.00133,0.00032,0.01529,0.036
std_s09,standard,1,9,1,bayesm,2,chebyshev,Alt3,0.9999988253980996,0.9999994266968562,0.01802,0.00128,0.00032,0.0199,0.05729
std_s09,standard,1,9,1,bayesm,2,chebyshev,Price,0.9999988496123816,0.999999744718516,0.03009,0.00374,0.0009,0.03115,0.08666
