dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,row,col,post_mean,post_std,ci_low,ci_high,true_value,empirical,abs_diff,in_ci
std_s67,standard,1,67,1,hmc,2,Alt1,Alt1,1.188032865524292,0.1380704641342163,0.9386687144637108,1.4834689497947693,1.092283584792736,1.1616723206018262,0.0957492807315558,True
std_s67,standard,1,67,1,hmc,2,Alt2,Alt1,-0.1696723103523254,0.1014572158455848,-0.3666267395019531,0.0328640023246403,0.0,0.1800610468922149,0.1696723103523254,True
std_s67,standard,1,67,1,hmc,2,Alt2,Alt2,0.8772725462913513,0.1453846991062164,0.6216440469026565,1.1966934680938714,0.8101514668880367,1.969059790907421,0.0671210794033145,True
std_s67,standard,1,67,1,hmc,2,Alt3,Alt1,0.002908646594733,0.1230214834213256,-0.2320894911885261,0.251500398665666,0.0,0.1530240128983216,0.002908646594733,True
std_s67,standard,1,67,1,hmc,2,Alt3,Alt2,0.2295823991298675,0.1315149366855621,-0.0227904987055808,0.5018483221530899,0.0,0.5004996991926186,0.2295823991298675,True
std_s67,standard,1,67,1,hmc,2,Alt3,Alt3,2.046008586883545,0.2286166548728943,1.64132262468338,2.5345401763916016,1.8679977588228895,2.0484205950562955,0.1780108280606551,True
std_s67,standard,1,67,1,hmc,2,Price,Alt1,-0.2449030727148056,0.1106272339820861,-0.4696298010647297,-0.0326460129581398,0.0,-0.0733793557412409,0.2449030727148056,False
std_s67,standard,1,67,1,hmc,2,Price,Alt2,-0.1654659360647201,0.1103211194276809,-0.3881146132946014,0.0453535951673984,0.0,-0.0230440202189303,0.1654659360647201,True
std_s67,standard,1,67,1,hmc,2,Price,Alt3,-0.1030934825539588,0.1339766234159469,-0.369206964969635,0.1565777420997616,0.0,0.0026856122928772,0.1030934825539588,True
std_s67,standard,1,67,1,hmc,2,Price,Price,1.7894306182861328,0.1745640188455581,1.4777514547109605,2.158461385965347,1.831588000530913,1.8192017952080248,0.0421573822447802,True
std_s68,standard,1,68,1,hmc,2,Alt1,Alt1,0.8311207294464111,0.1063596904277801,0.6384800970554352,1.0517733812332148,0.7787342469847237,1.4996457662772242,0.0523864824616874,True
std_s68,standard,1,68,1,hmc,2,Alt2,Alt1,0.0108845699578523,0.0922171846032142,-0.1632581800222396,0.1976397570222615,0.0,0.4518728491441606,0.0108845699578523,True
std_s68,standard,1,68,1,hmc,2,Alt2,Alt2,1.2242072820663452,0.166426345705986,0.9403819352388382,1.5877314805984497,1.1671036192371944,1.506157303049014,0.0571036628291508,True
std_s68,standard,1,68,1,hmc,2,Alt3,Alt1,-0.182211548089981,0.101169615983963,-0.3799104131758213,0.0154605943942435,0.0,-0.1334111250160614,0.182211548089981,True
std_s68,standard,1,68,1,hmc,2,Alt3,Alt2,-0.0564686581492424,0.1258035451173782,-0.3032895781099796,0.1932240806519985,0.0,-0.1978863104723441,0.0564686581492424,True
std_s68,standard,1,68,1,hmc,2,Alt3,Alt3,1.607282280921936,0.1985517293214798,1.258840709924698,2.0337813079357137,1.6460666143392106,1.962262843987587,0.0387843334172746,True
std_s68,standard,1,68,1,hmc,2,Price,Alt1,-0.0372924320399761,0.1010824218392372,-0.2396621957421302,0.1598473556339739,0.0,0.1666520475451836,0.0372924320399761,True
std_s68,standard,1,68,1,hmc,2,Price,Alt2,-0.0836090445518493,0.117363266646862,-0.3192564219236374,0.14161680303514,0.0,0.065066141621524,0.0836090445518493,True
std_s68,standard,1,68,1,hmc,2,Price,Alt3,-0.0179212559014558,0.1303584426641464,-0.2745123267173767,0.2334520135074852,0.0,-0.0061402793799288,0.0179212559014558,True
std_s68,standard,1,68,1,hmc,2,Price,Price,1.9459636211395264,0.1858041137456894,1.6134814351797104,2.3293466031551358,1.649659187962324,1.9590307000977687,0.2963044331772022,True
std_s69,standard,1,69,1,hmc,2,Alt1,Alt1,1.138669490814209,0.1511290669441223,0.8754973322153091,1.4672875225543975,0.9446093825719956,1.6064524037402912,0.1940601082422133,True
std_s69,standard,1,69,1,hmc,2,Alt2,Alt1,-0.0146152256056666,0.1091581881046295,-0.22590376958251,0.2069340296089645,0.0,-0.5955595667055564,0.0146152256056666,True
std_s69,standard,1,69,1,hmc,2,Alt2,Alt2,1.0785988569259644,0.1574877202510833,0.798848831653595,1.415562120079994,1.0075049845348665,1.5550596908913574,0.0710938723910981,True
std_s69,standard,1,69,1,hmc,2,Alt3,Alt1,0.0862902402877807,0.0915691331028938,-0.0894508443772792,0.273339819908142,0.0,-0.2624604523317139,0.0862902402877807,True
std_s69,standard,1,69,1,hmc,2,Alt3,Alt2,0.0690415650606155,0.0962331667542457,-0.1118099521845579,0.2655273184180257,0.0,0.2202939853067753,0.0690415650606155,True
std_s69,standard,1,69,1,hmc,2,Alt3,Alt3,0.865039050579071,0.1112008392810821,0.6660641625523567,1.104969635605812,0.8326238035086218,0.9101123057830252,0.0324152470704492,True
std_s69,standard,1,69,1,hmc,2,Price,Alt1,0.1808304190635681,0.1123241409659385,-0.0384281228296458,0.4056645333766936,0.0,-0.3203881503163714,0.1808304190635681,True
std_s69,standard,1,69,1,hmc,2,Price,Alt2,0.0798895955085754,0.1111580729484558,-0.1355374194681644,0.3018529653549194,0.0,0.4431113383187788,0.0798895955085754,True
std_s69,standard,1,69,1,hmc,2,Price,Alt3,-0.1730701476335525,0.0991992428898811,-0.3711261853575706,0.0154328577453259,0.0,0.1543008763182971,0.1730701476335525,True
std_s69,standard,1,69,1,hmc,2,Price,Price,1.8241899013519287,0.1810092031955719,1.502942070364952,2.21341415643692,1.5785103330131078,2.328268583456209,0.2456795683388208,True
std_s70,standard,1,70,1,hmc,2,Alt1,Alt1,1.174042582511902,0.1551138758659362,0.8962048903107643,1.505024719238281,1.1302758320552286,1.146714997693807,0.0437667504566732,True
std_s70,standard,1,70,1,hmc,2,Alt2,Alt1,-0.0625537484884262,0.1108082085847854,-0.2738103523850441,0.1614572331309317,0.0,-0.199150099728873,0.0625537484884262,True
std_s70,standard,1,70,1,hmc,2,Alt2,Alt2,1.248407006263733,0.1579429358243942,0.9723745435476304,1.5892987608909606,1.3926706278247611,1.5491912594468833,0.1442636215610282,True
std_s70,standard,1,70,1,hmc,2,Alt3,Alt1,-0.2142748087644577,0.1170035675168037,-0.4423229396343231,0.0201497596222903,0.0,-0.1403839342957877,0.2142748087644577,True
std_s70,standard,1,70,1,hmc,2,Alt3,Alt2,0.0218461696058511,0.1217835322022438,-0.2105803985148668,0.2697124116122717,0.0,-0.1944618935041354,0.0218461696058511,True
std_s70,standard,1,70,1,hmc,2,Alt3,Alt3,1.2304950952529907,0.1907668560743332,0.8888657107949257,1.636165446043014,1.227852141247761,1.6881589067096447,0.0026429540052297,True
std_s70,standard,1,70,1,hmc,2,Price,Alt1,-0.0045653679408133,0.0885557308793068,-0.173683139309287,0.1747370123863217,0.0,0.0931873147743828,0.0045653679408133,True
std_s70,standard,1,70,1,hmc,2,Price,Alt2,-0.0930022224783897,0.0907693579792976,-0.2716482773423195,0.0849668443202971,0.0,-0.1711555717225921,0.0930022224783897,True
std_s70,standard,1,70,1,hmc,2,Price,Alt3,-0.0513786189258098,0.0927436649799346,-0.2340262148529291,0.1316544566303489,0.0,-0.0613121453546252,0.0513786189258098,True
