dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,functional,Rhat,ESS_bulk,ESS_tail,ESS_bulk/s,ESS_tail/s
std_s12,standard,1,12,1,nuts,2,Alt3,mean,1.0001397609758231,6102.456721164364,10091.149464008378,11.891222980113335,19.663573849857517
std_s12,standard,1,12,1,nuts,2,Alt3,sd,1.0000524435261724,3705.16805423814,7474.788583811887,7.219875785261091,14.56534340850735
std_s12,standard,1,12,1,nuts,2,Alt3,q05,0.9999721312344142,3872.727093782244,7518.487873142319,7.546380665605805,14.650495670496928
std_s12,standard,1,12,1,nuts,2,Alt3,q50,1.0001397477282246,6102.460315444612,10091.149464008378,11.891229983913584,19.663573849857517
std_s12,standard,1,12,1,nuts,2,Alt3,q95,1.0001859301616176,5241.855847999715,9306.851389945206,10.21425952960836,18.13529373125978
std_s12,standard,1,12,1,nuts,2,Price,mean,1.0000217800260711,14227.457732303896,14150.85135604926,27.723567747430568,27.57429286628589
std_s12,standard,1,12,1,nuts,2,Price,sd,1.0004916773634267,12336.216974775642,14216.432408234585,24.038303503138486,27.702083844647365
std_s12,standard,1,12,1,nuts,2,Price,q05,1.0000614230144136,13218.768643942589,15457.994782519829,25.75804018773278,30.121387366316227
std_s12,standard,1,12,1,nuts,2,Price,q50,1.000021779273106,14227.453476832448,14150.85135604926,27.72355945523577,27.57429286628589
std_s12,standard,1,12,1,nuts,2,Price,q95,1.0000251279889365,12769.17584347036,16020.574950372446,24.88196543866864,31.21762885163866
std_s13,standard,1,13,1,nuts,2,Alt1,mean,1.0002294744536522,8252.3963057384,12383.067417643357,13.391964405144916,20.09520531245879
std_s13,standard,1,13,1,nuts,2,Alt1,sd,1.0003406390570009,5195.998437451615,9048.021184582392,8.432050951691952,14.683102113826868
std_s13,standard,1,13,1,nuts,2,Alt1,q05,1.0004195114620122,8423.096841250188,12285.74699665273,13.66897673111906,19.93727402007843
std_s13,standard,1,13,1,nuts,2,Alt1,q50,1.0002294776331344,8252.399800881882,12383.067417643357,13.391970077053458,20.09520531245879
std_s13,standard,1,13,1,nuts,2,Alt1,q95,1.0002121230682248,4806.640358891136,9890.004534163434,7.80020180924205,16.049470212202515
std_s13,standard,1,13,1,nuts,2,Alt2,mean,1.0001724951934576,9405.473153358176,11498.995332576978,15.263174115345452,18.66053573817302
std_s13,standard,1,13,1,nuts,2,Alt2,sd,1.001000012379765,4718.461393351359,9539.555782480127,7.657105243827463,15.480763010743122
std_s13,standard,1,13,1,nuts,2,Alt2,q05,1.000913046588637,5550.024465032749,10402.880513718592,9.006563345936108,16.881763840379396
std_s13,standard,1,13,1,nuts,2,Alt2,q50,1.0001724954015383,9405.474337257749,11498.995332576978,15.263176036574192,18.66053573817302
std_s13,standard,1,13,1,nuts,2,Alt2,q95,1.0004687591548749,5644.833722466353,10756.29272584208,9.160419529496531,17.455280136707795
std_s13,standard,1,13,1,nuts,2,Alt3,mean,1.000153584683526,8179.6630130915955,11022.508186777795,13.273933032182654,17.88729380217746
std_s13,standard,1,13,1,nuts,2,Alt3,sd,1.0002416466280015,5167.230375238104,10570.953150963996,8.38536622511133,17.154511620791265
std_s13,standard,1,13,1,nuts,2,Alt3,q05,1.0000917888835072,8142.96108636676,12770.730861592654,13.21437325365415,20.724304406855754
std_s13,standard,1,13,1,nuts,2,Alt3,q50,1.000153582400175,8179.657450201881,11022.508186777795,13.27392400474162,17.88729380217746
std_s13,standard,1,13,1,nuts,2,Alt3,q95,1.000409683150723,4722.848910993125,9808.357611931744,7.664225294526508,15.916973827418364
std_s13,standard,1,13,1,nuts,2,Price,mean,0.9999883580144404,9741.35760151313,11757.995315085544,15.808246407960027,19.08084014651511
std_s13,standard,1,13,1,nuts,2,Price,sd,1.0004235245228876,9459.90119392715,13142.86315535339,15.35149977918138,21.32819959649701
std_s13,standard,1,13,1,nuts,2,Price,q05,1.0003423690572628,7573.50216741162,12103.539127703349,12.290256998168868,19.64158762731386
std_s13,standard,1,13,1,nuts,2,Price,q50,0.9999883571041784,9741.365449152534,11757.995315085544,15.808259143086127,19.08084014651511
std_s13,standard,1,13,1,nuts,2,Price,q95,1.0001305863631385,17379.60291299445,15602.795365543943,28.2035683895272,25.32017033777538
std_s14,standard,1,14,1,nuts,2,Alt1,mean,1.00028156299729,6090.997090284998,10582.744174142688,10.061610404025634,17.48144799732839
std_s14,standard,1,14,1,nuts,2,Alt1,sd,1.0002691981605565,3478.893486085245,7117.865617357305,5.746722642491774,11.757876368761758
std_s14,standard,1,14,1,nuts,2,Alt1,q05,1.000233547101797,4454.540945614941,9499.49607108677,7.358377431347673,15.692049607821284
std_s14,standard,1,14,1,nuts,2,Alt1,q50,1.000281565602367,6090.99497384964,10582.744174142688,10.061606907923483,17.48144799732839
std_s14,standard,1,14,1,nuts,2,Alt1,q95,1.0003281519014813,3609.500838627379,7712.825249053652,5.962470619005532,12.74067966541727
std_s14,standard,1,14,1,nuts,2,Alt2,mean,1.0000860326629806,10246.07259230456,12726.671331761934,16.92530616367603,21.022963364160653
std_s14,standard,1,14,1,nuts,2,Alt2,sd,0.9999850997176558,7204.799374725581,10797.782686166456,11.901480705561196,17.836666313438815
