dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,mean_acceptance,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog
std_s21,standard,1,21,1,hmc,2,Delta,kernel_02,0,0.0,0.9186493158340454,,,,,
std_s21,standard,1,21,1,hmc,2,beta_i,kernel_03,0,0.0,0.8927429914474487,,,,,
std_s22,standard,1,22,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9209097623825072,,,,,
std_s22,standard,1,22,1,hmc,2,mu,kernel_01,0,0.0,0.9410831928253174,,,,,
std_s22,standard,1,22,1,hmc,2,Delta,kernel_02,0,0.0,0.9142908453941344,,,,,
std_s22,standard,1,22,1,hmc,2,beta_i,kernel_03,0,0.0,0.8973575234413147,,,,,
std_s23,standard,1,23,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9415103793144226,,,,,
std_s23,standard,1,23,1,hmc,2,mu,kernel_01,0,0.0,0.9313501715660096,,,,,
std_s23,standard,1,23,1,hmc,2,Delta,kernel_02,0,0.0,0.9185194373130798,,,,,
std_s23,standard,1,23,1,hmc,2,beta_i,kernel_03,0,0.0,0.8814007639884949,,,,,
std_s24,standard,1,24,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9183531403541564,,,,,
std_s24,standard,1,24,1,hmc,2,mu,kernel_01,0,0.0,0.9387438297271729,,,,,
std_s24,standard,1,24,1,hmc,2,Delta,kernel_02,0,0.0,0.9247220754623412,,,,,
std_s24,standard,1,24,1,hmc,2,beta_i,kernel_03,0,0.0,0.8949517607688904,,,,,
std_s25,standard,1,25,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.8877982497215271,,,,,
std_s25,standard,1,25,1,hmc,2,mu,kernel_01,0,0.0,0.9364289045333862,,,,,
std_s25,standard,1,25,1,hmc,2,Delta,kernel_02,0,0.0,0.9112273454666138,,,,,
std_s25,standard,1,25,1,hmc,2,beta_i,kernel_03,0,0.0,0.9008654356002808,,,,,
std_s26,standard,1,26,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9102255702018738,,,,,
std_s26,standard,1,26,1,hmc,2,mu,kernel_01,0,0.0,0.9299403429031372,,,,,
std_s26,standard,1,26,1,hmc,2,Delta,kernel_02,0,0.0,0.920339286327362,,,,,
std_s26,standard,1,26,1,hmc,2,beta_i,kernel_03,0,0.0,0.8977387547492981,,,,,
std_s27,standard,1,27,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9049564599990844,,,,,
std_s27,standard,1,27,1,hmc,2,mu,kernel_01,0,0.0,0.9404804706573486,,,,,
std_s27,standard,1,27,1,hmc,2,Delta,kernel_02,0,0.0,0.9255256056785583,,,,,
std_s27,standard,1,27,1,hmc,2,beta_i,kernel_03,0,0.0,0.897394061088562,,,,,
std_s28,standard,1,28,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9164509773254396,,,,,
std_s28,standard,1,28,1,hmc,2,mu,kernel_01,0,0.0,0.929980456829071,,,,,
std_s28,standard,1,28,1,hmc,2,Delta,kernel_02,0,0.0,0.9204005002975464,,,,,
std_s28,standard,1,28,1,hmc,2,beta_i,kernel_03,0,0.0,0.8936183452606201,,,,,
std_s29,standard,1,29,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9136849641799928,,,,,
std_s29,standard,1,29,1,hmc,2,mu,kernel_01,0,0.0,0.9452753663063048,,,,,
std_s29,standard,1,29,1,hmc,2,Delta,kernel_02,0,0.0,0.9277048110961914,,,,,
std_s29,standard,1,29,1,hmc,2,beta_i,kernel_03,0,0.0,0.8946630954742432,,,,,
std_s30,standard,1,30,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9267244338989258,,,,,
std_s30,standard,1,30,1,hmc,2,mu,kernel_01,0,0.0,0.9323185682296752,,,,,
std_s30,standard,1,30,1,hmc,2,Delta,kernel_02,0,0.0,0.9102892875671388,,,,,
std_s30,standard,1,30,1,hmc,2,beta_i,kernel_03,0,0.0,0.9018058776855468,,,,,
std_s31,standard,1,31,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9184998273849488,,,,,
std_s31,standard,1,31,1,hmc,2,mu,kernel_01,0,0.0,0.9227679967880248,,,,,
std_s31,standard,1,31,1,hmc,2,Delta,kernel_02,0,0.0,0.913310170173645,,,,,
std_s31,standard,1,31,1,hmc,2,beta_i,kernel_03,0,0.0,0.8865029215812683,,,,,
std_s32,standard,1,32,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9147640466690063,,,,,
std_s32,standard,1,32,1,hmc,2,mu,kernel_01,0,0.0,0.9454361200332642,,,,,
std_s32,standard,1,32,1,hmc,2,Delta,kernel_02,0,0.0,0.9246987104415894,,,,,
std_s32,standard,1,32,1,hmc,2,beta_i,kernel_03,0,0.0,0.8908195495605469,,,,,
std_s33,standard,1,33,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9113775491714478,,,,,
std_s33,standard,1,33,1,hmc,2,mu,kernel_01,0,0.0,0.9393184781074524,,,,,
std_s33,standard,1,33,1,hmc,2,Delta,kernel_02,0,0.0,0.9172378182411194,,,,,
std_s33,standard,1,33,1,hmc,2,beta_i,kernel_03,0,0.0,0.8959046006202698,,,,,
std_s34,standard,1,34,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9141978621482848,,,,,
std_s34,standard,1,34,1,hmc,2,mu,kernel_01,0,0.0,0.9302511811256408,,,,,
std_s34,standard,1,34,1,hmc,2,Delta,kernel_02,0,0.0,0.9184140563011168,,,,,
std_s34,standard,1,34,1,hmc,2,beta_i,kernel_03,0,0.0,0.8964622020721436,,,,,
std_s35,standard,1,35,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9093136787414552,,,,,
std_s35,standard,1,35,1,hmc,2,mu,kernel_01,0,0.0,0.9180963039398192,,,,,
std_s35,standard,1,35,1,hmc,2,Delta,kernel_02,0,0.0,0.901496410369873,,,,,
std_s35,standard,1,35,1,hmc,2,beta_i,kernel_03,0,0.0,0.8982762694358826,,,,,
std_s36,standard,1,36,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9220494031906128,,,,,
std_s36,standard,1,36,1,hmc,2,mu,kernel_01,0,0.0,0.9432366490364076,,,,,
std_s36,standard,1,36,1,hmc,2,Delta,kernel_02,0,0.0,0.9186179637908936,,,,,
std_s36,standard,1,36,1,hmc,2,beta_i,kernel_03,0,0.0,0.9025470614433287,,,,,
std_s37,standard,1,37,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.919347643852234,,,,,
std_s37,standard,1,37,1,hmc,2,mu,kernel_01,0,0.0,0.9231151342391968,,,,,
std_s37,standard,1,37,1,hmc,2,Delta,kernel_02,0,0.0,0.9130566120147704,,,,,
std_s37,standard,1,37,1,hmc,2,beta_i,kernel_03,0,0.0,0.8954957127571106,,,,,
std_s38,standard,1,38,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9116689562797546,,,,,
std_s38,standard,1,38,1,hmc,2,mu,kernel_01,0,0.0,0.9454033970832824,,,,,
std_s38,standard,1,38,1,hmc,2,Delta,kernel_02,0,0.0,0.912390410900116,,,,,
std_s38,standard,1,38,1,hmc,2,beta_i,kernel_03,0,0.0,0.898440420627594,,,,,
std_s39,standard,1,39,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9138809442520142,,,,,
std_s39,standard,1,39,1,hmc,2,mu,kernel_01,0,0.0,0.9385501742362976,,,,,
std_s39,standard,1,39,1,hmc,2,Delta,kernel_02,0,0.0,0.9337902069091796,,,,,
std_s39,standard,1,39,1,hmc,2,beta_i,kernel_03,0,0.0,0.906150996685028,,,,,
std_s40,standard,1,40,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9221500754356384,,,,,
std_s40,standard,1,40,1,hmc,2,mu,kernel_01,0,0.0,0.942788064479828,,,,,
std_s40,standard,1,40,1,hmc,2,Delta,kernel_02,0,0.0,0.9138230681419371,,,,,
std_s40,standard,1,40,1,hmc,2,beta_i,kernel_03,0,0.0,0.8836053609848022,,,,,
std_s41,standard,1,41,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9246017336845398,,,,,
std_s41,standard,1,41,1,hmc,2,mu,kernel_01,0,0.0,0.9360045194625854,,,,,
std_s41,standard,1,41,1,hmc,2,Delta,kernel_02,0,0.0,0.9208679795265198,,,,,
std_s41,standard,1,41,1,hmc,2,beta_i,kernel_03,0,0.0,0.8798107504844666,,,,,
std_s42,standard,1,42,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9319415092468262,,,,,
std_s42,standard,1,42,1,hmc,2,mu,kernel_01,0,0.0,0.9411486387252808,,,,,
std_s42,standard,1,42,1,hmc,2,Delta,kernel_02,0,0.0,0.9241130948066713,,,,,
std_s42,standard,1,42,1,hmc,2,beta_i,kernel_03,0,0.0,0.8971756100654602,,,,,
std_s43,standard,1,43,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9025010466575624,,,,,
std_s43,standard,1,43,1,hmc,2,mu,kernel_01,0,0.0,0.932220697402954,,,,,
std_s43,standard,1,43,1,hmc,2,Delta,kernel_02,0,0.0,0.9051339626312256,,,,,
std_s43,standard,1,43,1,hmc,2,beta_i,kernel_03,0,0.0,0.8950764536857605,,,,,
std_s44,standard,1,44,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.91806560754776,,,,,
std_s44,standard,1,44,1,hmc,2,mu,kernel_01,0,0.0,0.9339181780815125,,,,,
std_s44,standard,1,44,1,hmc,2,Delta,kernel_02,0,0.0,0.926551103591919,,,,,
std_s44,standard,1,44,1,hmc,2,beta_i,kernel_03,0,0.0,0.8890579342842102,,,,,
std_s45,standard,1,45,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.8893411159515381,,,,,
std_s45,standard,1,45,1,hmc,2,mu,kernel_01,0,0.0,0.9292709231376648,,,,,
std_s45,standard,1,45,1,hmc,2,Delta,kernel_02,0,0.0,0.8990001678466797,,,,,
std_s45,standard,1,45,1,hmc,2,beta_i,kernel_03,0,0.0,0.8945993185043335,,,,,
std_s46,standard,1,46,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.921360731124878,,,,,
std_s46,standard,1,46,1,hmc,2,mu,kernel_01,0,0.0,0.9323646426200868,,,,,
std_s46,standard,1,46,1,hmc,2,Delta,kernel_02,0,0.0,0.9075615406036376,,,,,
std_s46,standard,1,46,1,hmc,2,beta_i,kernel_03,0,0.0,0.8964686393737793,,,,,
std_s47,standard,1,47,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9060093760490416,,,,,
std_s47,standard,1,47,1,hmc,2,mu,kernel_01,0,0.0,0.9453336000442504,,,,,
std_s47,standard,1,47,1,hmc,2,Delta,kernel_02,0,0.0,0.9232681393623352,,,,,
std_s47,standard,1,47,1,hmc,2,beta_i,kernel_03,0,0.0,0.8921853303909302,,,,,
std_s48,standard,1,48,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9212615489959716,,,,,
std_s48,standard,1,48,1,hmc,2,mu,kernel_01,0,0.0,0.9377800822257996,,,,,
std_s48,standard,1,48,1,hmc,2,Delta,kernel_02,0,0.0,0.910926342010498,,,,,
std_s48,standard,1,48,1,hmc,2,beta_i,kernel_03,0,0.0,0.8976842761039734,,,,,
std_s49,standard,1,49,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.926379382610321,,,,,
std_s49,standard,1,49,1,hmc,2,mu,kernel_01,0,0.0,0.9442153573036194,,,,,
std_s49,standard,1,49,1,hmc,2,Delta,kernel_02,0,0.0,0.9131279587745668,,,,,
std_s49,standard,1,49,1,hmc,2,beta_i,kernel_03,0,0.0,0.8909984230995178,,,,,
std_s50,standard,1,50,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9138757586479188,,,,,
std_s50,standard,1,50,1,hmc,2,mu,kernel_01,0,0.0,0.9205853343009948,,,,,
std_s50,standard,1,50,1,hmc,2,Delta,kernel_02,0,0.0,0.9197036027908324,,,,,
std_s50,standard,1,50,1,hmc,2,beta_i,kernel_03,0,0.0,0.8877460956573486,,,,,
std_s51,standard,1,51,1,hmc,2,sigma_inv_chol_latent,kernel_00,0,0.0,0.9035080075263976,,,,,
std_s51,standard,1,51,1,hmc,2,mu,kernel_01,0,0.0,0.9428314566612244,,,,,
std_s51,standard,1,51,1,hmc,2,Delta,kernel_02,0,0.0,0.9179593920707704,,,,,
