dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
std_s69,standard,1,69,1,bayesm,2,z2,Alt1,-0.2699173095770319,0.077000658203581,-0.4211836636583315,-0.1192299065944741,-0.3381353298597788,0.0682180202827468,True
std_s69,standard,1,69,1,bayesm,2,z2,Alt2,0.3640511675769164,0.0814253260891137,0.2040558783458439,0.5235044967587903,0.2733406218533387,0.0907105457235777,True
std_s69,standard,1,69,1,bayesm,2,z2,Alt3,-0.1028319452422862,0.0678480102813816,-0.2350522503773943,0.0300280900950729,-0.1523850468292401,0.0495531015869539,True
std_s69,standard,1,69,1,bayesm,2,z2,Price,-0.2457983417651787,0.083515439037562,-0.4089525663492082,-0.0806782805430572,-0.3137441551612172,0.0679458133960384,True
std_s70,standard,1,70,1,bayesm,2,z1,Alt1,0.0545514784368556,0.0740091875749784,-0.0912303198061952,0.1987152819536762,0.1201864254461417,-0.065634947009286,True
std_s70,standard,1,70,1,bayesm,2,z1,Alt2,-0.3606123638734745,0.0765669068106054,-0.5120083128292858,-0.2120930330788576,-0.4091453588374359,0.0485329949639614,True
std_s70,standard,1,70,1,bayesm,2,z1,Alt3,0.5956602992681773,0.0857610464128438,0.4299601592102986,0.7671172797253728,0.5617746480563512,0.033885651211826,True
std_s70,standard,1,70,1,bayesm,2,z1,Price,0.0431909366156645,0.0624812482420474,-0.077723003485469,0.163900013367316,0.0695746753821802,-0.0263837387665157,True
std_s70,standard,1,70,1,bayesm,2,z2,Alt1,0.2917119358900975,0.0788195051493753,0.1347200906255836,0.4452885870994378,0.3367021708739506,-0.0449902349838531,True
std_s70,standard,1,70,1,bayesm,2,z2,Alt2,-0.2473595049116172,0.0793638479157024,-0.404362700656648,-0.0918602427917321,-0.138165924315838,-0.1091935805957791,True
std_s70,standard,1,70,1,bayesm,2,z2,Alt3,-0.2227150881113436,0.0869143629081864,-0.3933604842991399,-0.0512587958024976,-0.140855572311292,-0.0818595158000516,True
std_s70,standard,1,70,1,bayesm,2,z2,Price,0.3035280908467569,0.0659226603555291,0.1743397222514807,0.4329177062714926,0.4206959607990856,-0.1171678699523286,True
std_s71,standard,1,71,1,bayesm,2,z1,Alt1,0.5737486652557287,0.0609745516171179,0.454361548539676,0.6920130638673477,0.5613354951453734,0.0124131701103552,True
std_s71,standard,1,71,1,bayesm,2,z1,Alt2,-0.3136127126908977,0.0647932708978382,-0.4412075912065095,-0.1873164957220857,-0.3594858695836626,0.0458731568927649,True
std_s71,standard,1,71,1,bayesm,2,z1,Alt3,-0.2741266629706058,0.0989314793498585,-0.468738425764706,-0.0793096964526828,-0.104501931959872,-0.1696247310107337,True
std_s71,standard,1,71,1,bayesm,2,z1,Price,0.1373921496888198,0.0519109192102907,0.0357726815308041,0.2393121993283436,0.0874390307438988,0.049953118944921,True
std_s71,standard,1,71,1,bayesm,2,z2,Alt1,0.4269778560457829,0.0587150019423779,0.3121861126526273,0.5410406799860162,0.399372010585276,0.0276058454605069,True
std_s71,standard,1,71,1,bayesm,2,z2,Alt2,0.0425255805223884,0.061148305569431,-0.0766184890284375,0.1630991522636092,0.0772821257770093,-0.0347565452546208,True
std_s71,standard,1,71,1,bayesm,2,z2,Alt3,0.0879210810457182,0.0928949116350384,-0.092642038844528,0.271068163453567,0.0974369997984711,-0.0095159187527528,True
std_s71,standard,1,71,1,bayesm,2,z2,Price,-0.2699872574603076,0.0498122764076366,-0.3692247636019732,-0.1721425521830756,-0.3962170493645655,0.1262297919042578,False
std_s72,standard,1,72,1,bayesm,2,z1,Alt1,-0.0365304027591567,0.0735454691094454,-0.1782206676607604,0.1072110698974377,0.053512444572156,-0.0900428473313127,True
std_s72,standard,1,72,1,bayesm,2,z1,Alt2,-0.593913341995075,0.0892243171079588,-0.7700865090512563,-0.4201172435919148,-0.60219677942969,0.008283437434615,True
std_s72,standard,1,72,1,bayesm,2,z1,Alt3,-1.0471371113102768,0.0712999375481686,-1.1881801559557192,-0.9071917236211304,-1.115608609939352,0.0684714986290753,True
std_s72,standard,1,72,1,bayesm,2,z1,Price,0.0259178888368446,0.069890391553164,-0.1105951577897771,0.1636811743442483,0.0469708378054486,-0.021052948968604,True
std_s72,standard,1,72,1,bayesm,2,z2,Alt1,0.2859363076172361,0.0755391369592903,0.1390878236009164,0.4351705456173353,0.1003115905679588,0.1856247170492772,False
std_s72,standard,1,72,1,bayesm,2,z2,Alt2,-0.0602484940137754,0.0924191495039471,-0.2403546601945306,0.1210996141069981,-0.1691375814826466,0.1088890874688712,True
std_s72,standard,1,72,1,bayesm,2,z2,Alt3,0.4509243506970193,0.0724093516663158,0.3110246832325099,0.5920185017515642,0.5229434354132786,-0.0720190847162592,True
std_s72,standard,1,72,1,bayesm,2,z2,Price,-0.8602400425443626,0.0749455699478476,-1.0087279813496894,-0.7148061170974344,-0.9147814135794672,0.0545413710351044,True
std_s73,standard,1,73,1,bayesm,2,z1,Alt1,0.6920389659348843,0.0777723786197979,0.5384386957410615,0.842817511956482,0.6580536925750157,0.0339852733598686,True
std_s73,standard,1,73,1,bayesm,2,z1,Alt2,0.4279674419315459,0.0806429684921147,0.2714318093330878,0.5863653918683461,0.4638997108067016,-0.0359322688751557,True
