dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,bias,rmse,mean_abs_err,coverage95
std_s82,standard,1,82,1,hmc,2,Alt2,0.0154976626695869,0.4955540680893467,0.3825015561014166,0.94
std_s82,standard,1,82,1,hmc,2,Alt3,0.0237362316539887,0.6052778179064947,0.4728335706640526,0.9266666666666666
std_s82,standard,1,82,1,hmc,2,Price,-0.0016956696384294,0.3469964777700333,0.2659101507324999,0.96
std_s83,standard,1,83,1,hmc,2,Alt1,0.0543666301854167,0.6915744841924235,0.5437118094772728,0.96
std_s83,standard,1,83,1,hmc,2,Alt2,0.0188373060847373,0.5923468331734062,0.4675281167999227,0.9633333333333334
std_s83,standard,1,83,1,hmc,2,Alt3,-0.0082019727817167,0.7150066940117171,0.5691659418761145,0.9466666666666668
std_s83,standard,1,83,1,hmc,2,Price,0.0109981048180064,0.3142863161683105,0.244644788140687,0.94
std_s84,standard,1,84,1,hmc,2,Alt1,-0.0327069229572111,0.6152557023812726,0.4883743859426831,0.94
std_s84,standard,1,84,1,hmc,2,Alt2,-0.0573354931445419,0.6070186087861026,0.457239933032609,0.93
std_s84,standard,1,84,1,hmc,2,Alt3,-0.0272348009327161,0.5529151939042463,0.434820519407894,0.9333333333333332
std_s84,standard,1,84,1,hmc,2,Price,0.0069350170288146,0.5897061685814343,0.4392051800857607,0.95
std_s85,standard,1,85,1,hmc,2,Alt1,0.0143721798879111,0.7172587021983273,0.5453398694261196,0.9666666666666668
std_s85,standard,1,85,1,hmc,2,Alt2,-0.0025045068530947,0.4828647778092083,0.3782197816666491,0.9333333333333332
std_s85,standard,1,85,1,hmc,2,Alt3,-0.0199890329623736,0.526907318973372,0.4070521341146044,0.9533333333333334
std_s85,standard,1,85,1,hmc,2,Price,0.0163784673533071,0.3014253770896581,0.2349381313810773,0.9433333333333334
std_s86,standard,1,86,1,hmc,2,Alt1,-0.006277905746498,0.5540148473521868,0.4325198056541575,0.9566666666666668
std_s86,standard,1,86,1,hmc,2,Alt2,0.0080836203118225,0.6519120045769191,0.5289024492033612,0.9433333333333334
std_s86,standard,1,86,1,hmc,2,Alt3,-0.0121276193501215,0.5338152590377071,0.4145501987388669,0.9366666666666666
std_s86,standard,1,86,1,hmc,2,Price,-0.0053589372557334,0.3895327729498755,0.2887593934776837,0.96
std_s87,standard,1,87,1,hmc,2,Alt1,-0.015242473972224,0.5765696870683414,0.4524077562325093,0.9466666666666668
std_s87,standard,1,87,1,hmc,2,Alt2,0.033473412099301,0.6790153849522431,0.5398005568942255,0.96
std_s87,standard,1,87,1,hmc,2,Alt3,0.1340243829315077,0.759816732690599,0.5675811981224002,0.92
std_s87,standard,1,87,1,hmc,2,Price,-0.0438137710009199,0.4350724133478181,0.3173835153213716,0.9366666666666666
std_s88,standard,1,88,1,hmc,2,Alt1,-0.0871898324432097,0.5999281510430269,0.4800046084789094,0.9533333333333334
std_s88,standard,1,88,1,hmc,2,Alt2,-0.0289396239746875,0.6605949551951172,0.5195601709082347,0.9433333333333334
std_s88,standard,1,88,1,hmc,2,Alt3,0.0470920851722045,0.6682441124958315,0.5194380902015661,0.93
std_s88,standard,1,88,1,hmc,2,Price,-0.0202370459139186,0.4308415225385516,0.3255373426983389,0.9366666666666666
std_s89,standard,1,89,1,hmc,2,Alt1,-0.0121998250746301,0.5278186225505644,0.4168010393590455,0.94
std_s89,standard,1,89,1,hmc,2,Alt2,-0.0425571140377766,0.4648528281118669,0.3555336165490195,0.96
std_s89,standard,1,89,1,hmc,2,Alt3,0.0611801246455177,0.6234370081968913,0.4696532859280849,0.9666666666666668
std_s89,standard,1,89,1,hmc,2,Price,0.0033421655213755,0.3359952545125795,0.2556118394971914,0.9733333333333334
std_s90,standard,1,90,1,hmc,2,Alt1,0.0048019294114743,0.6910246120804653,0.5388582378464603,0.9633333333333334
std_s90,standard,1,90,1,hmc,2,Alt2,0.0955038075683841,0.6123814538035597,0.4980774728490388,0.9566666666666668
std_s90,standard,1,90,1,hmc,2,Alt3,0.0695963286776214,0.581554478411788,0.4597122873709711,0.9433333333333334
std_s90,standard,1,90,1,hmc,2,Price,-0.0258806086924926,0.3140260228176882,0.2452313159613025,0.9633333333333334
std_s91,standard,1,91,1,hmc,2,Alt1,-0.012336286635753,0.5655218221547551,0.4387406646539348,0.9566666666666668
std_s91,standard,1,91,1,hmc,2,Alt2,-0.0542014265586162,0.5161678081778941,0.3952454327847852,0.9333333333333332
std_s91,standard,1,91,1,hmc,2,Alt3,0.0942578445661028,0.7663871809092923,0.5956097223153292,0.9333333333333332
std_s91,standard,1,91,1,hmc,2,Price,0.0139630407151073,0.3707516101363241,0.2747803835013803,0.9466666666666668
std_s92,standard,1,92,1,hmc,2,Alt1,-0.0233820389718526,0.5397054217542566,0.4350020683086668,0.9533333333333334
std_s92,standard,1,92,1,hmc,2,Alt2,-0.0419318473705935,0.5755006124900656,0.4656529728964972,0.9833333333333332
std_s92,standard,1,92,1,hmc,2,Alt3,-0.0166600447071447,0.6138048923597851,0.4799793137069514,0.9733333333333334
std_s92,standard,1,92,1,hmc,2,Price,0.0064217904137501,0.3003653271310645,0.2376022721107565,0.95
std_s93,standard,1,93,1,hmc,2,Alt1,0.0238739413138419,0.5126227019730727,0.407254832299987,0.9666666666666668
std_s93,standard,1,93,1,hmc,2,Alt2,0.0692377034583627,0.7404360976649169,0.5919275510765618,0.97
std_s93,standard,1,93,1,hmc,2,Alt3,0.0470730131161459,0.5680740475900948,0.4325653705708018,0.9533333333333334
std_s93,standard,1,93,1,hmc,2,Price,0.006425960791322,0.4050063358506046,0.3045934171674265,0.9466666666666668
std_s94,standard,1,94,1,hmc,2,Alt1,-0.0346453869623107,0.5574847987295962,0.4419070869523652,0.9466666666666668
std_s94,standard,1,94,1,hmc,2,Alt2,-0.040913081450562,0.6827375539195837,0.5360258920060467,0.9566666666666668
std_s94,standard,1,94,1,hmc,2,Alt3,-0.0268582694305144,0.5267299377736019,0.4212505938580863,0.9466666666666668
std_s94,standard,1,94,1,hmc,2,Price,-0.0029340378093348,0.3401613372354465,0.2591280087157433,0.9566666666666668
std_s95,standard,1,95,1,hmc,2,Alt1,-0.0195505173209048,0.576564043653684,0.4584781984029679,0.9433333333333334
std_s95,standard,1,95,1,hmc,2,Alt2,-0.0625171622433986,0.5706681906339871,0.4587213080213339,0.9433333333333334
std_s95,standard,1,95,1,hmc,2,Alt3,-0.0045442789581449,0.6955188651145603,0.531925098185611,0.9566666666666668
std_s95,standard,1,95,1,hmc,2,Price,0.0006864938933938,0.2962376428656001,0.2396651283619632,0.97
std_s96,standard,1,96,1,hmc,2,Alt1,-0.0293428370997558,0.4736478121381296,0.3733321547808413,0.9533333333333334
std_s96,standard,1,96,1,hmc,2,Alt2,-0.0072541375766515,0.6441672792557522,0.4984472237595376,0.9566666666666668
std_s96,standard,1,96,1,hmc,2,Alt3,-0.0634222223319223,0.514456599722453,0.3935098870989725,0.95
std_s96,standard,1,96,1,hmc,2,Price,-0.0375240768437911,0.3549062524282824,0.2737371853451126,0.9633333333333334
std_s97,standard,1,97,1,hmc,2,Alt1,-0.0185717886460743,0.5307490226913615,0.4125850977460482,0.9366666666666666
std_s97,standard,1,97,1,hmc,2,Alt2,-0.0188663787785001,0.5603991612009178,0.4425488031236371,0.9433333333333334
std_s97,standard,1,97,1,hmc,2,Alt3,-0.0361026428110098,0.5772818135598521,0.4652901855227483,0.9366666666666666
std_s97,standard,1,97,1,hmc,2,Price,-0.0011247079071213,0.3847339884979019,0.2786971074212888,0.9433333333333334
std_s98,standard,1,98,1,hmc,2,Alt1,0.0034263435054683,0.6040373326334122,0.4810788860126563,0.9466666666666668
std_s98,standard,1,98,1,hmc,2,Alt2,0.0012538589838286,0.6415325702065857,0.5080822598792903,0.9433333333333334
std_s98,standard,1,98,1,hmc,2,Alt3,0.0341901570841246,0.5349787728658233,0.4189811677195794,0.95
std_s98,standard,1,98,1,hmc,2,Price,0.0285319405337571,0.3979013284893297,0.2995629568682279,0.9366666666666666
std_s99,standard,1,99,1,hmc,2,Alt1,-0.0119478366015606,0.7740958315481187,0.6023000564146858,0.9133333333333332
std_s99,standard,1,99,1,hmc,2,Alt2,-0.0288886344127435,0.6959871717361082,0.540929653282253,0.9366666666666666
std_s99,standard,1,99,1,hmc,2,Alt3,0.0094171378597192,0.7675448691382993,0.6025893343966465,0.95
std_s99,standard,1,99,1,hmc,2,Price,-0.0450431028044465,0.4570679447396699,0.3506247695376353,0.95
std_s01,standard,1,1,1,nuts,2,Alt1,-0.0073777128716664,0.5807869341396249,0.4542247147940577,0.96
std_s01,standard,1,1,1,nuts,2,Alt2,-0.0324498587311579,0.6016298160156851,0.476723781318866,0.9466666666666668
std_s01,standard,1,1,1,nuts,2,Alt3,0.0433134933344153,0.6562394959901342,0.5079859640697462,0.94
std_s01,standard,1,1,1,nuts,2,Price,0.0094586742444717,0.3493845575103459,0.2720878963463566,0.9433333333333334
std_s02,standard,1,2,1,nuts,2,Alt1,-0.1060820134727805,0.6684277095206336,0.5259700570617288,0.93
std_s02,standard,1,2,1,nuts,2,Alt2,-0.0152366996413581,0.6457848207985188,0.5064437920707886,0.95
std_s02,standard,1,2,1,nuts,2,Alt3,0.0004104240901888,0.6390175724607846,0.5091957704136936,0.93
std_s02,standard,1,2,1,nuts,2,Price,-0.0166732226213744,0.5013802223716272,0.3800894132967815,0.9533333333333334
std_s03,standard,1,3,1,nuts,2,Alt1,0.0219519148861786,0.5196226837419697,0.41584909489151,0.95
std_s03,standard,1,3,1,nuts,2,Alt2,0.0174271311254019,0.6410963416981302,0.5140402683473954,0.9533333333333334
std_s03,standard,1,3,1,nuts,2,Alt3,-0.0605653647888385,0.7394463250041681,0.5768322232097508,0.93
std_s03,standard,1,3,1,nuts,2,Price,0.0178414569767258,0.3711225118906942,0.285184257462596,0.98
std_s04,standard,1,4,1,nuts,2,Alt1,-0.0024465275010892,0.5589220017942272,0.4495941698704712,0.9533333333333334
std_s04,standard,1,4,1,nuts,2,Alt2,0.0711197223156256,0.5159097150694807,0.4068928195281748,0.9433333333333334
std_s04,standard,1,4,1,nuts,2,Alt3,0.1523748125480354,0.7185137911924793,0.5565075334129529,0.9566666666666668
std_s04,standard,1,4,1,nuts,2,Price,-0.029328789060355,0.4176589643614504,0.3229659207133298,0.9533333333333334
