k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
5,Var,Alt2,nuts,3.093,9.249,37.049,297.989,0.23,100
5,Var,Alt2,hmc,2.862,7.812,18.216,70.736,0.08,100
5,Var,Alt3,bayesm,3.156,24.169,86.648,280.945,0.16,100
5,Var,Alt3,bayesm_gibbs,3.067,27.444,100.79,270.265,0.16,100
5,Var,Alt3,nuts,2.984,9.342,52.739,541.0,0.31,100
5,Var,Alt3,hmc,2.831,9.936,27.141,122.826,0.11,100
5,Var,Price,bayesm,3.639,96.723,199.589,382.695,0.24,100
5,Var,Price,bayesm_gibbs,3.629,64.123,264.316,480.054,0.29,100
5,Var,Price,nuts,3.056,19.981,246.256,1043.991,0.45,100
5,Var,Price,hmc,3.534,11.775,48.765,151.107,0.14,100
