k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
3,density,Price,nuts,2.826,20.131,129.886,473.274,0.28,50
3,density,Price,hmc,2.903,11.475,50.514,197.035,0.14,50
3,Mean,Alt1,bayesm,3.7,25.376,70.249,245.581,0.16,50
3,Mean,Alt1,bayesm_gibbs,3.641,15.97,50.764,180.051,0.14,50
3,Mean,Alt1,nuts,2.788,14.082,47.384,234.288,0.22,50
3,Mean,Alt1,hmc,2.823,12.858,53.432,215.244,0.12,50
3,Mean,Alt2,bayesm,4.858,21.318,71.3,267.663,0.18,50
3,Mean,Alt2,bayesm_gibbs,5.147,20.24,98.414,323.544,0.18,50
3,Mean,Alt2,nuts,2.939,15.205,39.438,193.337,0.16,50
3,Mean,Alt2,hmc,3.269,11.029,38.976,127.034,0.16,50
3,Mean,Alt3,bayesm,3.191,17.391,67.681,116.078,0.1,50
3,Mean,Alt3,bayesm_gibbs,6.91,35.681,77.842,246.855,0.1,50
3,Mean,Alt3,nuts,3.231,13.616,42.207,110.594,0.1,50
3,Mean,Alt3,hmc,2.921,7.346,33.235,119.945,0.1,50
3,Mean,Price,bayesm,9.645,42.449,201.267,579.859,0.34,50
3,Mean,Price,bayesm_gibbs,10.719,43.148,146.738,589.498,0.32,50
3,Mean,Price,nuts,2.814,13.622,40.903,240.539,0.18,50
3,Mean,Price,hmc,3.169,17.776,111.875,273.304,0.22,50
3,Var,Alt1,bayesm,3.033,13.458,57.51,190.741,0.06,50
3,Var,Alt1,bayesm_gibbs,3.157,17.402,34.721,104.525,0.04,50
3,Var,Alt1,nuts,3.136,11.001,41.823,175.173,0.16,50
3,Var,Alt1,hmc,3.507,8.064,30.324,94.81,0.1,50
3,Var,Alt2,bayesm,5.346,24.411,69.754,204.061,0.12,50
3,Var,Alt2,bayesm_gibbs,6.476,14.802,73.106,178.231,0.14,50
3,Var,Alt2,nuts,3.52,15.977,38.393,188.353,0.14,50
3,Var,Alt2,hmc,4.383,13.656,60.251,153.836,0.12,50
3,Var,Alt3,bayesm,2.855,15.677,43.203,189.503,0.12,50
3,Var,Alt3,bayesm_gibbs,5.389,17.268,53.933,120.233,0.14,50
3,Var,Alt3,nuts,5.325,15.777,38.09,128.688,0.12,50
3,Var,Alt3,hmc,3.251,11.061,35.387,179.923,0.12,50
3,Var,Price,bayesm,5.994,21.218,97.969,288.271,0.18,50
3,Var,Price,bayesm_gibbs,6.542,34.239,105.86,265.734,0.18,50
3,Var,Price,nuts,4.019,15.093,63.929,254.725,0.16,50
3,Var,Price,hmc,4.834,19.988,101.064,249.815,0.14,50
5,density,Alt1,bayesm,3.982,22.863,94.463,263.852,0.16,50
5,density,Alt1,bayesm_gibbs,4.508,26.61,85.598,267.665,0.16,50
5,density,Alt1,nuts,2.526,7.311,70.329,320.681,0.22,50
5,density,Alt1,hmc,2.571,5.376,14.0,136.866,0.14,50
5,density,Alt2,bayesm,3.419,27.898,136.035,359.399,0.24,50
5,density,Alt2,bayesm_gibbs,2.985,14.758,95.165,291.476,0.16,50
5,density,Alt2,nuts,3.244,11.199,44.396,369.755,0.24,50
5,density,Alt2,hmc,2.926,6.021,17.266,184.799,0.18,50
5,density,Alt3,bayesm,3.518,31.809,146.032,377.38,0.22,50
5,density,Alt3,bayesm_gibbs,3.704,32.96,125.309,251.704,0.18,50
5,density,Alt3,nuts,2.913,9.658,173.703,513.079,0.34,50
5,density,Alt3,hmc,2.907,5.438,17.897,122.587,0.14,50
5,density,Price,bayesm,3.865,59.87,241.005,372.206,0.2,50
5,density,Price,bayesm_gibbs,4.64,33.693,112.036,237.0,0.12,50
5,density,Price,nuts,2.817,18.036,449.221,1067.428,0.5,50
5,density,Price,hmc,2.781,6.576,27.548,210.908,0.18,50
5,Mean,Alt1,bayesm,3.608,37.384,347.558,897.141,0.48,50
5,Mean,Alt1,bayesm_gibbs,4.901,81.94,460.917,903.645,0.54,50
5,Mean,Alt1,nuts,2.76,9.597,121.118,1146.539,0.4,50
5,Mean,Alt1,hmc,2.506,7.428,59.653,278.807,0.16,50
5,Mean,Alt2,bayesm,3.097,60.756,461.728,1088.675,0.52,50
5,Mean,Alt2,bayesm_gibbs,3.244,46.972,309.284,1226.64,0.48,50
5,Mean,Alt2,nuts,3.108,19.675,164.431,904.685,0.4,50
5,Mean,Alt2,hmc,4.039,14.356,25.904,149.513,0.2,50
