k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
2,Alt3,bayesm,JSD,0.00357,0.00714,0.02096,0.01178,0.02148,0.14412,100.0
2,Alt3,Replication,JSD,0.00316,0.00698,0.0207,0.01086,0.01985,0.15427,100.0
2,Alt3,NUTS,JSD,0.00171,0.00628,0.02257,0.01133,0.02045,0.24351,100.0
2,Alt3,HMC,JSD,0.00262,0.00689,0.02044,0.01125,0.02096,0.16162,100.0
2,Alt3,bayesm,TVD,0.02728,0.06097,0.10835,0.09106,0.1334,0.39078,100.0
2,Alt3,Replication,TVD,0.02606,0.06113,0.10652,0.08558,0.11898,0.40913,100.0
2,Alt3,NUTS,TVD,0.0127,0.06292,0.11045,0.08771,0.12881,0.50093,100.0
2,Alt3,HMC,TVD,0.02785,0.06635,0.1111,0.0929,0.13046,0.453,100.0
2,Price,bayesm,Hellinger,0.0584,0.08102,0.10501,0.09927,0.11544,0.2632,100.0
2,Price,Replication,Hellinger,0.05678,0.08118,0.10592,0.09784,0.11796,0.27851,100.0
2,Price,NUTS,Hellinger,0.05316,0.07764,0.10711,0.0943,0.12645,0.30319,100.0
2,Price,HMC,Hellinger,0.05102,0.08074,0.10642,0.09414,0.12107,0.30348,100.0
2,Price,bayesm,KL,0.61318,,inf,inf,,inf,100.0
2,Price,Replication,KL,0.50127,,inf,inf,,inf,100.0
2,Price,NUTS,KL,0.4041,,inf,inf,,inf,100.0
2,Price,HMC,KL,0.56451,,inf,inf,,inf,100.0
2,Price,bayesm,JSD,0.00261,0.00538,0.01064,0.00829,0.01202,0.05894,100.0
2,Price,Replication,JSD,0.00249,0.00554,0.01071,0.00818,0.0126,0.06538,100.0
2,Price,NUTS,JSD,0.00221,0.00514,0.01182,0.00808,0.01404,0.07769,100.0
2,Price,HMC,JSD,0.00203,0.00529,0.01154,0.00754,0.01351,0.07776,100.0
2,Price,bayesm,TVD,0.02012,0.05453,0.07859,0.07317,0.0981,0.20785,100.0
2,Price,Replication,TVD,0.02319,0.05295,0.07856,0.07186,0.09796,0.2167,100.0
2,Price,NUTS,TVD,0.0204,0.0533,0.08315,0.07172,0.10707,0.24785,100.0
2,Price,HMC,TVD,0.02053,0.05505,0.08305,0.07245,0.10307,0.22936,100.0
3,Alt1,bayesm,Hellinger,0.05811,0.09264,0.13792,0.11675,0.15056,0.39345,100.0
3,Alt1,Replication,Hellinger,0.05536,0.0935,0.14009,0.11697,0.14794,0.43069,100.0
3,Alt1,NUTS,Hellinger,0.04483,0.09915,0.16292,0.1347,0.2046,0.54165,100.0
3,Alt1,HMC,Hellinger,0.05876,0.09447,0.16254,0.13584,0.17139,0.52495,100.0
3,Alt1,bayesm,KL,inf,,inf,inf,,inf,100.0
3,Alt1,Replication,KL,0.47004,,inf,inf,,inf,100.0
3,Alt1,NUTS,KL,0.34004,0.84716,inf,2.54795,,inf,100.0
3,Alt1,HMC,KL,0.32642,0.78192,inf,6.60888,,inf,100.0
3,Alt1,bayesm,JSD,0.00277,0.00702,0.02091,0.0119,0.02001,0.12459,100.0
3,Alt1,Replication,JSD,0.00265,0.00773,0.0216,0.01172,0.0191,0.14713,100.0
3,Alt1,NUTS,JSD,0.00142,0.00782,0.02958,0.01559,0.03756,0.22057,100.0
3,Alt1,HMC,JSD,0.00294,0.00809,0.03008,0.01594,0.02652,0.2077,100.0
3,Alt1,bayesm,TVD,0.02726,0.06886,0.10748,0.094,0.12554,0.32719,100.0
3,Alt1,Replication,TVD,0.02797,0.06989,0.10892,0.09316,0.12377,0.34943,100.0
3,Alt1,NUTS,TVD,0.00674,0.06117,0.1229,0.10536,0.16412,0.3905,100.0
3,Alt1,HMC,TVD,0.01652,0.07126,0.12874,0.11437,0.15758,0.40486,100.0
3,Alt2,bayesm,Hellinger,0.05142,0.09238,0.13349,0.11396,0.15022,0.44036,100.0
3,Alt2,Replication,Hellinger,0.0513,0.0957,0.13368,0.11608,0.15227,0.34649,100.0
3,Alt2,NUTS,Hellinger,0.06214,0.10021,0.15357,0.13244,0.17961,0.47575,100.0
3,Alt2,HMC,Hellinger,0.05104,0.10027,0.14723,0.12916,0.1695,0.50318,100.0
3,Alt2,bayesm,KL,0.34406,,inf,inf,,inf,100.0
3,Alt2,Replication,KL,inf,,inf,inf,,inf,100.0
3,Alt2,NUTS,KL,0.33542,1.80514,inf,inf,,inf,100.0
3,Alt2,HMC,KL,0.24195,,inf,inf,,inf,100.0
3,Alt2,bayesm,JSD,0.00217,0.00703,0.01897,0.01134,0.02018,0.15335,100.0
3,Alt2,Replication,JSD,0.00216,0.00765,0.0183,0.01154,0.02037,0.09844,100.0
