dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,post_mean,post_std,ci_low,ci_high,true_weight,in_ci
kt5_s07,5comp_equal,5,7,5,nuts,1,3,0.0114573668688535,0.0218030698597431,0.0001183203396067,0.0874510733410715,0.2,False
kt5_s07,5comp_equal,5,7,5,nuts,1,4,0.0033431255724281,0.0032739562448114,9.246247718692756e-05,0.0121826817281544,0.2,False
kt5_s08,5comp_equal,5,8,5,nuts,1,0,0.3523496985435486,0.0523140579462051,0.2323040679097175,0.4409051217138767,0.2,False
kt5_s08,5comp_equal,5,8,5,nuts,1,1,0.2212029844522476,0.0346994884312152,0.1596132688224315,0.2968991585075855,0.2,True
kt5_s08,5comp_equal,5,8,5,nuts,1,2,0.2160917222499847,0.0236776825040578,0.171580346673727,0.2647222891449928,0.2,True
kt5_s08,5comp_equal,5,8,5,nuts,1,3,0.2061493694782257,0.0562559776008129,0.1224045179784298,0.3392994329333305,0.2,True
kt5_s08,5comp_equal,5,8,5,nuts,1,4,0.004206221550703,0.0042578326538205,0.0001052433293807,0.015662343846634,0.2,False
kt5_s09,5comp_equal,5,9,5,nuts,1,0,0.3190117180347442,0.0338794775307178,0.2502191312611103,0.3830760337412357,0.2,False
kt5_s09,5comp_equal,5,9,5,nuts,1,1,0.2409254908561706,0.029799835756421,0.1887688189744949,0.3048251308500766,0.2,True
kt5_s09,5comp_equal,5,9,5,nuts,1,2,0.2208042293787002,0.0246779918670654,0.1738690633326768,0.2700681895017623,0.2,True
kt5_s09,5comp_equal,5,9,5,nuts,1,3,0.2097100168466568,0.0232066251337528,0.1652244754135608,0.2563120745122432,0.2,True
kt5_s09,5comp_equal,5,9,5,nuts,1,4,0.0095485765486955,0.0074591431766748,0.0002877438957511,0.0273856403306126,0.2,False
kt5_s10,5comp_equal,5,10,5,nuts,1,0,0.4278995990753174,0.028993921354413,0.3703990004956722,0.4852508664131164,0.2,False
kt5_s10,5comp_equal,5,10,5,nuts,1,1,0.2022109627723693,0.0230584517121315,0.1596704423427581,0.2490390669554472,0.2,True
kt5_s10,5comp_equal,5,10,5,nuts,1,2,0.1822283864021301,0.0226955860853195,0.1406019981950521,0.2304094519466161,0.2,True
kt5_s10,5comp_equal,5,10,5,nuts,1,3,0.1805213689804077,0.0221753064543008,0.1391432642936706,0.226448805257678,0.2,True
kt5_s10,5comp_equal,5,10,5,nuts,1,4,0.0071396301500499,0.0058677783235907,0.0002161615841032,0.0218737442046403,0.2,False
kt5_s11,5comp_equal,5,11,5,nuts,1,0,0.7069997787475586,7.686553726671264e-05,0.7068280577659607,0.7071278110146523,0.2,False
kt5_s11,5comp_equal,5,11,5,nuts,1,1,0.286346286535263,7.428186654578894e-05,0.2862328886985779,0.2865117788314819,0.2,False
kt5_s11,5comp_equal,5,11,5,nuts,1,2,0.0038591159973293,3.894008477800526e-05,0.003846546402201,0.0038756691326852,0.2,False
kt5_s11,5comp_equal,5,11,5,nuts,1,3,0.0027125850319862,3.829875277006067e-05,0.0027000515023246,0.0027214837318751,0.2,False
kt5_s11,5comp_equal,5,11,5,nuts,1,4,8.222446194849908e-05,2.133030641005007e-08,8.219190931413323e-05,8.227198850363493e-05,0.2,False
kt5_s12,5comp_equal,5,12,5,nuts,1,0,0.3297338485717773,0.033352643251419,0.2554243505001068,0.3898242682218551,0.2,False
kt5_s12,5comp_equal,5,12,5,nuts,1,1,0.233036920428276,0.0237088985741138,0.1888170357793569,0.2807594366371631,0.2,True
