dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,Hellinger,KL,JSD,TVD,Wasserstein1
kt1_s32,1comp,1,32,5,nuts,2,Alt3,0.15518,0.09,0.02362,0.16982,0.42493
kt1_s32,1comp,1,32,5,nuts,2,Price,0.09036,0.04438,0.00782,0.09358,0.29655
kt1_s33,1comp,1,33,5,nuts,2,Alt1,0.11086,0.06193,0.01186,0.1076,0.20766
kt1_s33,1comp,1,33,5,nuts,2,Alt2,0.07596,0.02853,0.00559,0.06855,0.1758
kt1_s33,1comp,1,33,5,nuts,2,Alt3,0.06766,0.02214,0.00445,0.06606,0.15398
kt1_s33,1comp,1,33,5,nuts,2,Price,0.02583,0.00348,0.00064,0.01661,0.04423
kt1_s34,1comp,1,34,5,nuts,2,Alt1,0.11536,0.08393,0.01251,0.10336,0.18769
kt1_s34,1comp,1,34,5,nuts,2,Alt2,0.1678,0.17631,0.02615,0.155,0.27977
kt1_s34,1comp,1,34,5,nuts,2,Alt3,0.20363,0.3054,0.03773,0.18999,0.31721
kt1_s34,1comp,1,34,5,nuts,2,Price,0.03378,0.0056,0.0011,0.03008,0.07796
kt1_s35,1comp,1,35,5,nuts,2,Alt1,0.06185,0.01472,0.0038,0.06408,0.12803
kt1_s35,1comp,1,35,5,nuts,2,Alt2,0.05348,0.01447,0.00276,0.04487,0.10934
kt1_s35,1comp,1,35,5,nuts,2,Alt3,0.04098,0.00859,0.00161,0.03834,0.10338
kt1_s35,1comp,1,35,5,nuts,2,Price,0.04981,0.01206,0.00241,0.04316,0.11972
kt1_s36,1comp,1,36,5,nuts,2,Alt1,0.02876,0.00525,0.00075,0.01286,0.03998
kt1_s36,1comp,1,36,5,nuts,2,Alt2,0.03614,0.00716,0.00123,0.02917,0.07444
kt1_s36,1comp,1,36,5,nuts,2,Alt3,0.08243,0.0323,0.00662,0.08058,0.26561
kt1_s36,1comp,1,36,5,nuts,2,Price,0.0542,0.0132,0.00286,0.05288,0.1089
kt1_s37,1comp,1,37,5,nuts,2,Alt1,0.02748,0.0043,0.00071,0.01508,0.03762
kt1_s37,1comp,1,37,5,nuts,2,Alt2,0.04771,0.01183,0.00218,0.03824,0.10147
kt1_s37,1comp,1,37,5,nuts,2,Alt3,0.04034,0.00724,0.00159,0.03805,0.0911
kt1_s37,1comp,1,37,5,nuts,2,Price,0.0954,0.03507,0.00902,0.10533,0.24535
kt1_s38,1comp,1,38,5,nuts,2,Alt1,0.07687,0.02989,0.00571,0.06846,0.10586
kt1_s38,1comp,1,38,5,nuts,2,Alt2,0.06619,0.01689,0.00436,0.07223,0.1396
kt1_s38,1comp,1,38,5,nuts,2,Alt3,0.06085,0.01835,0.00358,0.0529,0.14318
kt1_s38,1comp,1,38,5,nuts,2,Price,0.05505,0.01453,0.00295,0.0485,0.11422
kt1_s39,1comp,1,39,5,nuts,2,Alt1,0.07649,0.02357,0.00581,0.08674,0.26366
kt1_s39,1comp,1,39,5,nuts,2,Alt2,0.06188,0.0179,0.00373,0.06474,0.16915
kt1_s39,1comp,1,39,5,nuts,2,Alt3,0.07317,0.02506,0.00522,0.07775,0.21491
kt1_s39,1comp,1,39,5,nuts,2,Price,0.03805,0.00602,0.00143,0.03772,0.05837
kt1_s40,1comp,1,40,5,nuts,2,Alt1,0.09862,0.05447,0.00923,0.09166,0.21242
kt1_s40,1comp,1,40,5,nuts,2,Alt2,0.08411,0.03739,0.00677,0.08023,0.2282
kt1_s40,1comp,1,40,5,nuts,2,Alt3,0.06396,0.02667,0.00375,0.04758,0.1411
kt1_s40,1comp,1,40,5,nuts,2,Price,0.20159,0.28106,0.03727,0.19143,0.41618
kt1_s41,1comp,1,41,5,nuts,2,Alt1,0.03544,0.00724,0.00118,0.02493,0.07666
kt1_s41,1comp,1,41,5,nuts,2,Alt2,0.13646,0.10751,0.01756,0.12509,0.27153
kt1_s41,1comp,1,41,5,nuts,2,Alt3,0.05157,0.01542,0.00251,0.0399,0.10504
kt1_s41,1comp,1,41,5,nuts,2,Price,0.09815,0.05316,0.00918,0.08615,0.12565
kt1_s42,1comp,1,42,5,nuts,2,Alt1,0.09229,0.04457,0.00818,0.08457,0.16558
kt1_s42,1comp,1,42,5,nuts,2,Alt2,0.05426,0.0118,0.00291,0.0551,0.12568
kt1_s42,1comp,1,42,5,nuts,2,Alt3,0.04664,0.01123,0.00208,0.03942,0.10448
kt1_s42,1comp,1,42,5,nuts,2,Price,0.02979,0.0041,0.00086,0.0292,0.0459
kt1_s43,1comp,1,43,5,nuts,2,Alt1,0.05308,0.01723,0.00261,0.03894,0.07443
kt1_s43,1comp,1,43,5,nuts,2,Alt2,0.04054,0.00696,0.00163,0.0437,0.11303
