dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,mix_mean,mix_var,true_mix_mean,true_mix_var
kt3_s19,3comp_equal,3,19,5,bayesm,2,Alt2,-3.863597764113939,13.246207269246058,-3.733739658692326,8.958240889020262
kt3_s19,3comp_equal,3,19,5,bayesm,2,Alt3,-1.7181976922554163,13.816337786799998,-1.6365127643179953,10.765291534321118
kt3_s19,3comp_equal,3,19,5,bayesm,2,Price,-3.7863030902824577,3.37198456440433,-3.685927596267363,1.7313338811350203
kt3_s20,3comp_equal,3,20,5,bayesm,2,Alt1,1.6125985408167285,7.775938764129508,1.6823154589422495,5.197327424220605
kt3_s20,3comp_equal,3,20,5,bayesm,2,Alt2,-1.0323598273096126,9.159063111090209,-0.7012236421402637,7.4870994514323295
kt3_s20,3comp_equal,3,20,5,bayesm,2,Alt3,-1.559851222299355,5.483446970172675,-1.2377372672849842,4.086385304043786
kt3_s20,3comp_equal,3,20,5,bayesm,2,Price,1.7978675847220038,36.358145679823686,2.313554564135144,36.73293738686952
kt3_s21,3comp_equal,3,21,5,bayesm,2,Alt1,3.151681899075431,74.41406721771733,2.11410511688673,39.52952574312703
kt3_s21,3comp_equal,3,21,5,bayesm,2,Alt2,-2.939707373446776,11.786747439203964,-3.627549805479508,10.01889208474292
kt3_s21,3comp_equal,3,21,5,bayesm,2,Alt3,0.8084817046552465,7.628921704507446,0.4400933920998874,4.7384649862573465
kt3_s21,3comp_equal,3,21,5,bayesm,2,Price,0.4027325392763476,14.594997598102196,0.3396879111792816,10.59682661343614
kt3_s22,3comp_equal,3,22,5,bayesm,2,Alt1,0.7801353170890521,27.680105530444795,0.7163160522845149,20.02562649641056
kt3_s22,3comp_equal,3,22,5,bayesm,2,Alt2,-2.6275382154916267,32.224064378117376,-1.712370907515704,20.13184096581582
kt3_s22,3comp_equal,3,22,5,bayesm,2,Alt3,1.2320954385424676,9.142623403798906,1.1032830278172154,6.451791022354995
kt3_s22,3comp_equal,3,22,5,bayesm,2,Price,-2.823998211078967,4.793612299584049,-2.582879846988116,2.5589406076215
kt3_s23,3comp_equal,3,23,5,bayesm,2,Alt1,1.813161053041352,34.239946933345735,1.215961267426812,15.40883513881684
kt3_s23,3comp_equal,3,23,5,bayesm,2,Alt2,-5.172397233010722,37.21553223464887,-3.9576199031544106,10.780844914997244
kt3_s23,3comp_equal,3,23,5,bayesm,2,Alt3,-1.41548850066484,17.420154470133276,-0.613516500755448,6.881623269422821
kt3_s23,3comp_equal,3,23,5,bayesm,2,Price,0.1350175939921049,20.11401914737608,0.0297847538783804,15.529620416904134
kt3_s24,3comp_equal,3,24,5,bayesm,2,Alt1,-1.557145940913428,12.9542360968756,-1.2802285357795098,11.965441621784322
kt3_s24,3comp_equal,3,24,5,bayesm,2,Alt2,1.348161084108222,22.885713426357704,1.2349439435122889,19.87342069913944
kt3_s24,3comp_equal,3,24,5,bayesm,2,Alt3,-0.276141839304769,9.689812222341113,-0.1427035023328338,7.407020536314558
kt3_s24,3comp_equal,3,24,5,bayesm,2,Price,-1.1364530919730238,26.073559687712137,-1.2458596423119594,24.489000885304147
kt3_s25,3comp_equal,3,25,5,bayesm,2,Alt1,2.613429629245157,14.894922909000952,2.604435524701114,11.972764573877786
kt3_s25,3comp_equal,3,25,5,bayesm,2,Alt2,2.587674252616013,10.616897731618703,2.913250937356749,8.019351482641738
kt3_s25,3comp_equal,3,25,5,bayesm,2,Alt3,-0.465158882107815,14.62057811253893,-0.3466933698799913,11.628599151654234
kt3_s25,3comp_equal,3,25,5,bayesm,2,Price,-2.834960562580068,13.358170239886942,-3.1007345100885657,13.346506449876989
kt3_s26,3comp_equal,3,26,5,bayesm,2,Alt1,-1.22640757820561,7.420360929765184,-0.9813413909054336,3.819050496472931
kt3_s26,3comp_equal,3,26,5,bayesm,2,Alt2,0.3715638350260681,17.10129104624339,0.4918280614935517,10.8893586170128
kt3_s26,3comp_equal,3,26,5,bayesm,2,Alt3,4.274274674332043,12.806093928629148,4.336588135725975,6.288579837614934
kt3_s26,3comp_equal,3,26,5,bayesm,2,Price,2.1158046266219195,8.492222499224168,2.0135680382848684,5.719799252385008
kt3_s27,3comp_equal,3,27,5,bayesm,2,Alt1,-3.3902553262705144,44.1467356995027,-4.009696832092914,36.85243758216208
kt3_s27,3comp_equal,3,27,5,bayesm,2,Alt2,1.6484615703930143,42.01108523143062,1.306047699595569,38.23686071305386
kt3_s27,3comp_equal,3,27,5,bayesm,2,Alt3,-3.278705672927454,5.08240220567142,-3.0716573519324526,2.0672402787620454
kt3_s27,3comp_equal,3,27,5,bayesm,2,Price,-1.6471556607487454,15.760326601875873,-1.722726231995551,12.969473928681412
kt3_s28,3comp_equal,3,28,5,bayesm,2,Alt1,0.2809892918832977,28.510917871962853,0.3006361843515499,21.62547561907961
kt3_s28,3comp_equal,3,28,5,bayesm,2,Alt2,4.220309050429168,20.970485403277014,4.077201811749244,14.387378282564098
kt3_s28,3comp_equal,3,28,5,bayesm,2,Alt3,-2.867539453121705,23.90013039559964,-2.6801933916543934,19.633385130308863
kt3_s28,3comp_equal,3,28,5,bayesm,2,Price,4.419953221568908,8.051719817197597,4.236212313808821,6.6216547452851
kt3_s29,3comp_equal,3,29,5,bayesm,2,Alt1,0.1976512425151365,6.009894800784534,0.335012839031058,4.22405859166593
kt3_s29,3comp_equal,3,29,5,bayesm,2,Alt2,-1.2883356165761677,4.010775604147683,-1.2326821275533255,2.914886079687164
kt3_s29,3comp_equal,3,29,5,bayesm,2,Alt3,0.8436965731714661,8.913316215178781,0.567823520489432,6.809497102112723
kt3_s29,3comp_equal,3,29,5,bayesm,2,Price,1.8115632022642087,28.146134930819592,1.3573071882212746,23.903269311245843
kt3_s30,3comp_equal,3,30,5,bayesm,2,Alt1,1.0853769293686386,11.296472451271573,0.8412511861400845,5.979638304806414
kt3_s30,3comp_equal,3,30,5,bayesm,2,Alt2,0.1810198402408568,11.934742749486828,0.2647999267499838,5.282060586151053
kt3_s30,3comp_equal,3,30,5,bayesm,2,Alt3,-0.9955901660902388,38.798310682738176,-1.606834713224406,39.4910698238082
kt3_s30,3comp_equal,3,30,5,bayesm,2,Price,0.1660084191175887,23.07913376931065,-0.2604559027466839,22.84420966520432
kt3_s31,3comp_equal,3,31,5,bayesm,2,Alt1,-5.26386216979542,22.371751215964256,-4.17140518550687,7.452358258051522
kt3_s31,3comp_equal,3,31,5,bayesm,2,Alt2,-0.21999625893268,11.381514133489231,-0.1816451156461509,9.686073335959003
kt3_s31,3comp_equal,3,31,5,bayesm,2,Alt3,1.5276117579362516,3.547641330850745,1.3641710123978288,1.8395706216384284
kt3_s31,3comp_equal,3,31,5,bayesm,2,Price,-2.148526035134067,13.664768753421347,-1.822199616057554,12.052701146926848
kt3_s32,3comp_equal,3,32,5,bayesm,2,Alt1,-0.2385507907793955,28.74756244721181,-0.1779943351452999,27.20041423749192
kt3_s32,3comp_equal,3,32,5,bayesm,2,Alt2,-1.6115021752847332,14.393161023714812,-1.3672146012478004,9.898198969549572
kt3_s32,3comp_equal,3,32,5,bayesm,2,Alt3,3.2634163592026773,10.182220823048132,3.1972524382618617,6.811655266390328
kt3_s32,3comp_equal,3,32,5,bayesm,2,Price,5.063256426293052,20.867280972832702,5.116126913407486,16.435188442922822
kt3_s33,3comp_equal,3,33,5,bayesm,2,Alt1,1.7968102916140098,22.278016911202588,1.7831806702433306,18.725706968646413
kt3_s33,3comp_equal,3,33,5,bayesm,2,Alt2,-4.321394225627135,17.247309185939525,-4.1841743055744605,14.41236566710662
kt3_s33,3comp_equal,3,33,5,bayesm,2,Alt3,1.9585076681663376,6.777013456696288,1.752462552109163,3.609573579377968
kt3_s33,3comp_equal,3,33,5,bayesm,2,Price,-2.581162510625193,21.88773591754541,-2.644334374716176,18.81752734784326
kt3_s34,3comp_equal,3,34,5,bayesm,2,Alt1,-2.0774429412115647,3.455667990802324,-2.169956587932671,1.6118353091314763
kt3_s34,3comp_equal,3,34,5,bayesm,2,Alt2,1.2300802700071072,14.355344950208682,1.0041087752932885,11.11651835024075
kt3_s34,3comp_equal,3,34,5,bayesm,2,Alt3,-0.3549627781607512,10.127102175870746,0.085948311699836,7.281206926765878
kt3_s34,3comp_equal,3,34,5,bayesm,2,Price,1.810628534658286,10.1583561302849,2.0789633254120075,8.099719287284342
kt3_s35,3comp_equal,3,35,5,bayesm,2,Alt1,0.9014849795436106,4.986653646050393,0.9534514934071958,3.168127361391341
kt3_s35,3comp_equal,3,35,5,bayesm,2,Alt2,1.0802133611904523,6.801735717134262,0.9790267782231789,4.703534715620201
kt3_s35,3comp_equal,3,35,5,bayesm,2,Alt3,3.4890403101682868,5.987524631012864,3.4619230320852075,3.4545307851969778
kt3_s35,3comp_equal,3,35,5,bayesm,2,Price,-5.284590714987008,26.58151355261968,-5.103047560688998,20.54689227968997
kt3_s36,3comp_equal,3,36,5,bayesm,2,Alt1,-0.8592680906842064,4.245013444202393,-0.8542082900901857,3.228373065338072
kt3_s36,3comp_equal,3,36,5,bayesm,2,Alt2,-0.9749152038892412,9.102368718895953,-0.926474067155461,7.541655815257444
kt3_s36,3comp_equal,3,36,5,bayesm,2,Alt3,-0.5614811192490808,5.704763467383447,-0.6311967833183931,3.928016721151352
kt3_s36,3comp_equal,3,36,5,bayesm,2,Price,1.510591149384981,26.909593606866267,0.8917932748466328,24.7420202162604
kt3_s37,3comp_equal,3,37,5,bayesm,2,Alt1,-1.406873306059666,27.115289726418943,-1.4737804135606782,25.75334235143253
kt3_s37,3comp_equal,3,37,5,bayesm,2,Alt2,0.6290091452163264,28.556295133352844,0.6285233932526126,23.363398610707897
kt3_s37,3comp_equal,3,37,5,bayesm,2,Alt3,0.2493684028148963,10.904187841761734,0.2009503180545298,8.04971314974312
kt3_s37,3comp_equal,3,37,5,bayesm,2,Price,-3.2181740880574963,19.031723480788862,-3.4936365795237294,16.614071011293863
kt3_s38,3comp_equal,3,38,5,bayesm,2,Alt1,-0.773894445637892,13.79081262774258,-0.6381915289211201,11.478511690419634
kt3_s38,3comp_equal,3,38,5,bayesm,2,Alt2,1.1524290560928154,7.560339110573422,1.2397807974806454,6.428013542361259
kt3_s38,3comp_equal,3,38,5,bayesm,2,Alt3,-1.0276627974730834,9.893478940948262,-0.953967240882223,7.176176428979105
kt3_s38,3comp_equal,3,38,5,bayesm,2,Price,1.4990210415647502,13.095209263543074,1.4168828630124046,11.390904192603642
kt3_s39,3comp_equal,3,39,5,bayesm,2,Alt1,2.4501781227100774,16.18431204224772,2.3707746306515056,14.171297401112533
kt3_s39,3comp_equal,3,39,5,bayesm,2,Alt2,0.924565356406184,12.493710298087436,1.4231416240351544,5.799019818111293
kt3_s39,3comp_equal,3,39,5,bayesm,2,Alt3,2.570446086680433,8.013907854174608,2.5520844658402613,6.376536139463187
kt3_s39,3comp_equal,3,39,5,bayesm,2,Price,-1.6447068592200211,5.369042408099185,-1.5625925148136448,2.6661311023798757
kt3_s40,3comp_equal,3,40,5,bayesm,2,Alt1,-0.7552055817114067,23.975759259344592,0.1110112517936577,14.242849082912308
kt3_s40,3comp_equal,3,40,5,bayesm,2,Alt2,3.163428896201537,5.91500770938419,3.0894099190969486,1.8500717777990177
kt3_s40,3comp_equal,3,40,5,bayesm,2,Alt3,3.082931103187066,10.705287724773616,2.7227638777532746,5.472295750010023
kt3_s40,3comp_equal,3,40,5,bayesm,2,Price,3.0525894715593056,13.65726967118766,3.39201325265858,12.75098454238884
kt3_s41,3comp_equal,3,41,5,bayesm,2,Alt1,2.6323581016954103,12.772886549607929,2.9837349533080664,7.173743006665759
kt3_s41,3comp_equal,3,41,5,bayesm,2,Alt2,2.0090893804015493,19.958907387406757,2.30109998924939,18.40602465812847
kt3_s41,3comp_equal,3,41,5,bayesm,2,Alt3,-2.409859018949535,39.40221566278646,-1.61702472790167,24.883634614712477
kt3_s41,3comp_equal,3,41,5,bayesm,2,Price,-3.271138043659972,5.884536725603945,-3.377296954886227,4.475242998780578
kt3_s42,3comp_equal,3,42,5,bayesm,2,Alt1,3.090695679597582,8.891023107410458,3.142596103464463,7.206280302049322
kt3_s42,3comp_equal,3,42,5,bayesm,2,Alt2,0.0029119868203245,8.755237686069908,0.2119550354094023,5.510861333923325
kt3_s42,3comp_equal,3,42,5,bayesm,2,Alt3,-0.3983996586131689,13.97895195961658,-0.3048359496027299,7.871010282637988
kt3_s42,3comp_equal,3,42,5,bayesm,2,Price,-1.3680145325920978,10.252685959604024,-1.3698559241585244,6.670923939408752
kt3_s43,3comp_equal,3,43,5,bayesm,2,Alt1,2.085672278243893,22.05602246422533,1.9958249771952696,15.85299620327656
kt3_s43,3comp_equal,3,43,5,bayesm,2,Alt2,-5.526792770643634,18.53830652217075,-5.11736023229242,13.904012165926648
kt3_s43,3comp_equal,3,43,5,bayesm,2,Alt3,-1.7890842872364647,12.016163951458724,-1.628099299582909,10.227119327656032
kt3_s43,3comp_equal,3,43,5,bayesm,2,Price,-0.1601598770795645,10.940247570637478,-0.2046440407883906,9.121982478701824
kt3_s44,3comp_equal,3,44,5,bayesm,2,Alt1,4.498384339744293,43.292401804209256,4.333485868699359,38.267715117930514
kt3_s44,3comp_equal,3,44,5,bayesm,2,Alt2,-5.190196309987735,5.311829101888746,-5.313591693030634,2.394529973840416
kt3_s44,3comp_equal,3,44,5,bayesm,2,Alt3,3.998147661288336,14.682429625285202,3.865482759248294,10.87689075442901
kt3_s44,3comp_equal,3,44,5,bayesm,2,Price,0.0617793997822557,27.547455226438395,0.1563995393128423,23.09609495221129
kt3_s45,3comp_equal,3,45,5,bayesm,2,Alt1,0.7425949010223495,24.240490142183333,0.8076305753309159,21.84706200172725
kt3_s45,3comp_equal,3,45,5,bayesm,2,Alt2,-0.3766113614831184,4.087988196300665,-0.3216834917187069,1.780866730412617
kt3_s45,3comp_equal,3,45,5,bayesm,2,Alt3,-1.791874989890582,33.027344859891315,-1.9650528084826735,32.03110499249829
kt3_s45,3comp_equal,3,45,5,bayesm,2,Price,-1.9043415850151597,3.7437796034503785,-1.812637717809889,2.5897187760901854
kt3_s46,3comp_equal,3,46,5,bayesm,2,Alt1,-1.1986656746521038,16.94199064211045,-1.1922079954107374,17.66539078506165
kt3_s46,3comp_equal,3,46,5,bayesm,2,Alt2,-2.162515086968015,3.7764350686387327,-2.224959317729232,1.6287316041621969
kt3_s46,3comp_equal,3,46,5,bayesm,2,Alt3,1.420663015271235,5.758717989761046,1.1696482396377346,3.27823267490097
kt3_s46,3comp_equal,3,46,5,bayesm,2,Price,-0.6348586135228151,9.663594687346356,-0.3894567496324406,7.295140076639926
kt3_s47,3comp_equal,3,47,5,bayesm,2,Alt1,0.3580668706845862,6.761222423471029,0.2707324319666082,2.2509406847865745
kt3_s47,3comp_equal,3,47,5,bayesm,2,Alt2,0.5748010411958547,7.273117012913922,0.3684030678377232,4.985716855635214
kt3_s47,3comp_equal,3,47,5,bayesm,2,Alt3,-4.952056857765554,21.268418147342896,-4.2933013969232015,11.475523298089668
kt3_s47,3comp_equal,3,47,5,bayesm,2,Price,-2.262612494232751,11.854954513904902,-2.1051680140092563,11.547447594557424
