dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,bias,rmse,mean_abs_err,coverage95
kt2_s92,2comp_equal,2,92,5,bayesm,2,Alt3,0.0153984165470572,0.7468420911861372,0.5691664988214656,0.9533333333333334
kt2_s92,2comp_equal,2,92,5,bayesm,2,Price,0.0388310152109935,0.5049417788797672,0.3913862065891487,0.9466666666666668
kt2_s93,2comp_equal,2,93,5,bayesm,2,Alt1,0.0644324938434158,1.033092848235042,0.6138864934623697,0.9366666666666666
kt2_s93,2comp_equal,2,93,5,bayesm,2,Alt2,-0.0410749914651156,0.9139427194818182,0.6389851492734959,0.9466666666666668
kt2_s93,2comp_equal,2,93,5,bayesm,2,Alt3,-0.0998906828938409,0.9899204835321094,0.6550232111920679,0.92
kt2_s93,2comp_equal,2,93,5,bayesm,2,Price,-0.013717165997382,0.9546018833223812,0.5608627508336925,0.9666666666666668
kt2_s94,2comp_equal,2,94,5,bayesm,2,Alt1,-0.0553723334174676,1.250863049596398,0.8244129957005352,0.9433333333333334
kt2_s94,2comp_equal,2,94,5,bayesm,2,Alt2,0.3743042802098464,1.3773426062328151,0.928900992147637,0.9333333333333332
kt2_s94,2comp_equal,2,94,5,bayesm,2,Alt3,-0.0811991885020404,0.9626412185577432,0.724048404746914,0.9433333333333334
kt2_s94,2comp_equal,2,94,5,bayesm,2,Price,-0.1136527655219864,0.6922274377423164,0.4658719846006713,0.96
kt2_s95,2comp_equal,2,95,5,bayesm,2,Alt1,-0.3313312634773519,1.0216548003060462,0.8264034013791031,0.9866666666666668
kt2_s95,2comp_equal,2,95,5,bayesm,2,Alt2,-0.3412455022895901,0.8156089305155751,0.657470732150155,0.9766666666666668
kt2_s95,2comp_equal,2,95,5,bayesm,2,Alt3,-0.2540008036397863,0.8750612316134904,0.6836638192471391,0.9833333333333332
kt2_s95,2comp_equal,2,95,5,bayesm,2,Price,-0.0271603197904406,0.5327364356624139,0.4326456217846727,0.9766666666666668
kt2_s96,2comp_equal,2,96,5,bayesm,2,Alt1,-0.1281376571721166,0.8560851600902639,0.7006687320931823,0.9533333333333334
kt2_s96,2comp_equal,2,96,5,bayesm,2,Alt2,-0.0604592940497321,0.90301938376883,0.70382807869295,0.9766666666666668
kt2_s96,2comp_equal,2,96,5,bayesm,2,Alt3,-0.0542435805981922,0.6592308451276851,0.4978643691243994,0.9266666666666666
kt2_s96,2comp_equal,2,96,5,bayesm,2,Price,0.0269764305278997,0.4843555084901101,0.3722875769683878,0.9566666666666668
kt2_s97,2comp_equal,2,97,5,bayesm,2,Alt1,0.2509140394915553,1.3371356713650189,0.7761003565853247,0.9733333333333334
kt2_s97,2comp_equal,2,97,5,bayesm,2,Alt2,-0.2090254628410479,1.088147454650792,0.735593553795678,0.9633333333333334
kt2_s97,2comp_equal,2,97,5,bayesm,2,Alt3,0.14256989060081,0.8078494066562122,0.6470733715448923,0.9833333333333332
kt2_s97,2comp_equal,2,97,5,bayesm,2,Price,0.2398399263741437,0.9182305371037054,0.6729115072773725,0.98
kt2_s98,2comp_equal,2,98,5,bayesm,2,Alt1,0.1159364081230063,1.0363315076427997,0.7769880079484807,0.9466666666666668
kt2_s98,2comp_equal,2,98,5,bayesm,2,Alt2,0.0130797554312124,0.9757341402727528,0.71486683431477,0.9466666666666668
kt2_s98,2comp_equal,2,98,5,bayesm,2,Alt3,-0.1127229217011088,1.243533735073743,0.8660714829589762,0.9433333333333334
kt2_s98,2comp_equal,2,98,5,bayesm,2,Price,-0.0186997306120488,0.5693688445140873,0.4420480231625062,0.9533333333333334
kt2_s99,2comp_equal,2,99,5,bayesm,2,Alt1,-0.0660342901867795,0.965217083050414,0.7639753893965214,0.9433333333333334
kt2_s99,2comp_equal,2,99,5,bayesm,2,Alt2,-0.154514728535283,0.8878288226003535,0.7009631831270796,0.95
kt2_s99,2comp_equal,2,99,5,bayesm,2,Alt3,0.1141654331937203,0.8642080296687114,0.6838423139411873,0.9633333333333334
kt2_s99,2comp_equal,2,99,5,bayesm,2,Price,0.4978707137505666,1.4068072319684757,0.9102507874235612,0.9466666666666668
kt3_s01,3comp_equal,3,1,5,bayesm,2,Alt1,0.0881847684318396,1.112116675630003,0.698162610434749,0.9633333333333334
kt3_s01,3comp_equal,3,1,5,bayesm,2,Alt2,-0.1565258703676515,1.4659584193640305,0.8978950889958405,0.9466666666666668
kt3_s01,3comp_equal,3,1,5,bayesm,2,Alt3,0.0676291815715047,1.069958599350701,0.7267932747910316,0.95
kt3_s01,3comp_equal,3,1,5,bayesm,2,Price,0.0328343406620616,0.8650779387821731,0.6069989547399313,0.9333333333333332
kt3_s02,3comp_equal,3,2,5,bayesm,2,Alt1,0.0264037822811719,0.797082351605223,0.6173694859700459,0.9566666666666668
kt3_s02,3comp_equal,3,2,5,bayesm,2,Alt2,0.0692032045711558,0.8129954706984115,0.6246777988244797,0.9466666666666668
kt3_s02,3comp_equal,3,2,5,bayesm,2,Alt3,-0.0444299889511047,0.8985502938167211,0.6585052354103128,0.92
kt3_s02,3comp_equal,3,2,5,bayesm,2,Price,-0.0053600239662972,0.4681232236125381,0.3423110129497662,0.9833333333333332
kt3_s03,3comp_equal,3,3,5,bayesm,2,Alt1,-0.1706607127033536,0.9948860913347428,0.7120460274691537,0.9366666666666666
kt3_s03,3comp_equal,3,3,5,bayesm,2,Alt2,0.1597199406238868,0.8460686484310558,0.6521559909071186,0.9233333333333332
kt3_s03,3comp_equal,3,3,5,bayesm,2,Alt3,-0.2597218564668436,1.055385299852429,0.82201982477278,0.94
kt3_s03,3comp_equal,3,3,5,bayesm,2,Price,-0.1430744304640818,0.720524589734395,0.5207334423019789,0.9366666666666666
kt3_s04,3comp_equal,3,4,5,bayesm,2,Alt1,0.1339083613513071,1.4110730329044037,0.8314962929175354,0.9666666666666668
kt3_s04,3comp_equal,3,4,5,bayesm,2,Alt2,-0.0483954019154432,0.8401383406849698,0.5963774224582139,0.9833333333333332
kt3_s04,3comp_equal,3,4,5,bayesm,2,Alt3,-0.0131479032752786,0.8118106974782401,0.590704127750811,0.9533333333333334
kt3_s04,3comp_equal,3,4,5,bayesm,2,Price,0.0703505430632903,0.5223626472537872,0.3848704836331375,0.9266666666666666
kt3_s05,3comp_equal,3,5,5,bayesm,2,Alt1,-0.034239652882823,0.9245452198530956,0.745758114581135,0.97
kt3_s05,3comp_equal,3,5,5,bayesm,2,Alt2,0.0669366388400683,0.7307797180433341,0.562757602325738,0.97
kt3_s05,3comp_equal,3,5,5,bayesm,2,Alt3,-0.0554760890327739,0.9589002900158484,0.7247239929358534,0.9566666666666668
kt3_s05,3comp_equal,3,5,5,bayesm,2,Price,-0.1469318667854063,0.8482728817828155,0.6138857906891595,0.96
kt3_s06,3comp_equal,3,6,5,bayesm,2,Alt1,-0.0184668801499878,0.9116657298190348,0.6815517855986638,0.9366666666666666
kt3_s06,3comp_equal,3,6,5,bayesm,2,Alt2,-0.0156363550960809,0.9013675208369466,0.7032877516710522,0.9366666666666666
kt3_s06,3comp_equal,3,6,5,bayesm,2,Alt3,0.308631061766163,1.0684121512020013,0.8546329067451306,0.9366666666666666
kt3_s06,3comp_equal,3,6,5,bayesm,2,Price,0.0798016799027568,0.8013060073267131,0.6256301210186276,0.94
kt3_s07,3comp_equal,3,7,5,bayesm,2,Alt1,0.1192938934390678,0.8224663236457536,0.6221941902376789,0.9666666666666668
kt3_s07,3comp_equal,3,7,5,bayesm,2,Alt2,0.0313919085622294,0.7183586731360285,0.5809502510519862,0.9666666666666668
kt3_s07,3comp_equal,3,7,5,bayesm,2,Alt3,-0.1656643740258968,1.173604958881347,0.9081500091610236,0.9533333333333334
kt3_s07,3comp_equal,3,7,5,bayesm,2,Price,-0.010177389164199,0.5216863448716038,0.4069252664341546,0.9666666666666668
kt3_s08,3comp_equal,3,8,5,bayesm,2,Alt1,0.4121222406589038,1.1097327769467245,0.8581667564130783,0.9666666666666668
