dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,demo,param,post_mean,post_std,ci_low,ci_high,true_value,bias,in_ci
kt1_s79,1comp,1,79,5,bayesm,2,z1,Alt1,0.1485938924100379,0.1476442199966298,-0.1341876240454469,0.4412826840031719,0.0709907466479655,0.0776031457620724,True
kt1_s79,1comp,1,79,5,bayesm,2,z1,Alt2,0.2090748472836457,0.1396961809281522,-0.0641834945909791,0.4787501417646979,0.2398620284453901,-0.0307871811617444,True
kt1_s79,1comp,1,79,5,bayesm,2,z1,Alt3,1.4231502210133964,0.1345173851968181,1.1580757834072395,1.687995877678678,1.2818456406793877,0.1413045803340087,True
kt1_s79,1comp,1,79,5,bayesm,2,z1,Price,0.4353453227430695,0.1322423939257897,0.1734851499000705,0.6917742216351022,0.5481129882970879,-0.1127676655540184,True
kt1_s79,1comp,1,79,5,bayesm,2,z2,Alt1,-0.3252548321701175,0.1511036526493693,-0.6275196887498748,-0.0337424798906855,-0.1605827664809474,-0.16467206568917,True
kt1_s79,1comp,1,79,5,bayesm,2,z2,Alt2,-0.2677622740999253,0.1429987066718634,-0.5535691786838022,0.0080831472230756,-0.320463211873193,0.0527009377732676,True
kt1_s79,1comp,1,79,5,bayesm,2,z2,Alt3,-0.529272325838385,0.134760717688026,-0.7948887687235019,-0.2677878574823301,-0.398965275798901,-0.130307050039484,True
kt1_s79,1comp,1,79,5,bayesm,2,z2,Price,-0.2803602908866032,0.1385085023619004,-0.5500442550632709,-0.0074439988790966,-0.4196757623684968,0.1393154714818935,True
kt1_s80,1comp,1,80,5,bayesm,2,z1,Alt1,-0.0312294533665963,0.1154975374760577,-0.2559553162431328,0.1937187105146502,-0.0756189309474474,0.0443894775808511,True
kt1_s80,1comp,1,80,5,bayesm,2,z1,Alt2,0.0128919807466544,0.1579568890578497,-0.2960387422493911,0.3228622407158528,-0.0939064133801019,0.1067983941267563,True
kt1_s80,1comp,1,80,5,bayesm,2,z1,Alt3,0.5954742010183073,0.1298374643508859,0.34401674283438,0.8530784541052823,0.6025310177236708,-0.0070568167053635,True
kt1_s80,1comp,1,80,5,bayesm,2,z1,Price,-0.2295288112905475,0.0886363123580963,-0.4032565961081342,-0.0577736783452751,-0.3165676840767893,0.0870388727862417,True
kt1_s80,1comp,1,80,5,bayesm,2,z2,Alt1,-0.5476381633308225,0.1070845100549907,-0.7570668764880987,-0.3380964467477722,-0.5877634888613495,0.040125325530527,True
kt1_s80,1comp,1,80,5,bayesm,2,z2,Alt2,-0.0502599315523579,0.1508484963575084,-0.3513194891933572,0.2405237383746866,0.0378533411883779,-0.0881132727407359,True
kt1_s80,1comp,1,80,5,bayesm,2,z2,Alt3,-0.07152140069514,0.114801988556024,-0.292729065534901,0.1592209785819799,-0.1709058805965397,0.0993844799013996,True
kt1_s80,1comp,1,80,5,bayesm,2,z2,Price,0.7490997107582136,0.0823975237003259,0.5906396627048627,0.911372860468755,0.7275065905815978,0.0215931201766157,True
kt1_s81,1comp,1,81,5,bayesm,2,z1,Alt1,-0.3765627160399825,0.0807876782416165,-0.5355235711828118,-0.2198515882210916,-0.3288742282984961,-0.0476884877414863,True
kt1_s81,1comp,1,81,5,bayesm,2,z1,Alt2,0.1659888436278443,0.0697679994413612,0.0301053687499228,0.3022115509445853,0.1293887406122974,0.0366001030155469,True
kt1_s81,1comp,1,81,5,bayesm,2,z1,Alt3,0.1445616874243519,0.0849226896373956,-0.0230976523822793,0.3096258889166827,-0.0379539403770602,0.1825156278014122,False
kt1_s81,1comp,1,81,5,bayesm,2,z1,Price,1.0826874945685057,0.0663726128698648,0.9557439023374712,1.2154617577644058,1.043536155926512,0.0391513386419937,True
kt1_s81,1comp,1,81,5,bayesm,2,z2,Alt1,0.5232868948814549,0.0715446435180634,0.3823657664330345,0.662646554375008,0.5522371890157547,-0.0289502941342998,True
kt1_s81,1comp,1,81,5,bayesm,2,z2,Alt2,-0.8656633462978914,0.0622907547648515,-0.9887288900316344,-0.7444928786614757,-0.7652235553652513,-0.1004397909326401,True
kt1_s81,1comp,1,81,5,bayesm,2,z2,Alt3,0.0615555662934371,0.0732584108529598,-0.0841295698751625,0.2062573200347088,0.012357074962466,0.049198491330971,True
kt1_s81,1comp,1,81,5,bayesm,2,z2,Price,-0.1172972198377727,0.0549394801930693,-0.2243907707124439,-0.0087895429169619,-0.2120452909327876,0.0947480710950149,True
kt1_s82,1comp,1,82,5,bayesm,2,z1,Alt1,-0.4340896642057172,0.1433250282144884,-0.7206802972964633,-0.1608553285514558,-0.6463500724362257,0.2122604082305084,True
kt1_s82,1comp,1,82,5,bayesm,2,z1,Alt2,-0.0528052629820164,0.1944732694072342,-0.434349452508298,0.329195770468175,-0.0475807593245733,-0.005224503657443,True
kt1_s82,1comp,1,82,5,bayesm,2,z1,Alt3,-0.2434030013086582,0.1378814057193491,-0.5142275362031324,0.0269575385525669,-0.2947660536851821,0.0513630523765239,True
kt1_s82,1comp,1,82,5,bayesm,2,z1,Price,0.0285940716481531,0.1200963425498734,-0.2030188544525448,0.2673405623700772,0.0730224391905932,-0.04442836754244,True
kt1_s82,1comp,1,82,5,bayesm,2,z2,Alt1,0.1233452831176218,0.1295359350301599,-0.1302631965382101,0.3745096688447471,-0.0387276706951002,0.162072953812722,True
kt1_s82,1comp,1,82,5,bayesm,2,z2,Alt2,0.3545223433689271,0.1720430864733994,0.0197004607363737,0.6988507317138469,0.4176131111382214,-0.0630907677692944,True
kt1_s82,1comp,1,82,5,bayesm,2,z2,Alt3,0.2487459371939649,0.1244993234766421,0.0055624766347461,0.4912752961272947,0.2463262484256995,0.0024196887682654,True
kt1_s82,1comp,1,82,5,bayesm,2,z2,Price,0.0294796772604876,0.1075106604777365,-0.1781490203609642,0.2426615819968258,0.0194228324917749,0.0100568447687127,True
kt1_s83,1comp,1,83,5,bayesm,2,z1,Alt1,0.1122581768306164,0.1083628380944818,-0.0996970488905062,0.3294394921998279,0.1115044313489843,0.0007537454816321,True
