dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,block,kernel_id,n_divergent,frac_divergent,max_treedepth,mean_treedepth,frac_max_treedepth,max_leapfrog,mean_leapfrog,mean_acceptance
kt1_s12,1comp,1,12,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,229,0.0229,5.0,3.9679,0.0,31.0,14.7682,0.8480308651924133
kt1_s12,1comp,1,12,5,nuts,1,mu_k,kernel_02,260,0.026,9.0,4.7037,0.0,367.0,31.7003,0.7131564021110535
kt1_s12,1comp,1,12,5,nuts,1,Delta,kernel_03,0,0.0,5.0,2.7938,0.0,27.0,6.1866,0.8566973805427551
kt1_s12,1comp,1,12,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,4.3998,0.0,63.0,21.4032,0.8531767725944519
kt1_s13,1comp,1,13,5,nuts,1,pvec_latent,kernel_00,0,0.0,5.0,2.8627,0.0,31.0,6.5492,0.9264380931854248
kt1_s13,1comp,1,13,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,679,0.0679,4.0,3.8442,0.0,15.0,13.9731,0.7874276041984558
kt1_s13,1comp,1,13,5,nuts,1,mu_k,kernel_02,382,0.0382,9.0,4.65,0.0,271.0,28.6668,0.8188307881355286
kt1_s13,1comp,1,13,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.9071,0.0,15.0,6.6304,0.9040031433105468
kt1_s13,1comp,1,13,5,nuts,1,beta_i,kernel_04,0,0.0,5.0,4.9995,0.0,31.0,30.992,0.8760099411010742
kt1_s14,1comp,1,14,5,nuts,1,pvec_latent,kernel_00,366,0.0366,6.0,3.2268,0.0,47.0,9.4206,0.8232656121253967
kt1_s14,1comp,1,14,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,841,0.0841,6.0,3.8649,0.0,47.0,14.1029,0.7407592535018921
kt1_s14,1comp,1,14,5,nuts,1,mu_k,kernel_02,940,0.094,10.0,5.2289,0.0014,1023.0,54.9632,0.7138854265213013
kt1_s14,1comp,1,14,5,nuts,1,Delta,kernel_03,0,0.0,7.0,3.9453,0.0,103.0,16.6674,0.915740430355072
kt1_s14,1comp,1,14,5,nuts,1,beta_i,kernel_04,0,0.0,10.0,9.0819,0.082,1023.0,552.9584,0.9658933877944946
kt1_s15,1comp,1,15,5,nuts,1,pvec_latent,kernel_00,0,0.0,5.0,2.8655,0.0,31.0,6.5514,0.9296446442604064
kt1_s15,1comp,1,15,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,612,0.0612,5.0,3.8926,0.0,16.0,14.2506,0.7823621034622192
kt1_s15,1comp,1,15,5,nuts,1,mu_k,kernel_02,37,0.0037,9.0,4.4259,0.0,511.0,23.8318,0.8668624758720398
kt1_s15,1comp,1,15,5,nuts,1,Delta,kernel_03,0,0.0,6.0,2.9702,0.0,39.0,6.9196,0.9306480288505554
kt1_s15,1comp,1,15,5,nuts,1,beta_i,kernel_04,0,0.0,5.0,5.0,0.0,31.0,31.0,0.8624292016029358
kt1_s16,1comp,1,16,5,nuts,1,pvec_latent,kernel_00,38,0.0038,6.0,3.4482,0.0,47.0,10.8901,0.9353971481323242
kt1_s16,1comp,1,16,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,211,0.0211,5.0,4.772,0.0,31.0,27.6032,0.8423293232917786
kt1_s16,1comp,1,16,5,nuts,1,mu_k,kernel_02,0,0.0,10.0,7.3856,0.0177,1023.0,193.7736,0.9739508628845216
kt1_s16,1comp,1,16,5,nuts,1,Delta,kernel_03,0,0.0,6.0,4.4552,0.0,63.0,22.4848,0.9535167813301086
kt1_s16,1comp,1,16,5,nuts,1,beta_i,kernel_04,7563,0.7563,8.0,7.1724,0.0,255.0,142.2364,0.3012639284133911
kt1_s17,1comp,1,17,5,nuts,1,pvec_latent,kernel_00,0,0.0,6.0,2.9968,0.0,51.0,7.426,0.9440779089927672
kt1_s17,1comp,1,17,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,708,0.0708,4.0,3.8777,0.0,15.0,14.1091,0.7711067199707031
kt1_s17,1comp,1,17,5,nuts,1,mu_k,kernel_02,0,0.0,9.0,5.2535,0.0,415.0,42.8624,0.8892697095870972
kt1_s17,1comp,1,17,5,nuts,1,Delta,kernel_03,0,0.0,4.0,2.8265,0.0,15.0,6.3138,0.8755437731742859
kt1_s17,1comp,1,17,5,nuts,1,beta_i,kernel_04,0,0.0,6.0,5.0105,0.0,63.0,31.336,0.8975241184234619
kt1_s18,1comp,1,18,5,nuts,1,pvec_latent,kernel_00,4,0.0004,6.0,3.1892,0.0,47.0,8.9243,0.923158586025238
kt1_s18,1comp,1,18,5,nuts,1,sigma_inv_chol_k_latent,kernel_01,35,0.0035,6.0,4.9915,0.0,63.0,30.9182,0.9542226791381836
kt1_s18,1comp,1,18,5,nuts,1,mu_k,kernel_02,290,0.029,10.0,6.283,0.0146,1023.0,119.695,0.8150628805160522
kt1_s18,1comp,1,18,5,nuts,1,Delta,kernel_03,0,0.0,5.0,2.9816,0.0,31.0,7.0872,0.9083529114723206
kt1_s18,1comp,1,18,5,nuts,1,beta_i,kernel_04,0,0.0,9.0,6.0039,0.0,511.0,63.3008,0.8790228366851807
kt1_s19,1comp,1,19,5,nuts,1,pvec_latent,kernel_00,5027,0.5027,10.0,8.0607,0.5771,1023.0,611.7895,0.847632646560669
