dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,param,kind,n_pts,min_ESS,mean_ESS,max_Rhat,mean_Rhat,ESS,Rhat
kt1_s100,1comp,1,100,5,nuts,2,Alt2,moment_Mean,,,,,,127.11785492585776,1.0157125053282885
kt1_s100,1comp,1,100,5,nuts,2,Alt2,moment_Var,,,,,,986.937824344138,1.003406630648816
kt1_s100,1comp,1,100,5,nuts,2,Alt3,moment_Mean,,,,,,579.268376672932,1.0074106269886425
kt1_s100,1comp,1,100,5,nuts,2,Alt3,moment_Var,,,,,,280.5908882234307,1.0066160227112737
kt1_s100,1comp,1,100,5,nuts,2,Price,moment_Mean,,,,,,530.7953782581237,1.0094516387626833
kt1_s100,1comp,1,100,5,nuts,2,Price,moment_Var,,,,,,2617.7110589096146,1.002949413618222
kt1_s101,1comp,1,101,5,nuts,2,Alt1,density,23.0,64.28930609298592,124.56341298196836,1.0266959106940563,1.0151863188677508,,
kt1_s101,1comp,1,101,5,nuts,2,Alt2,density,23.0,85.53668109172557,104.8831892221919,1.021289794927399,1.0123523375776746,,
kt1_s101,1comp,1,101,5,nuts,2,Alt3,density,25.0,45.59288108789444,123.99436638773516,1.0295071031289271,1.0184427106471288,,
kt1_s101,1comp,1,101,5,nuts,2,Price,density,25.0,171.02757654615309,285.326249170014,1.012510483255756,1.0074760821349198,,
kt1_s101,1comp,1,101,5,nuts,2,Alt1,moment_Mean,,,,,,194.07727540302056,1.026528100970527
kt1_s101,1comp,1,101,5,nuts,2,Alt1,moment_Var,,,,,,390.0156878499688,1.014236604735983
kt1_s101,1comp,1,101,5,nuts,2,Alt2,moment_Mean,,,,,,415.2547648256977,1.011812644275612
kt1_s101,1comp,1,101,5,nuts,2,Alt2,moment_Var,,,,,,581.1156194238473,1.003647081500771
kt1_s101,1comp,1,101,5,nuts,2,Alt3,moment_Mean,,,,,,30.87372311908075,1.0555325166123553
kt1_s101,1comp,1,101,5,nuts,2,Alt3,moment_Var,,,,,,31.780983004241325,1.0561780750015228
kt1_s101,1comp,1,101,5,nuts,2,Price,moment_Mean,,,,,,122.14774754928912,1.0147351778053595
kt1_s101,1comp,1,101,5,nuts,2,Price,moment_Var,,,,,,667.0726515093451,1.007935791691368
kt1_s10,1comp,1,10,5,nuts,2,Alt1,density,26.0,772.0898273785174,2269.2162335097414,1.002160578170321,1.0007184162505631,,
kt1_s10,1comp,1,10,5,nuts,2,Alt2,density,25.0,1341.5873476640122,2541.6653923224494,1.00278134046702,1.0007462943120504,,
kt1_s10,1comp,1,10,5,nuts,2,Alt3,density,25.0,1127.4722818877713,2227.7623426322084,1.0035408872045792,1.0011912778671213,,
kt1_s10,1comp,1,10,5,nuts,2,Price,density,24.0,830.5157891312987,1208.3792108011085,1.0061568870586213,1.001952898138294,,
kt1_s10,1comp,1,10,5,nuts,2,Alt1,moment_Mean,,,,,,4581.985732437578,1.002612231344619
kt1_s10,1comp,1,10,5,nuts,2,Alt1,moment_Var,,,,,,1157.4853401771356,1.0011357069391942
kt1_s10,1comp,1,10,5,nuts,2,Alt2,moment_Mean,,,,,,4746.445402026518,1.000154678014885
kt1_s10,1comp,1,10,5,nuts,2,Alt2,moment_Var,,,,,,2072.2513843695983,1.000440530252105
kt1_s10,1comp,1,10,5,nuts,2,Alt3,moment_Mean,,,,,,2940.2467793470514,1.0009465435180422
kt1_s10,1comp,1,10,5,nuts,2,Alt3,moment_Var,,,,,,1359.1456357030136,1.0021321159255776
kt1_s10,1comp,1,10,5,nuts,2,Price,moment_Mean,,,,,,945.5177819132622,1.0024297202819803
kt1_s10,1comp,1,10,5,nuts,2,Price,moment_Var,,,,,,1967.1860631859129,1.0031086154125015
kt1_s11,1comp,1,11,5,nuts,2,Alt1,density,27.0,3.758678323712771,13.932826831473369,1.4893408933614956,1.204199295511774,,
kt1_s11,1comp,1,11,5,nuts,2,Alt2,density,32.0,3.528200400729494,45.69881983799239,1.571017553036594,1.285216075256244,,
kt1_s11,1comp,1,11,5,nuts,2,Alt3,density,25.0,16.450080729903245,538.5967293758922,1.3220250838266752,1.0712398883665886,,
kt1_s11,1comp,1,11,5,nuts,2,Price,density,27.0,4.959663055988261,244.01270691327647,1.3140173333796448,1.1037657327295411,,
kt1_s11,1comp,1,11,5,nuts,2,Alt1,moment_Mean,,,,,,6.801159226940301,1.229141707357026
kt1_s11,1comp,1,11,5,nuts,2,Alt1,moment_Var,,,,,,3.341890872071988,1.608884828713505
kt1_s11,1comp,1,11,5,nuts,2,Alt2,moment_Mean,,,,,,10.931591615196805,1.6093048251412392
kt1_s11,1comp,1,11,5,nuts,2,Alt2,moment_Var,,,,,,14.71187504034518,1.4327307087123131
kt1_s11,1comp,1,11,5,nuts,2,Alt3,moment_Mean,,,,,,371.2472470530829,1.8044400247528076
kt1_s11,1comp,1,11,5,nuts,2,Alt3,moment_Var,,,,,,5.430798099131829,1.3911011623340903
kt1_s11,1comp,1,11,5,nuts,2,Price,moment_Mean,,,,,,6.045280204806653,1.3169185027454828
kt1_s11,1comp,1,11,5,nuts,2,Price,moment_Var,,,,,,3.741652503330573,1.5194410973739472
kt1_s12,1comp,1,12,5,nuts,2,Alt1,density,24.0,595.7906553612353,1013.3953139929054,1.0031307407779693,1.002056726825937,,
kt1_s12,1comp,1,12,5,nuts,2,Alt2,density,24.0,989.8600413944012,1367.1497439582372,1.007511510822792,1.0036207952161542,,
kt1_s12,1comp,1,12,5,nuts,2,Alt3,density,24.0,1066.4760721923096,1641.8560255767734,1.0030840732779642,1.0013157359839806,,
kt1_s12,1comp,1,12,5,nuts,2,Price,density,23.0,344.6666010485616,611.3383153513917,1.011057259089038,1.0070404298718476,,
kt1_s12,1comp,1,12,5,nuts,2,Alt1,moment_Mean,,,,,,1486.36884826302,1.0024301181313784
