dataset_key,scenario,k_true,data_seed,k_model,sampler,n_chains,slot,matched_true,live,param,post_mean,post_std,ci_low,ci_high,true_value,abs_diff,in_ci
kt3_s45,3comp_equal,3,45,5,nuts,2,3,,False,Alt2,1.562330722808838,54.29361343383789,-73.21043834686279,83.07721023559569,,,
kt3_s45,3comp_equal,3,45,5,nuts,2,3,,False,Alt3,1.120373249053955,35.86647033691406,-54.27609615325928,55.4180991172787,,,
kt3_s45,3comp_equal,3,45,5,nuts,2,3,,False,Price,-1.3590798377990725,21.16197967529297,-42.91654529571533,41.25741834640496,,,
kt3_s45,3comp_equal,3,45,5,nuts,2,4,,False,Alt1,-0.5597736239433289,55.318626403808594,-105.1962480545044,111.76637268066406,,,
kt3_s45,3comp_equal,3,45,5,nuts,2,4,,False,Alt2,-3.985975503921509,41.44405364990234,-97.08261108398438,93.2696683883667,,,
kt3_s45,3comp_equal,3,45,5,nuts,2,4,,False,Alt3,0.5930538177490234,29.44849967956543,-57.28655242919922,54.6224836349486,,,
kt3_s45,3comp_equal,3,45,5,nuts,2,4,,False,Price,1.3592932224273682,25.325937271118164,-41.27588157653808,51.44039840698235,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,0,2.0,True,Alt1,-0.9945188760757446,0.267718642950058,-1.5015918374061583,-0.4575527466833626,-1.0712375617123566,0.076718685636612,True
kt3_s46,3comp_equal,3,46,5,nuts,2,0,2.0,True,Alt2,-1.7752948999404907,0.2584052681922912,-2.312329572439194,-1.2857222288846974,-1.92709255967686,0.1517976597363688,True
kt3_s46,3comp_equal,3,46,5,nuts,2,0,2.0,True,Alt3,3.376180410385132,0.2787888050079345,2.8874928653240204,3.993020886182783,2.863985457305311,0.5121949530798209,False
kt3_s46,3comp_equal,3,46,5,nuts,2,0,2.0,True,Price,-2.6990087032318115,0.2238568663597107,-3.179073572158813,-2.279556471109391,-2.504380027043944,0.1946286761878677,True
kt3_s46,3comp_equal,3,46,5,nuts,2,1,1.0,True,Alt1,-5.970309257507324,0.707485556602478,-7.482304656505585,-4.741487503051758,-6.218935532644453,0.2486262751371288,True
kt3_s46,3comp_equal,3,46,5,nuts,2,1,1.0,True,Alt2,-1.528946042060852,0.1723239421844482,-1.89382803440094,-1.21644985973835,-1.526855406394649,0.0020906356662031,True
kt3_s46,3comp_equal,3,46,5,nuts,2,1,1.0,True,Alt3,1.4265916347503662,0.1663857251405716,1.1502490669488907,1.7853943198919295,1.412741609681046,0.0138500250693203,True
kt3_s46,3comp_equal,3,46,5,nuts,2,1,1.0,True,Price,-1.742293357849121,0.179377943277359,-2.1223130226135254,-1.4376238584518433,-1.7489872110313478,0.0066938531822267,True
kt3_s46,3comp_equal,3,46,5,nuts,2,2,0.0,True,Alt1,3.5515973567962646,0.1771969944238662,3.2263746857643127,3.918837493658066,3.713549108124597,0.1619517513283321,True
kt3_s46,3comp_equal,3,46,5,nuts,2,2,0.0,True,Alt2,-3.348870277404785,0.2776176035404205,-3.9164425253868105,-2.811554479599,-3.220929987116188,0.1279402902885973,True
kt3_s46,3comp_equal,3,46,5,nuts,2,2,0.0,True,Alt3,-0.8674877882003784,0.1572357416152954,-1.1426687121391297,-0.551800788939,-0.7677823480731533,0.0997054401272251,True
kt3_s46,3comp_equal,3,46,5,nuts,2,2,0.0,True,Price,3.151859998703003,0.1612368524074554,2.8334489524364472,3.4564660012722004,3.0849969891779696,0.0668630095250333,True
kt3_s46,3comp_equal,3,46,5,nuts,2,3,,False,Alt1,-6.156637668609619,48.61323547363281,-102.97717304229737,70.49581909179688,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,3,,False,Alt2,-5.959220886230469,33.92018508911133,-69.41788997650146,56.900663280486825,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,3,,False,Alt3,8.698609352111816,32.896976470947266,-48.25231676101684,82.89165802001952,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,3,,False,Price,-4.608132839202881,18.90388298034668,-40.1695460319519,34.26695632934559,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,4,,False,Alt1,-3.434638977050781,86.21527862548828,-95.40479679107666,86.44797859191884,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,4,,False,Alt2,-1.1386163234710691,42.10716247558594,-74.33192920684814,68.14341163635252,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,4,,False,Alt3,0.7874849438667297,31.05578994750977,-55.58925266265869,56.004638671875,,,
kt3_s46,3comp_equal,3,46,5,nuts,2,4,,False,Price,1.2434991598129272,21.65132713317871,-42.79308319091797,40.526225090026685,,,
kt3_s47,3comp_equal,3,47,5,nuts,2,0,0.0,True,Alt1,-1.033821702003479,0.1603202819824218,-1.3539068549871445,-0.7450396791100504,-1.0736845542522375,0.0398628522487587,True
kt3_s47,3comp_equal,3,47,5,nuts,2,0,0.0,True,Alt2,2.358854293823242,0.178974449634552,1.983774185180664,2.7014741659164425,2.3910324389307576,0.0321781451075153,True
kt3_s47,3comp_equal,3,47,5,nuts,2,0,0.0,True,Alt3,-0.3941057622432709,0.1752053201198578,-0.7153154388070107,-0.0564795265905562,-0.506615682991152,0.1125099207478811,True
kt3_s47,3comp_equal,3,47,5,nuts,2,0,0.0,True,Price,-5.423363208770752,0.2570875883102417,-5.9380486607551575,-4.938366413116455,-5.806167414915694,0.3828042061449421,True
kt3_s47,3comp_equal,3,47,5,nuts,2,1,2.0,True,Alt1,0.3934282958507538,0.1522589027881622,0.1100069224834442,0.6816058516502378,0.1773869279590429,0.2160413678917108,True
