comparison,metric,k_true,param,n_datasets,n_win,n_loss,n_tie,win_rate,median_diff,p_value
hmc_vs_bayesm,JSD,3,Price,100,26,74,0,0.26,0.00142,1.6673626494501009e-06
hmc_vs_bayesm,JSD,5,Alt1,100,13,87,0,0.13,0.008585,1.312981552203585e-14
hmc_vs_bayesm,JSD,5,Alt2,100,18,82,0,0.18,0.00548,6.147806615047975e-11
hmc_vs_bayesm,JSD,5,Alt3,100,19,81,0,0.19,0.0053,2.7027625220487884e-10
hmc_vs_bayesm,JSD,5,Price,100,16,84,0,0.16,0.00331,2.6059358186561004e-12
nuts_vs_hmc,JSD,1,Alt1,100,51,49,0,0.51,-1.5e-05,0.9204107626128216
nuts_vs_hmc,JSD,1,Alt2,100,50,50,0,0.5,1e-05,1.0
nuts_vs_hmc,JSD,1,Alt3,100,42,58,0,0.42,8e-05,0.13321061920721358
nuts_vs_hmc,JSD,1,Price,100,36,61,3,0.3711,9.5e-05,0.014389633007095667
nuts_vs_hmc,JSD,2,Alt1,100,51,48,1,0.5152,-9.5e-05,0.8408215252256422
nuts_vs_hmc,JSD,2,Alt2,100,46,52,2,0.4694,3.5e-05,0.6137344676301392
nuts_vs_hmc,JSD,2,Alt3,100,50,49,1,0.5051,-5e-06,1.0
nuts_vs_hmc,JSD,2,Price,100,57,43,0,0.57,-0.000175,0.19334790449564213
nuts_vs_hmc,JSD,3,Alt1,100,58,42,0,0.58,-0.000605,0.13321061920721358
nuts_vs_hmc,JSD,3,Alt2,100,47,53,0,0.47,0.00026,0.6172994135892524
nuts_vs_hmc,JSD,3,Alt3,100,55,44,1,0.5556,-0.000145,0.3148798910376228
nuts_vs_hmc,JSD,3,Price,100,51,49,0,0.51,-0.00013,0.9204107626128216
nuts_vs_hmc,JSD,5,Alt1,100,47,53,0,0.47,0.00024,0.6172994135892524
nuts_vs_hmc,JSD,5,Alt2,100,50,48,2,0.5102,-2.5e-05,0.9196068309220428
nuts_vs_hmc,JSD,5,Alt3,100,49,50,1,0.4949,5e-06,1.0
nuts_vs_hmc,JSD,5,Price,100,60,40,0,0.6,-0.000655,0.05688793364098079
nuts_vs_bayesm,TVD,1,Alt1,100,48,52,0,0.48,0.001425,0.7643534344026676
nuts_vs_bayesm,TVD,1,Alt2,100,34,66,0,0.34,0.006445,0.0017899303914868528
nuts_vs_bayesm,TVD,1,Alt3,100,43,57,0,0.43,0.001865,0.19334790449564213
nuts_vs_bayesm,TVD,1,Price,100,48,52,0,0.48,0.000885,0.7643534344026676
nuts_vs_bayesm,TVD,2,Alt1,100,21,79,0,0.21,0.015505,4.3373666334216375e-09
nuts_vs_bayesm,TVD,2,Alt2,100,31,69,0,0.31,0.00936,0.00018314322488235366
nuts_vs_bayesm,TVD,2,Alt3,100,36,64,0,0.36,0.004105,0.006637120515926128
nuts_vs_bayesm,TVD,2,Price,100,38,62,0,0.38,0.003655,0.02097873567785172
nuts_vs_bayesm,TVD,3,Alt1,100,13,87,0,0.13,0.023705,1.312981552203585e-14
nuts_vs_bayesm,TVD,3,Alt2,100,20,80,0,0.2,0.019035,1.1159089057251951e-09
nuts_vs_bayesm,TVD,3,Alt3,100,27,73,0,0.27,0.00882,4.69241261264223e-06
nuts_vs_bayesm,TVD,3,Price,100,26,74,0,0.26,0.006245,1.6673626494501009e-06
nuts_vs_bayesm,TVD,5,Alt1,100,14,86,0,0.14,0.029115,8.284451872080075e-14
