k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
5,Alt2,bayesm,Wasserstein1,0.08889,0.24957,0.47137,0.40044,0.53804,1.93444,100.0
5,Alt2,NUTS,Wasserstein1,0.16431,0.36898,0.67407,0.5222,0.72146,3.31106,100.0
5,Alt2,HMC,Wasserstein1,0.11237,0.35721,0.60387,0.47632,0.70201,2.50566,100.0
5,Alt3,bayesm,Hellinger,0.03878,0.09221,0.14127,0.1251,0.15968,0.40569,100.0
5,Alt3,NUTS,Hellinger,0.05609,0.11332,0.17374,0.15081,0.21421,0.41295,100.0
5,Alt3,HMC,Hellinger,0.04352,0.1135,0.17569,0.15872,0.21917,0.39344,100.0
5,Alt3,bayesm,KL,0.00599,0.07408,inf,0.16411,0.49166,inf,100.0
5,Alt3,NUTS,KL,0.03561,,inf,inf,,inf,100.0
5,Alt3,HMC,KL,0.0082,,inf,inf,,inf,100.0
5,Alt3,bayesm,JSD,0.0015,0.0081,0.02179,0.0144,0.02237,0.13545,100.0
5,Alt3,NUTS,JSD,0.00275,0.01195,0.03175,0.02122,0.03711,0.13818,100.0
5,Alt3,HMC,JSD,0.00187,0.01185,0.03203,0.02284,0.04202,0.12763,100.0
5,Alt3,bayesm,TVD,0.04522,0.07829,0.12062,0.11102,0.14213,0.30223,100.0
5,Alt3,NUTS,TVD,0.04214,0.09956,0.14864,0.13789,0.17758,0.32824,100.0
5,Alt3,HMC,TVD,0.04716,0.09803,0.14958,0.13869,0.19508,0.30483,100.0
5,Alt3,bayesm,Wasserstein1,0.09883,0.2538,0.47914,0.38037,0.57906,1.97699,100.0
5,Alt3,NUTS,Wasserstein1,0.15936,0.34097,0.68517,0.47458,0.82179,4.00587,100.0
5,Alt3,HMC,Wasserstein1,0.11497,0.33404,0.6409,0.47622,0.80929,3.76918,100.0
5,Price,bayesm,Hellinger,0.03985,0.06822,0.09217,0.0856,0.10691,0.19667,100.0
5,Price,NUTS,Hellinger,0.04243,0.08388,0.11045,0.10382,0.13302,0.25482,100.0
5,Price,HMC,Hellinger,0.04707,0.08595,0.12365,0.10683,0.15374,0.3106,100.0
5,Price,bayesm,KL,0.00884,0.03616,inf,0.0769,0.15793,inf,100.0
5,Price,NUTS,KL,0.01539,0.15168,inf,inf,,inf,100.0
5,Price,HMC,KL,0.03003,0.22592,inf,inf,,inf,100.0
5,Price,bayesm,JSD,0.0014,0.00453,0.00913,0.00689,0.01106,0.03594,100.0
5,Price,NUTS,JSD,0.00153,0.0066,0.01266,0.01014,0.01629,0.05888,100.0
5,Price,HMC,JSD,0.00174,0.00676,0.01667,0.01058,0.02142,0.08042,100.0
5,Price,bayesm,TVD,0.02513,0.05892,0.08168,0.07697,0.1006,0.17612,100.0
5,Price,NUTS,TVD,0.0196,0.06803,0.09464,0.09085,0.1195,0.22831,100.0
5,Price,HMC,TVD,0.02184,0.07138,0.10744,0.09901,0.13359,0.27715,100.0
5,Price,bayesm,Wasserstein1,0.07383,0.19014,0.29836,0.25941,0.37736,0.71011,100.0
5,Price,NUTS,Wasserstein1,0.07563,0.22836,0.36022,0.32112,0.44919,1.02107,100.0
5,Price,HMC,Wasserstein1,0.07934,0.24374,0.40269,0.32439,0.52307,1.42801,100.0
