k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
5,Mean,Alt1,hmc,2.704,7.187,40.358,154.331,0.11,100
5,Mean,Alt2,bayesm,3.097,34.453,257.448,725.483,0.45,100
5,Mean,Alt2,nuts,2.541,13.62,40.606,477.962,0.27,100
5,Mean,Alt2,hmc,2.796,8.03,37.039,167.812,0.13,100
5,Mean,Alt3,bayesm,2.935,30.744,186.587,625.221,0.38,100
5,Mean,Alt3,nuts,2.58,11.705,35.814,378.466,0.25,100
5,Mean,Alt3,hmc,2.591,7.608,30.58,151.788,0.1,100
5,Mean,Price,bayesm,6.486,191.016,690.695,1479.545,0.6,100
5,Mean,Price,nuts,3.667,12.571,66.359,644.692,0.28,100
5,Mean,Price,hmc,2.98,10.062,44.62,243.481,0.18,100
5,Var,Alt1,bayesm,3.073,16.704,93.757,272.856,0.17,100
5,Var,Alt1,nuts,2.923,7.838,26.792,143.759,0.12,100
5,Var,Alt1,hmc,2.643,8.241,22.822,103.982,0.09,100
5,Var,Alt2,bayesm,3.026,21.093,99.935,296.313,0.18,100
5,Var,Alt2,nuts,2.71,9.872,45.522,295.847,0.22,100
5,Var,Alt2,hmc,2.828,8.808,29.422,137.087,0.09,100
5,Var,Alt3,bayesm,3.156,24.169,86.648,280.945,0.16,100
5,Var,Alt3,nuts,2.656,10.405,33.407,234.772,0.17,100
5,Var,Alt3,hmc,2.603,7.027,25.606,105.881,0.08,100
5,Var,Price,bayesm,3.639,96.723,199.589,382.695,0.24,100
5,Var,Price,nuts,2.932,13.177,38.406,262.235,0.21,100
5,Var,Price,hmc,3.181,14.253,45.746,177.232,0.13,100
